date,AETEC_xgboost_forecast,AMV_xgboost_forecast,ARTES_xgboost_forecast,MEDIN_xgboost_forecast,HANL_xgboost_forecast,CC_xgboost_forecast,CELL_xgboost_forecast,CIL_xgboost_forecast,CITY_xgboost_forecast,DH_xgboost_forecast,ECYCL_xgboost_forecast,GIF_xgboost_forecast,HANL_xgboost_forecast,ICF_xgboost_forecast,LNDOR_xgboost_forecast,LSTR_xgboost_forecast,MIP_xgboost_forecast,MNP_xgboost_forecast,MPBS_xgboost_forecast,NAKL_xgboost_forecast,NBL_xgboost_forecast,OTH_xgboost_forecast,PLAST_xgboost_forecast,SAH_xgboost_forecast,SAMAA_xgboost_forecast,SERVI_xgboost_forecast,SIPHA_xgboost_forecast,SITS_xgboost_forecast,SMD_xgboost_forecast,SOPAT_xgboost_forecast,SOTE_xgboost_forecast,SPDI_xgboost_forecast,STAR_xgboost_forecast,STIP_xgboost_forecast,STVR_xgboost_forecast,TINV_xgboost_forecast,TJL_xgboost_forecast,TLNET_xgboost_forecast,TLS_xgboost_forecast,TRE_xgboost_forecast,UMED_xgboost_forecast,WIFAK_xgboost_forecast
0,0.016988486,-0.001103162,-0.001046061,-0.06585269,0.02128247,-0.001504665,-0.002122059,0.035774987,0.001043876,-0.003246648,0.004053687,-0.002953614,0.000808339,0.002435412,-0.014949966,-0.019317195,-0.046560433,0.007172621,-0.001485991,-0.000454293,-0.009748296,-0.002973108,0.035662703,-0.000474953,0.005360264,-0.006979665,0.003525351,-0.002558248,-0.003180662,-0.002583721,0.001855934,0.013645601,0.007200219,-0.09709318,-0.002932069,-0.007840283,-0.004504212,-0.040905032,0.021573758,-0.000148086,-0.001597132,-0.00077672
1,0.027622588,-0.00330693,-0.003597178,0.019860929,-0.00834948,-0.011401902,-0.004133395,0.001307191,0.001048776,0.002356885,0.001778158,0.005108286,-0.000456691,-0.008159838,-0.006719113,-0.007862601,0.001707849,0.010170735,-0.008926603,-0.000454293,-0.005960105,-0.001284326,0.014297598,0.004025446,0.000139008,-0.009440032,0.000659174,-0.007199449,0.002349423,-0.004845085,0.024431808,-0.005238858,-0.008603138,-0.019235196,0.005959295,-0.04513074,0.002818725,0.010855341,0.005207819,-0.004215152,-0.00304393,0.012270365
2,0.027569467,-0.00109482,-0.004870783,0.015950466,0.011502847,0.008065648,-0.003915808,-0.001259481,0.004824703,0.01180644,-0.005356319,-0.008096418,0.000808339,0.001032122,-0.01906675,-0.040074565,0.041037254,-0.003570966,-0.004669318,-1.80E-05,0.003067568,-0.00159475,-0.013733137,-0.00290981,0.002548731,0.013851665,0.001348939,-0.003410752,0.008125145,-0.003640745,-0.007160292,-0.001998854,0.10144836,0.008783869,0.00103526,0.001275276,-0.011197693,0.007395641,-0.002813085,-0.003509344,0.01144244,0.000790921
3,-0.006588111,-0.000832858,-0.000311471,0.011190711,0.004829996,-0.007577476,0.002158041,0.001043388,0.010595626,-0.015120184,0.006792639,0.017723512,-0.000572898,-0.007296743,-0.014194644,-0.018932717,0.033742193,-0.0068209,-0.013787072,5.315644e-05,0.005868421,0.00612457,-0.001290124,-0.004840593,0.0011703,0.14199278,-0.008139296,-0.17402801,0.038088195,0.004240486,-7.21E-06,0.018880527,-0.008591386,0.0228031,0.017064182,-0.019462228,-0.001012715,0.01262672,-0.006180952,-0.007806163,0.000913773,0.000878171
4,0.054944374,-0.002053533,-0.006477343,-0.003366316,0.002735982,0.001472369,-0.006521924,-0.013025324,0.001717005,-0.000753228,0.001678847,-0.002538647,0.000808339,0.001445072,-0.001809037,-0.1615742,-0.023146508,0.002817615,-0.000771612,5.315644e-05,0.003615108,0.004199362,0.003683406,0.00038616,-0.004391015,0.03716456,0.009648634,0.020825157,0.016161406,0.003677921,-0.003112415,-0.002601208,-0.005081504,-0.009654779,0.00323385,0.008901851,-0.017629337,0.001379308,0.007247304,-0.016897725,0.008548009,0.001057242
5,0.019015662,-0.001373669,-0.003543822,0.017033402,-0.002168008,-0.001680402,-0.002439753,0.019286143,0.004055292,-0.002058452,0.012953021,-0.004112066,-0.000456691,0.00563832,0.000315982,0.015673373,-0.041043516,-0.004878723,-0.005378638,-0.000383182,0.004392767,-0.001716803,-0.027040182,0.00045911,0.007818605,-0.014134664,-0.003751779,-0.015937323,-0.013774213,0.008603657,-0.014830646,0.017183917,-0.027891453,-0.001503019,0.004898275,-0.016660461,0.001991516,0.014493557,0.005186807,-0.009468713,-0.000837472,-3.85E-05
6,0.020237444,-0.000950315,-0.00097802,-0.010673622,0.001523955,-0.000651097,-0.002327405,-0.002273506,0.005398253,-0.008495385,-0.00282518,-0.006134704,0.000808339,0.002689656,0.004181512,0.003372694,-0.06946006,-0.008835752,0.025100825,-0.000454293,0.000632099,-0.002657617,0.03322737,0.001930509,-0.002948773,-0.006641686,0.008702479,-0.005471697,0.038649477,0.005395382,0.001222861,0.000711971,0.009480588,0.016081288,0.00330511,-0.010357576,0.00713369,-0.005141502,-0.000882888,-0.001513924,-0.001109383,0.003998079
7,0.020045873,-0.002801965,-0.021807197,0.014229139,0.005385671,0.017534561,-0.005794394,0.030436236,0.002117763,-0.002172781,-0.002148671,-0.004780808,-0.000456691,0.013064191,-0.006300015,-0.008889873,-0.066272795,-0.004863602,-0.00549021,-1.80E-05,0.001254397,-0.003298083,0.000659209,-0.00518425,-0.010238028,-0.029346967,-0.013534731,0.06730601,0.037503105,0.0173633,-0.007526238,-0.00665533,-0.00205112,-0.015422162,-0.006591527,-0.000859338,0.007940505,-0.005332222,-0.002245995,-0.006214269,0.009578841,-0.000453889
8,-0.012566032,-0.001422649,0.010137873,-0.017015941,-0.000570645,0.002503069,0.007164454,-0.007374564,-0.002083013,-0.001494089,-0.002928243,0.001277665,0.000808339,-0.001710885,-0.003698999,0.010437048,-0.024579028,-0.008936101,-0.019112438,5.315644e-05,-0.000876335,0.005788647,-0.012221641,-0.006079086,-0.005483387,-0.032515872,0.013427875,-0.0828135,0.021386841,0.008177938,-0.008083093,0.019627616,-0.017823434,0.009866453,0.003605722,-0.037347253,0.012000127,0.009445869,0.006390394,0.004703498,0.008903338,0.003037258
9,0.03914276,-0.001481856,-0.007644105,-4.76E-05,0.018111348,0.004453893,-0.0058795,0.04513011,0.003515044,0.001946738,0.000867981,-0.005729472,-0.000456691,0.000167821,0.00022983,0.007492434,0.004997755,-0.012298443,0.009840014,5.315644e-05,-0.000882513,-0.004412296,0.011822416,-0.002908087,-0.018115027,0.039595984,1.3214661e-05,-0.005298299,-0.016983597,0.002997727,-0.007296389,-0.004034947,0.012255563,-0.003598425,0.000544604,0.11744698,0.010007241,0.004577192,0.024896543,0.004866915,0.007395088,-0.001247828
