Day,ForecastedLogReturn
1,-0.0010460608
2,-0.0035971778
3,-0.004870783
4,-0.00031147109
5,-0.0064773425
6,-0.003543822
7,-0.0009780196
8,-0.021807197
9,0.010137873
10,-0.007644105
11,0.00060647324
12,0.014904885
13,-0.005090525
14,-0.0033657677
15,-0.0007763826
16,-0.006135727
17,-0.0008684244
18,-0.007312583
19,-0.0034870668
20,0.0026453827
21,-0.024378816
22,0.008311297
23,-0.0011310162
24,-0.0076297843
25,0.0039974083
26,0.0064182
27,-0.0091726845
28,0.008393937
29,0.010428389
30,0.0057105413
31,0.003850229
32,0.00068795885
33,-0.0026315441
34,-0.0054663545
35,0.004602501
36,0.009628152
37,-0.0010348061
38,0.0053983214
39,-0.0022495668
40,0.0009973829
41,-0.00013194986
42,-0.003438029
43,0.002425013
44,0.0017033408
45,-0.004189334
46,-0.0039320067
47,0.009396982
48,-0.0132128885
49,-0.0070705176
50,0.0022843913
51,-0.0077998852
52,-7.353777e-05
53,0.0054708277
54,-0.0068065664
55,0.0042967335
56,-0.0011960003
57,-0.038667403
58,0.007736926
59,0.0062921364
60,0.0006172009
61,0.0048546884
62,0.003278533
63,0.010219739
64,0.0078889225
65,0.0024950127
66,-0.001439777
67,-0.0050116414
68,-0.0042608734
69,-0.002951837
70,-0.005784743
71,-0.0022544088
72,0.0026081684
73,-0.017669939
74,0.0020678663
75,0.016289948
76,-0.0002344051
77,0.0072059575
78,0.0113938395
79,0.001740742
80,0.00538458
