Day,ForecastedLogReturn
1,-0.06585269
2,0.019860929
3,0.015950466
4,0.011190711
5,-0.0033663164
6,0.017033402
7,-0.010673622
8,0.014229139
9,-0.017015941
10,-4.756177e-05
11,-0.0011586902
12,0.0022435915
13,-0.0043996763
14,-0.015145577
15,-0.037352454
16,0.014352903
17,-0.00159247
18,0.0009693732
19,0.035275016
20,0.008604215
21,-0.034784473
22,0.013519444
23,0.024237037
24,0.01139169
25,0.019092586
26,-0.0012734656
27,0.006234251
28,-0.0012089316
29,5.3607e-05
30,-0.10658106
31,0.045211047
32,-0.03801331
33,0.038776837
34,0.025186785
35,-0.07732086
36,-0.014260073
37,-0.00844061
38,-0.0033587525
39,0.010368043
40,0.010236571
41,-0.013425466
42,-0.031182876
43,-0.015840614
44,-0.0026038708
45,0.0022656366
46,0.0069310223
47,-0.007633861
48,-0.038270976
49,0.012076364
50,0.022348735
51,-0.006378042
52,-0.010134781
53,-0.0064811558
54,0.0024544727
55,-0.011989098
56,0.00044482818
57,-0.022857165
58,0.028565535
59,-0.0046043033
60,1.0227507e-05
61,-0.015315429
62,0.025270436
63,-0.031194713
64,0.021530658
65,-0.01614877
66,0.019279372
67,0.0030873807
68,0.0031244848
69,-0.018888092
70,0.040485017
71,-0.020704754
72,0.0022369493
73,-0.0073896633
74,-0.0023380206
75,0.010429338
76,-0.008424761
77,-0.04006189
78,-0.032958545
79,-0.002809107
80,-0.008580551
