Day,ForecastedLogReturn
1,0.02128247
2,-0.00834948
3,0.011502847
4,0.0048299963
5,0.002735982
6,-0.0021680081
7,0.001523955
8,0.0053856713
9,-0.000570645
10,0.018111348
11,-0.00014798768
12,0.009591984
13,0.0010332642
14,-0.010351055
15,-0.017288936
16,-0.0016384675
17,0.007850277
18,-0.009664187
19,-0.0017778485
20,-0.00086812035
21,0.005734607
22,-0.0064163134
23,0.0053186766
24,-0.0052978047
25,-0.010312376
26,-0.0007405005
27,0.005958546
28,0.0065860003
29,-0.007916702
30,-0.0037312084
31,-0.0069155134
32,0.0019533536
33,0.025123795
34,-0.007201061
35,-0.0017205188
36,-0.01542162
37,0.0056059156
38,-0.007063031
39,0.010985238
40,-0.008484655
41,0.0065928544
42,0.0012329797
43,-0.0041660294
44,-0.0036943327
45,-0.0011631385
46,0.0128617855
47,0.004326268
48,-0.0040234104
49,0.0047937334
50,-0.011426856
51,0.012265922
52,0.0030362895
53,-0.0028768051
54,0.002976561
55,0.001970713
56,0.008963197
57,-0.004034393
58,-0.0015484934
59,0.013446985
60,0.0212596
61,-0.0037731444
62,-0.0057843835
63,-0.006160695
64,0.012925217
65,-0.01217922
66,0.0035517027
67,-0.0064083375
68,-0.00571513
69,0.0028379105
70,-0.0020594995
71,0.015180033
72,-0.008113684
73,-0.000961126
74,0.017362399
75,0.00012329512
76,0.017368464
77,-0.008079908
78,-0.0030160863
79,0.030351609
80,-0.0067669884
