Day,ForecastedLogReturn
1,0.011244347
2,0.00095903955
3,0.006831539
4,-4.135003e-05
5,-0.003588306
6,-0.027129637
7,-0.0037317155
8,-0.0012350451
9,-0.028391697
10,0.0060785282
11,0.008562075
12,-0.017735552
13,0.006856239
14,-9.472782e-05
15,-0.004745495
16,-0.03855219
17,0.0016309428
18,-0.0012180762
19,-0.008417407
20,0.006151548
21,0.0013744076
22,0.018510267
23,0.013218825
24,0.0004699553
25,-0.0054297466
26,0.008816834
27,-0.0010125099
28,-0.0018962172
29,-0.032576185
30,-0.00022286976
31,-0.00078549155
32,-0.059261233
33,-0.013480144
34,-0.019002486
35,0.0064263693
36,-0.0027570203
37,0.010052877
38,0.0026707582
39,0.0071065575
40,0.02035787
41,0.0073749507
42,-0.007880794
43,-0.028166046
44,-0.011895027
45,0.013152239
46,-0.012517191
47,0.004483492
48,0.0069921548
49,0.01920818
50,-0.003587691
51,-0.0026258992
52,0.0022561622
53,-0.004642383
54,0.019593883
55,0.0076070945
56,-0.011431066
57,0.015005443
58,0.0036500297
59,-0.009738374
60,-0.0031785935
61,-0.0005672382
62,-0.007618441
63,-0.03975202
64,-0.0031249432
65,-0.004886132
66,-4.7440277e-05
67,0.00650755
68,-0.00892084
69,0.0033142155
70,-0.0037023872
71,0.0005360338
72,0.0031646895
73,0.00079332193
74,-0.0075577046
75,0.004614478
76,-0.0016206291
77,-0.029738804
78,0.0054930886
79,-0.002820439
80,0.0010204786
