Day,ForecastedLogReturn
1,-0.0015046648
2,-0.011401902
3,0.008065648
4,-0.007577476
5,0.001472369
6,-0.0016804021
7,-0.00065109745
8,0.017534561
9,0.0025030687
10,0.0044538933
11,-0.002340509
12,-0.00042883225
13,0.004248158
14,0.0019017009
15,-0.0013691586
16,-0.0017725013
17,0.0014983582
18,0.0019017009
19,-0.0013691586
20,-0.0017725013
21,0.0014983582
22,0.0019017009
23,-0.0013691586
24,-0.0017725013
25,0.0014983582
26,0.0019017009
27,-0.0013691586
28,-0.0017725013
29,0.0014983582
30,0.0019017009
31,-0.0013691586
32,-0.0017725013
33,0.0014983582
34,0.0019017009
35,-0.0013691586
36,-0.0017725013
37,0.0014983582
38,0.0019017009
39,-0.0013691586
40,-0.0017725013
41,0.0014983582
42,0.0019017009
43,-0.0013691586
44,-0.0017725013
45,0.0014983582
46,0.0019017009
47,-0.0013691586
48,-0.0017725013
49,0.0014983582
50,0.0019017009
51,-0.0013691586
52,-0.0017725013
53,0.0014983582
54,0.0019017009
55,-0.0013691586
56,-0.0017725013
57,0.0014983582
58,0.0019017009
59,-0.0013691586
60,-0.0017725013
61,0.0014983582
62,0.0019017009
63,-0.0013691586
64,-0.0017725013
65,0.0014983582
66,0.0019017009
67,-0.0013691586
68,-0.0017725013
69,0.0014983582
70,0.0019017009
71,-0.0013691586
72,-0.0017725013
73,0.0014983582
74,0.0019017009
75,-0.0013691586
76,-0.0017725013
77,0.0014983582
78,0.0019017009
79,-0.0013691586
80,-0.0017725013
