Day,ForecastedLogReturn
1,-0.0021220585
2,-0.0041333954
3,-0.003915808
4,0.0021580409
5,-0.006521924
6,-0.0024397532
7,-0.0023274051
8,-0.005794394
9,0.007164454
10,-0.0058795004
11,-0.0038671058
12,0.007997341
13,-0.0027420595
14,-0.0031177644
15,0.0056529287
16,-0.0034227835
17,-0.0071792537
18,-0.00488038
19,-0.002012596
20,-0.0020103669
21,0.0025752413
22,0.0036831168
23,-0.0028244555
24,-0.0028563787
25,-0.027846778
26,-0.015484095
27,0.0009115427
28,-0.013045083
29,-0.003446524
30,0.011528127
31,-0.00015237568
32,-0.0067719617
33,0.006076326
34,0.003553029
35,-0.0042956215
36,0.018595302
37,-0.0068563307
38,-0.0076891747
39,0.0048280894
40,-0.011074105
41,0.015662054
42,0.0069638686
43,0.009428898
44,-0.022503417
45,0.009908177
46,0.0067186463
47,-0.0028072195
48,-0.005920556
49,0.025650933
50,-0.0019036719
51,-0.008092829
52,-0.0080583235
53,-0.013699058
54,0.0044730245
55,-0.0012474764
56,0.00017504008
57,0.0011197301
58,0.0024634227
59,-0.0010855969
60,-0.0035616963
61,-0.0068845726
62,-0.014762769
63,9.95611e-05
64,0.009615606
65,0.011657469
66,0.004106512
67,-0.0020582466
68,0.0016097433
69,-0.010146008
70,0.006874058
71,0.0040417053
72,0.0014740966
73,0.01139897
74,-0.00027134558
75,-0.0007659692
76,-0.0037513238
77,-0.0023308983
78,-0.006409061
79,-0.006354298
80,-0.0024278795
