Day,ForecastedLogReturn
1,0.0010438758
2,0.0010487757
3,0.004824703
4,0.010595626
5,0.0017170047
6,0.004055292
7,0.0053982534
8,0.0021177626
9,-0.002083013
10,0.003515044
11,0.010184877
12,0.0048247115
13,0.0015929799
14,0.006535705
15,0.010912972
16,0.0081930375
17,-3.5067627e-05
18,-0.0032664067
19,0.0004390754
20,-0.0025788578
21,-0.005522525
22,0.0015630588
23,-0.0003497139
24,-0.021302935
25,-0.019722028
26,0.008427613
27,0.0047914586
28,0.007929581
29,0.008365492
30,0.002491491
31,0.009751314
32,0.0026823517
33,-0.0020557237
34,0.0035558864
35,0.004493997
36,0.004585029
37,-0.00030086318
38,0.0009659099
39,0.0010697002
40,0.024286509
41,-0.0010847915
42,0.004045455
43,-0.0055579683
44,0.0024349203
45,-0.011368326
46,-0.00735866
47,0.00023926399
48,-0.005591162
49,-0.004093893
50,-0.052843936
51,-0.018331392
52,0.0022582416
53,-0.0025054708
54,-0.04074332
55,0.0012525683
56,0.011590466
57,-0.0058969585
58,-0.012071277
59,0.006529299
60,0.0049289954
61,0.0014629873
62,0.004026602
63,0.007977903
64,0.008685795
65,0.0016700133
66,-0.0003916533
67,0.0046672546
68,-0.0048244083
69,-0.00070168695
70,-0.006179199
71,0.0026676154
72,0.0059646587
73,0.003419809
74,0.0042254142
75,0.005367376
76,0.005291942
77,-0.004412494
78,-0.007823629
79,-0.00082941726
80,0.0029453882
