Day,ForecastedLogReturn
1,-0.003246648
2,0.002356885
3,0.01180644
4,-0.015120184
5,-0.0007532281
6,-0.002058452
7,-0.008495385
8,-0.0021727807
9,-0.0014940887
10,0.001946738
11,0.015830308
12,-0.009613413
13,0.0025709777
14,-0.0030834188
15,-0.003683818
16,0.0030322142
17,0.0055444026
18,-0.0058990745
19,-0.004807846
20,-0.003202231
21,1.1976929e-05
22,-0.00441113
23,0.0056232046
24,0.0007159348
25,-0.00034347674
26,0.006017595
27,0.0026801983
28,-0.004343779
29,-0.0025605771
30,-0.002595651
31,0.000739469
32,0.0054877996
33,0.0056404546
34,-0.0024054903
35,-0.005006973
36,-0.00069439877
37,-0.0006381164
38,-0.005500644
39,-0.0039514415
40,-0.0010592577
41,-0.00028777577
42,-0.00074187433
43,0.003952514
44,-0.008694945
45,-0.00014259636
46,0.002886726
47,0.001385559
48,0.0034291237
49,0.0053979326
50,-0.0006708853
51,-0.0027264182
52,0.00054803246
53,0.0015310517
54,-0.0027030976
55,-0.0005720897
56,7.912236e-05
57,-0.0016120375
58,-0.0018358061
59,0.0003124726
60,-0.0034080204
61,0.0016554957
62,-0.0014375304
63,-0.0044582346
64,-0.0012813086
65,-0.00456219
66,-0.00015430737
67,0.0011963197
68,-0.00085092767
69,-0.00025046666
70,0.0018878339
71,-0.0051329588
72,-0.006069089
73,-0.0067769694
74,-0.003079492
75,0.0073852683
76,0.0021795367
77,0.002701693
78,-0.0023735361
79,-0.004264226
80,0.0018553068
