Day,ForecastedLogReturn
1,0.0040536867
2,0.0017781581
3,-0.005356319
4,0.0067926385
5,0.0016788468
6,0.012953021
7,-0.0028251803
8,-0.0021486708
9,-0.0029282428
10,0.0008679811
11,-0.00074429705
12,-0.006302959
13,0.0021539293
14,-0.003515876
15,0.011856667
16,-0.0021437174
17,0.0036167402
18,0.0017856619
19,-0.0007862032
20,0.0010718515
21,0.006516195
22,0.010729119
23,0.0017361293
24,-0.001292304
25,0.00834273
26,0.0010890855
27,0.015224593
28,-0.005270337
29,0.0030453065
30,-0.0017421406
31,0.008881633
32,-0.0048156264
33,0.004249093
34,0.0019466194
35,0.0074982485
36,0.00022179069
37,-0.008272555
38,-0.005510669
39,-0.006575977
40,-0.002400716
41,0.0018314283
42,0.008571383
43,-0.008001597
44,-0.0009916606
45,-0.00078719895
46,0.00995739
47,-0.0035882213
48,0.0006089474
49,0.0026148688
50,0.004420097
51,-0.0008553271
52,0.00030764332
53,0.00093812065
54,-0.0014455857
55,0.0010232334
56,-0.00019296279
57,0.0013491946
58,0.0019352987
59,-0.0034648299
60,0.01577663
61,0.009586238
62,0.0053553316
63,0.0048439032
64,-0.0023889458
65,-0.004857516
66,-0.00024454424
67,-0.0015558715
68,0.0059122304
69,-0.0040368983
70,-0.0037310256
71,-0.00058750686
72,-0.0016988292
73,0.003220304
74,-0.0051910556
75,-0.005607565
76,0.00065253547
77,-0.0038251132
78,-0.0035369312
79,-0.0026432753
80,-0.004735573
