Day,ForecastedLogReturn
1,-0.002953614
2,0.005108286
3,-0.008096418
4,0.017723512
5,-0.002538647
6,-0.004112066
7,-0.006134704
8,-0.0047808075
9,0.0012776648
10,-0.0057294723
11,-0.0033859615
12,-0.0057294723
13,-0.0057294723
14,-0.0027271966
15,-0.0057294723
16,-0.0057294723
17,-0.0057294723
18,-0.0057294723
19,-0.0057294723
20,-0.0057294723
21,-0.0057294723
22,-0.0057294723
23,-0.0057294723
24,-0.0057294723
25,-0.0057294723
26,-0.0057294723
27,-0.0057294723
28,-0.0057294723
29,-0.0057294723
30,-0.0057294723
31,-0.0057294723
32,-0.0057294723
33,-0.0057294723
34,-0.0057294723
35,-0.0057294723
36,-0.0057294723
37,-0.0057294723
38,-0.0057294723
39,-0.0057294723
40,-0.0057294723
41,-0.0057294723
42,-0.0057294723
43,-0.0057294723
44,-0.0057294723
45,-0.0057294723
46,-0.0057294723
47,-0.0057294723
48,-0.0057294723
49,-0.0057294723
50,-0.0057294723
51,-0.0057294723
52,-0.0057294723
53,-0.0057294723
54,-0.0057294723
55,-0.0057294723
56,-0.0057294723
57,-0.0057294723
58,-0.0057294723
59,-0.0057294723
60,-0.0057294723
61,-0.0057294723
62,-0.0057294723
63,-0.0057294723
64,-0.0057294723
65,-0.0057294723
66,-0.0057294723
67,-0.0057294723
68,-0.0057294723
69,-0.0057294723
70,-0.0057294723
71,-0.0057294723
72,-0.0057294723
73,-0.0057294723
74,-0.0057294723
75,-0.0057294723
76,-0.0057294723
77,-0.0057294723
78,-0.0057294723
79,-0.0057294723
80,-0.0057294723
