Day,ForecastedLogReturn
1,-0.019317195
2,-0.0078626005
3,-0.040074565
4,-0.018932717
5,-0.1615742
6,0.015673373
7,0.0033726937
8,-0.008889873
9,0.010437048
10,0.007492434
11,0.0020964404
12,-0.018184686
13,-0.023881033
14,-0.022818185
15,-0.023318473
16,-0.063220754
17,0.04027764
18,0.034292623
19,-0.026805114
20,0.003592331
21,0.0068851616
22,0.054324742
23,-0.018477825
24,-0.031685006
25,-0.0029906898
26,-0.02713444
27,-0.013379422
28,-0.0055160653
29,-0.00793981
30,0.0016070798
31,-0.023596082
32,-0.011502485
33,-0.012871408
34,-0.02544166
35,0.036101095
36,0.01940218
37,-0.017945321
38,0.03907602
39,-0.010232149
40,-0.01084292
41,-0.048133373
42,-0.052489333
43,-0.040032893
44,-0.008702922
45,-0.012009956
46,-0.013610378
47,-0.0019868643
48,0.002692224
49,-0.018176792
50,-0.029952513
51,-0.018612284
52,-0.03262925
53,-0.028263433
54,0.011947589
55,0.0254997
56,-0.00343277
57,0.011327608
58,0.011910233
59,0.015941225
60,-0.008268476
61,-0.040235143
62,-0.014437032
63,-0.0072292965
64,-0.006286978
65,-0.027413236
66,-0.010322405
67,0.0015601225
68,-0.028314153
69,0.0141809
70,0.018919023
71,-0.03303591
72,0.012283608
73,0.017146386
74,0.0012804826
75,-0.008484428
76,-0.013824946
77,-0.0067891283
78,-0.006987962
79,-0.015808359
80,-0.022727175
