Day,ForecastedLogReturn
1,-0.046560433
2,0.0017078485
3,0.041037254
4,0.033742193
5,-0.023146508
6,-0.041043516
7,-0.06946006
8,-0.066272795
9,-0.024579028
10,0.0049977545
11,-0.06646646
12,0.0568089
13,-0.074852265
14,-0.030266423
15,0.07088785
16,-0.0070689386
17,0.023282384
18,0.042590093
19,-0.10266439
20,-0.07744355
21,-0.07547546
22,0.003046847
23,0.028167753
24,-0.14319196
25,-0.0024922383
26,0.01066543
27,-0.014535236
28,-0.002559891
29,-0.008369654
30,-0.040591095
31,-0.023879176
32,-0.040591095
33,-0.029962927
34,-0.037631962
35,-0.029962927
36,-0.02130763
37,-0.02346829
38,-0.02346829
39,-0.03781086
40,-0.0404122
41,-0.0404122
42,-0.029962927
43,-0.02130763
44,-0.02346829
45,-0.02346829
46,-0.03781086
47,-0.0404122
48,-0.0404122
49,-0.029962927
50,-0.02130763
51,-0.02346829
52,-0.02346829
53,-0.03781086
54,-0.0404122
55,-0.0404122
56,-0.029962927
57,-0.02130763
58,-0.02346829
59,-0.02346829
60,-0.03781086
61,-0.0404122
62,-0.0404122
63,-0.029962927
64,-0.02130763
65,-0.02346829
66,-0.02346829
67,-0.03781086
68,-0.0404122
69,-0.0404122
70,-0.029962927
71,-0.02130763
72,-0.02346829
73,-0.02346829
74,-0.03781086
75,-0.0404122
76,-0.0404122
77,-0.029962927
78,-0.02130763
79,-0.02346829
80,-0.02346829
