Day,ForecastedLogReturn
1,-0.009748296
2,-0.0059601045
3,0.003067568
4,0.005868421
5,0.0036151079
6,0.004392767
7,0.0006320985
8,0.0012543971
9,-0.0008763348
10,-0.0008825125
11,0.0032233582
12,-0.00276114
13,0.00040709044
14,0.022303782
15,0.011957579
16,0.0065764077
17,0.018333506
18,0.0106701255
19,0.010364556
20,-0.011186849
21,-0.00037848306
22,-0.0011587379
23,0.012970704
24,0.005548035
25,0.008200089
26,0.0034730877
27,0.009033227
28,-0.010868969
29,-0.0017590823
30,0.0048088133
31,-0.008765105
32,0.015042531
33,-0.00012124056
34,-0.011432628
35,-0.0011267967
36,0.016218292
37,-0.0006229956
38,-0.0018540114
39,0.0015025757
40,-0.0075561227
41,0.0071452623
42,0.002515096
43,0.005799216
44,0.002829785
45,-0.020045718
46,0.00237996
47,-0.003747969
48,-0.0018277426
49,0.0010490267
50,-0.0029152622
51,0.00093115994
52,0.019011877
53,0.02062516
54,0.012284686
55,0.010363348
56,0.0050334805
57,0.010843279
58,-0.0027973764
59,-0.018462894
60,0.0026494984
61,0.014707981
62,0.0053441003
63,0.0067949947
64,0.0030823685
65,0.0103628775
66,-0.009940336
67,-0.0015243435
68,-0.005079392
69,0.006763612
70,-0.0072142226
71,0.0043172766
72,0.009709185
73,0.0001657545
74,0.005583094
75,-0.017601084
76,-0.000708513
77,-0.0057583074
78,-0.0027982404
79,-0.002460301
80,0.015815938
