Day,ForecastedLogReturn
1,0.0053602643
2,0.00013900778
3,0.0025487314
4,0.0011703002
5,-0.0043910146
6,0.007818605
7,-0.0029487729
8,-0.010238028
9,-0.0054833866
10,-0.018115027
11,-0.0033801359
12,-0.0076558706
13,0.017725227
14,0.0062365485
15,-0.0011946042
16,-0.0012480785
17,-0.00350741
18,0.0070661283
19,0.002134049
20,-0.0050560767
21,0.0062078563
22,-0.0038720942
23,0.008524065
24,0.0012403084
25,-0.009741333
26,0.0028299685
27,-0.005042739
28,0.00890848
29,-0.007054918
30,-0.007957899
31,-0.0054790787
32,0.0033211834
33,-0.005489211
34,-0.0052755666
35,0.010512764
36,-0.002834407
37,-0.012158667
38,0.012968703
39,-0.019169772
40,0.0062988442
41,0.0014111337
42,-0.015397735
43,-0.016931063
44,0.008600166
45,0.0034861781
46,-0.0074192556
47,0.009142191
48,-0.0002023473
49,-0.0056454996
50,-0.005704897
51,0.004607619
52,-0.008614921
53,0.00069557957
54,0.0013952154
55,-0.003834821
56,-0.006385549
57,6.0442937e-05
58,-0.003797081
59,0.0027243092
60,-0.0011994004
61,-0.008802389
62,0.0020579153
63,-0.0020943033
64,-0.0045551937
65,0.0047403006
66,0.0015441418
67,-0.008152803
68,0.0013805662
69,-0.0010281886
70,0.006405604
71,-0.0024305393
72,-5.5387303e-05
73,-0.00041092787
74,-0.0039880024
75,0.009423449
76,-0.0020959685
77,-0.010907702
78,-0.0030467114
79,-0.0026689293
80,-0.002781774
