Day,ForecastedLogReturn
1,0.003525351
2,0.0006591737
3,0.0013489394
4,-0.008139296
5,0.009648634
6,-0.0037517794
7,0.008702479
8,-0.013534731
9,0.013427875
10,1.3214661e-05
11,0.0037619066
12,-0.008048902
13,0.025091624
14,0.0010790394
15,-0.0013521457
16,0.010813937
17,-0.021579811
18,0.015302962
19,-0.023711255
20,0.008522723
21,0.0012325335
22,0.023508484
23,0.0044889487
24,0.021183254
25,0.0029826907
26,0.010494783
27,0.011393842
28,0.008342571
29,0.00945526
30,0.01422202
31,0.0070033413
32,0.013528801
33,0.0072562904
34,0.022801252
35,0.02202107
36,0.022887027
37,0.03318693
38,0.023399794
39,0.01890686
40,0.0247463
41,0.024571754
42,0.012419372
43,0.03865203
44,0.022041168
45,0.01062599
46,0.027625985
47,0.017380115
48,0.024295565
49,0.03617948
50,0.017461384
51,0.024462685
52,0.028578894
53,0.018285869
54,0.023171341
55,0.028164608
56,0.018821312
57,0.024822973
58,0.026606705
59,0.027943842
60,0.019665807
61,0.022983689
62,0.021278767
63,0.007334433
64,0.022990553
65,0.018137371
66,0.025622856
67,0.02884082
68,0.016136834
69,0.028147183
70,0.02450864
71,0.029259285
72,0.03345398
73,0.02965483
74,0.020409537
75,0.017709212
76,0.024075815
77,0.010655846
78,0.025373409
79,0.030852478
80,0.020608265
