Day,ForecastedLogReturn
1,-0.0031806622
2,0.0023494232
3,0.008125145
4,0.038088195
5,0.016161406
6,-0.013774213
7,0.038649477
8,0.037503105
9,0.021386841
10,-0.016983597
11,0.0038655994
12,0.007294284
13,0.016839186
14,0.0018707876
15,-0.030136388
16,0.046844456
17,0.016175114
18,0.013572064
19,-0.017765205
20,0.009161807
21,0.053586148
22,0.018004917
23,0.0057351436
24,0.015838536
25,0.005199574
26,0.020368911
27,-0.007179437
28,0.015745372
29,-0.018346488
30,0.027253948
31,0.049843524
32,0.0115361735
33,-0.029677529
34,0.0018527493
35,0.050991908
36,0.014556989
37,0.020614775
38,-0.020943101
39,0.009782453
40,0.016608553
41,0.0106966775
42,-0.011452871
43,0.084725566
44,0.05219614
45,0.026771523
46,-0.018414887
47,-0.013126264
48,0.021343075
49,0.015310794
50,0.0015459219
51,-0.016599357
52,0.012814847
53,0.019022837
54,0.010981185
55,-0.01673336
56,0.0013465617
57,0.037993275
58,0.01634506
59,-0.0031906418
60,-0.018841222
61,-0.00024167854
62,0.028471474
63,0.022464873
64,0.030229853
65,-0.032755364
66,-0.006392751
67,0.030082168
68,-0.008752964
69,0.001159343
70,-0.013527688
71,-0.033521734
72,0.010082775
73,-0.00062011054
74,0.0027317246
75,-0.013564474
76,0.027534327
77,0.01406556
78,0.0171877
79,-0.026280835
80,0.002213167
