Day,ForecastedLogReturn
1,0.0018559336
2,0.024431808
3,-0.007160292
4,-7.2060952e-06
5,-0.0031124153
6,-0.014830646
7,0.0012228613
8,-0.007526238
9,-0.008083093
10,-0.0072963894
11,0.0077157277
12,0.0070168036
13,-0.0018700567
14,0.013262684
15,-0.008783148
16,-0.0028205765
17,-0.014786084
18,-0.012677893
19,0.00016203368
20,0.003645926
21,-0.009310317
22,-0.0109916935
23,0.0021596677
24,-0.0066382186
25,-0.00175394
26,0.011406115
27,-4.4173003e-06
28,-0.0027366222
29,-0.012244777
30,-0.012471971
31,-0.0022787084
32,-0.011443723
33,-0.03194795
34,0.0028944886
35,-0.011037854
36,-0.0016374631
37,0.050295696
38,0.004904143
39,-0.0044967965
40,-0.0069050435
41,-0.011576184
42,-0.0043113376
43,-0.0020278809
44,-0.0078111943
45,-0.00022617001
46,-0.007692966
47,0.0069127507
48,0.008704483
49,-0.0018141735
50,0.00344191
51,-0.008218351
52,-0.015426491
53,0.0015252089
54,-0.0039044921
55,0.0036344246
56,-0.017994573
57,0.025083985
58,-0.0047385655
59,0.00035432496
60,-0.0007424128
61,0.01049468
62,0.006465817
63,0.008870198
64,-0.004538136
65,-0.005421814
66,0.006300191
67,-0.009845114
68,-0.00928053
69,0.012729529
70,-0.01167904
71,-0.0045703687
72,0.0020668078
73,-0.008246282
74,-0.004840948
75,0.003929348
76,0.01006691
77,0.0036974796
78,-0.00499689
79,0.0002903615
80,-0.0042422684
