Day,ForecastedLogReturn
1,-0.09709318
2,-0.019235196
3,0.008783869
4,0.0228031
5,-0.009654779
6,-0.001503019
7,0.016081288
8,-0.015422162
9,0.009866453
10,-0.0035984253
11,-0.026942734
12,0.04471725
13,-0.030352699
14,0.0143953245
15,-0.019654602
16,-0.0153429285
17,0.055336773
18,-0.030851604
19,0.043440968
20,0.009456479
21,0.0006327407
22,0.028864516
23,0.012801141
24,0.019227507
25,0.017675914
26,0.068945624
27,0.01216931
28,0.058561794
29,0.06525971
30,0.09569559
31,0.0394609
32,0.049596917
33,0.025842983
34,0.026097236
35,0.032525554
36,0.01939083
37,0.041243695
38,0.005518772
39,0.09133687
40,0.014846246
41,0.15855932
42,-0.038409878
43,-0.021358062
44,0.011432604
45,0.015601228
46,-0.015760563
47,0.023828404
48,-0.006107545
49,0.0073548406
50,0.039848182
51,-0.029434016
52,-0.003658547
53,-0.0013423058
54,0.01643758
55,-0.008419426
56,0.045799915
57,0.00026223704
58,-0.021155626
59,0.023445645
60,-0.02570163
61,-0.008956785
62,0.0013414805
63,0.002605177
64,0.0033589741
65,0.02915254
66,-0.008227617
67,0.02548301
68,0.0032810355
69,0.073325634
70,0.0080929985
71,0.061696418
72,-0.022220869
73,0.018553086
74,0.0037807575
75,0.048665345
76,0.032049615
77,0.011765809
78,0.10789354
79,0.010415105
80,0.055025663
