Day,ForecastedLogReturn
1,-0.0045042117
2,0.002818725
3,-0.011197693
4,-0.0010127148
5,-0.017629337
6,0.0019915155
7,0.0071336897
8,0.007940505
9,0.012000127
10,0.010007241
11,-0.0015598255
12,-0.004723631
13,-0.005092744
14,-0.0055248365
15,0.0012186852
16,-0.0048653395
17,0.006213906
18,0.004930022
19,0.0013451733
20,-0.0021991588
21,-0.003476938
22,0.001463546
23,-0.010233215
24,-0.0026920063
25,-0.011069327
26,-0.031297512
27,0.023120439
28,-0.016551074
29,0.00854045
30,-0.007926249
31,0.017272903
32,-0.027261537
33,-0.0024825793
34,0.0014129181
35,0.010604131
36,0.006807578
37,0.01530566
38,-0.0049600587
39,-0.008809358
40,0.006168969
41,0.0056939353
42,-0.0028940914
43,0.0025522893
44,-0.020297611
45,0.016307488
46,-0.00939264
47,-0.0006304948
48,-0.012590956
49,0.0130576035
50,0.008298547
51,-0.017402835
52,0.011422734
53,-0.007213065
54,-0.010343893
55,-0.0061003016
56,0.012689238
57,-0.008230835
58,0.003574439
59,-0.029721085
60,0.0045911297
61,-0.014318834
62,0.0011315487
63,-0.027538314
64,-0.0106985895
65,0.012994072
66,-0.004734306
67,-0.0051085614
68,0.02825838
69,0.005254325
70,-0.0023253039
71,-0.018440714
72,0.003542979
73,0.0046586795
74,0.0001271868
75,-0.0007309136
76,0.0018827253
77,0.0047910716
78,0.0087567065
79,0.008426961
80,0.002619088
