Day,ForecastedLogReturn
1,-0.040905032
2,0.010855341
3,0.0073956414
4,0.01262672
5,0.0013793084
6,0.014493557
7,-0.0051415022
8,-0.0053322217
9,0.009445869
10,0.0045771915
11,-0.0021168422
12,0.004330041
13,-0.0068763765
14,0.0074447566
15,-0.009292217
16,-0.0012004558
17,0.005238095
18,-0.00049715623
19,0.004039504
20,-0.0028237768
21,0.012080835
22,-0.0041481457
23,-0.0002490367
24,-0.0039526946
25,0.00062622566
26,0.0034627577
27,0.0014207442
28,0.001757439
29,-0.00078706397
30,-0.009360709
31,-0.0040841075
32,0.005375746
33,0.0031237958
34,0.0054842145
35,-0.001650749
36,-0.0013184667
37,-0.0022319984
38,1.6827626e-05
39,-0.0055955807
40,-0.008550565
41,-0.000401703
42,0.004168766
43,-0.0014782179
44,0.008754146
45,-0.001271802
46,-0.002508268
47,-0.0073844097
48,-0.0010368165
49,-0.0031230531
50,-0.0016970625
51,-0.00094148685
52,-0.0070405835
53,0.0045712516
54,-0.006779745
55,0.0014922479
56,-0.0036198387
57,-0.0009516115
58,-0.0008803708
59,-0.006903981
60,0.0018121056
61,-0.006415286
62,0.0021950984
63,-0.007829096
64,-0.00055355625
65,-0.0050301836
66,-0.004145749
67,-0.0006989813
68,-0.006624702
69,0.008988695
70,-0.003969763
71,-0.0022151065
72,0.0026821427
73,-0.007800386
74,-0.005820983
75,-0.0028839696
76,0.004553886
77,-0.007785868
78,-0.0030373475
79,0.0013134181
80,-0.0028704908
