Day,ForecastedLogReturn
1,0.021573758
2,0.005207819
3,-0.0028130847
4,-0.006180952
5,0.007247304
6,0.005186807
7,-0.0008828875
8,-0.0022459954
9,0.0063903937
10,0.024896543
11,0.0005753602
12,-0.052074034
13,-0.0038357445
14,0.010724831
15,-0.011311334
16,0.006978274
17,-0.008675715
18,-0.011545295
19,0.0058578835
20,0.010667573
21,0.004246933
22,-0.0024483283
23,-0.0059233787
24,0.0028155546
25,-0.0014721283
26,-0.017578404
27,0.0025194224
28,-0.01014156
29,-0.006096487
30,-0.003354567
31,0.009666147
32,0.006483737
33,0.00024880376
34,-0.008794418
35,-0.0040844465
36,0.040610034
37,0.0047880393
38,0.0019715799
39,-0.010045561
40,0.021484258
41,0.0037017826
42,0.00088574784
43,-0.0075237374
44,-0.013519651
45,-0.00061051256
46,-0.0014374863
47,-0.0056634382
48,-0.0062195575
49,0.012986752
50,-0.013244597
51,0.001706717
52,-0.006836106
53,-0.008719922
54,-0.005514869
55,0.012852788
56,0.0046732863
57,-0.0004415284
58,-0.001890097
59,0.00097262446
60,0.010485685
61,-0.0018320068
62,-0.016816365
63,0.0059184856
64,0.0056275725
65,-0.00470688
66,-0.008083828
67,0.0039721695
68,0.018530564
69,0.0025253277
70,-0.00022973053
71,-0.006656598
72,0.006402389
73,-0.009375759
74,-0.0035724074
75,-0.0074635246
76,0.005809424
77,0.009385568
78,-0.0049520275
79,-0.0077001397
80,-6.9948655e-05
