Company,MAE,RMSE,R2,Accuracy
AETEC,0.03252358800096963,0.05195170776415518,-0.36457113561303434,-0.2953176469892136
AMV,0.0017620167290468656,0.0024721616840482634,-0.8354284057475501,-0.6458814523447027
ARTES,0.01708480471972715,0.034015342779028256,-0.21822040859870273,-0.3359184705731011
BH,0.013427308618727499,0.01822498372668404,-0.6249134926033304,-0.6573052117793501
BHL,0.03284547544741305,0.043956548191464564,-0.6722142192317055,-0.416653995275029
BNA,0.010261878362612123,0.01730272725824686,-0.34733873617090816,-0.3399239996416279
BS,0.009953398001965048,0.019416696227276906,-0.2533705329562721,-0.2813287902770456
BTEI,0.02395238595377434,0.035080727537629995,-1.292880772171026,-0.9045148913462282
CC,0.010185768128483918,0.013243510709110774,-0.22995766798153094,-0.1372730379557796
CELL,0.02860202019596786,0.0441282317495763,-0.3100030315038709,-0.2387985380374953
CIL,0.017315721220142404,0.04334408258758498,-0.20273057756439972,-0.30250538948909655
CITY,0.010792992389628567,0.015362111053589936,-0.198881386842779,-0.31629178083797416
DH,0.010783253852974963,0.015635000262917358,-0.11375189567723365,-0.17147888144937107
ECYCL,0.014874749117796956,0.027206033447071953,-0.09364710732064552,-0.1418830866132894
GIF,0.028435231392781302,0.03601561537641942,-0.30187598498904,-0.26951550269711966
HANL,0.008799362082653708,0.013326621415579788,-0.3343801323507931,-0.6211051406200654
ICF,0.01239388047176687,0.0177186034709123,-0.21252373922580103,-0.3851572841912727
LNDOR,0.015743429457540585,0.023613913812637652,-0.2208099435793638,-0.29934092853553484
LSTR,0.05047509121161854,0.08510029499800131,0.023660127816727328,-0.05177895643679453
MIP,0.0555936613199321,0.06959658630106429,-0.501315636119765,-0.29069608429036076
MNP,0.016636864343066503,0.026957406354112822,-0.8122541958429117,-0.43213310411587735
MPBS,0.017424667121542933,0.023379838486665694,-0.4159291497865436,-0.3627724298793593
NAKL,0.015147374576711621,0.02726272981467482,-0.9118111463070144,-0.5935701408105567
NBL,0.009137446205783172,0.015201939063994464,-0.3714688482651205,-0.5118710295922304
OTH,0.009144179726363132,0.014738735627490535,-0.25991992154943544,-0.22316548699555772
PLAST,0.026410388707539482,0.03232776312444481,-0.37139308616902933,-0.28465429860834357
SAH,0.00754487341030176,0.010630729778770472,-0.22645909464217162,-0.26404485668355315
SAMAA,0.012810940258540751,0.02958825598389238,-0.25371653493059854,-0.3692777946010821
SERVI,0.08393123970699931,0.13107356725659092,-1.048097311428919,-0.6602481265230182
SIPHA,0.021683379592053752,0.028826054341434905,-3.452999564902771,-1.7175430750546852
SITS,0.027651088800741873,0.047082382973832465,-1.9130111791581434,-0.9528557760462917
SMD,0.03418139291619037,0.045870040550869,-0.16579117608943927,-0.22980631256049544
SOPAT,0.015489688691303165,0.021798200893355754,-0.16141500646625206,-0.2157787603732031
SOTE,0.018041151269700944,0.02682432321814001,-0.9420469008332133,-0.3238100553356067
SPDI,0.011721326166140847,0.023820199281098398,-0.5351078430665117,-0.7639395666318354
STAR,0.009272001559267723,0.016479524308521048,-0.07906621200110386,-0.26702607815940804
STIP,0.06390822474393316,0.10339258048926815,-0.853661923580705,-0.29520998259129105
STVR,0.01126069047422042,0.017999499809813076,-0.15034930118487067,-0.23543411879621523
TINV,0.03539984512373921,0.05018272136990334,-0.3431457975061396,-0.44956364756030887
TJL,0.014528072836767813,0.021523506159088053,-0.969105952895331,-0.6687660417246599
TLNET,0.009367374537061084,0.01377387934458474,-0.37681208964325985,-0.32406516768844096
TLS,0.012979625441932808,0.017727428656043435,-0.3517879936694439,-0.4060057984138028
TRE,0.01542491260248102,0.022908413124758106,-0.20635805125745477,-0.26205049183371476
UMED,0.010859391903993343,0.013537488380068364,-0.6033167393257608,-0.4041311560591858
WIFAK,0.007265379359510682,0.011480993540775957,-1.606089403695922,-0.9763170632643978
