Date,Price,Open,High,Low,Vol.,Change %,Return
2020-10-21,33.33,33.33,33.33,33.33,200.0,0.0,0.0
2020-10-22,33.33,33.33,33.33,33.33,130.0,0.0,0.0
2020-10-26,33.3,33.3,33.3,33.3,180.0,-0.09,-0.09000900090009312
2020-10-27,33.3,32.4,33.3,32.4,30.0,0.0,0.0
2020-10-28,33.31,33.31,33.31,33.31,10.0,0.03,0.030030030030037125
2020-12-01,46.99,46.99,46.99,46.99,50.0,-0.02,-0.021276595744679216
2020-12-07,46.9,46.9,46.9,46.9,50.0,-0.19,-0.19153011278996157
2020-12-09,48.0,48.0,48.0,48.0,40.0,0.0,0.0
2020-12-10,47.8,47.8,47.8,47.8,30.0,-0.42,-0.4166666666666763
2020-12-14,47.8,47.8,47.8,47.8,30.0,0.0,0.0
2020-12-17,47.8,47.8,47.8,47.8,70.0,0.0,0.0
2020-12-23,47.8,47.8,47.8,47.8,40.0,0.29,0.2937473772555599
2020-12-24,47.8,47.8,47.8,47.8,80.0,0.0,0.0
2020-12-25,47.8,47.8,47.8,47.8,30.0,0.0,0.0
2020-12-28,47.8,47.8,47.8,47.8,30.0,0.0,0.0
2021-01-28,47.79,47.79,47.79,47.79,70.0,-0.02,-0.020920502092047766
2021-03-09,45.64,45.64,45.64,45.64,30.0,0.0,0.0
2021-08-05,41.03,41.03,41.03,41.03,10.0,0.0,0.0
2021-08-06,41.03,41.03,41.03,41.03,10.0,0.0,0.0
2021-08-11,41.03,41.03,41.03,41.03,60.0,0.0,0.0
2021-09-15,41.0,41.0,41.0,41.0,20.0,-0.07,-0.07311723129417302
2021-09-24,39.2,39.2,39.2,39.2,30.0,-0.76,-0.7594936708860689
2021-09-27,39.0,39.0,39.0,39.0,30.0,-0.51,-0.5102040816326592
2021-10-01,37.6,37.6,37.6,37.6,100.0,0.0,0.0
2021-10-04,37.6,37.6,37.6,37.6,0.0,0.0,0.0
2021-10-08,35.95,35.95,35.95,35.95,10.0,-0.14,-0.1388888888888773
2021-10-13,36.3,36.3,36.3,36.3,170.0,0.0,0.0
2021-10-14,36.3,36.3,36.3,36.3,40.0,0.0,0.0
2021-10-21,36.0,36.0,36.0,36.0,60.0,-0.83,-0.8264462809917328
2021-10-28,36.0,36.0,36.0,36.0,110.0,0.0,0.0
2021-10-29,36.0,36.0,36.0,36.0,80.0,0.0,0.0
2021-11-02,36.0,36.0,36.0,36.0,390.0,0.0,0.0
2021-11-12,36.0,36.0,36.0,36.0,0.0,0.0,0.0
2021-11-15,36.0,36.0,36.0,36.0,30.0,0.0,0.0
2021-11-16,36.0,36.0,36.0,36.0,140.0,0.0,0.0
2021-11-19,36.0,36.0,36.0,36.0,90.0,0.0,0.0
2021-11-26,37.0,37.0,37.0,37.0,70.0,0.0,0.0
2021-12-03,38.0,38.0,38.0,38.0,80.0,0.0,0.0
2021-12-14,38.0,38.0,38.0,38.0,30.0,0.0,0.0
2021-12-15,38.0,38.0,38.0,38.0,20.0,0.0,0.0
2021-12-16,38.0,38.0,38.0,38.0,10.0,0.0,0.0
2021-12-29,38.0,38.0,38.0,38.0,200.0,0.0,0.0
2022-01-04,41.49,41.49,41.49,41.49,20.0,0.0,0.0
2022-01-06,43.2,43.2,43.2,43.2,50.0,-0.02,-0.02314279102059169
2022-02-07,40.61,40.61,40.61,40.61,0.0,0.0,0.0
2022-02-08,40.61,40.61,40.61,40.61,10.0,0.0,0.0
2022-02-10,40.61,40.61,40.61,40.61,10.0,0.0,0.0
2022-04-05,36.5,36.5,36.5,36.5,10.0,0.0,0.0
2022-04-06,36.5,36.5,36.5,36.5,40.0,0.0,0.0
2022-05-11,35.5,35.5,35.5,35.5,60.0,0.0,0.0
2022-05-12,35.5,35.5,35.5,35.5,30.0,0.0,0.0
2022-05-13,35.5,35.5,35.5,35.5,90.0,0.0,0.0
2022-05-17,35.5,35.5,35.5,35.5,50.0,0.0,0.0
2022-05-18,35.5,35.5,35.5,35.5,40.0,0.0,0.0
2022-05-19,35.45,35.45,35.45,35.45,20.0,-0.14,-0.14084507042252392
2022-05-20,35.45,35.45,35.45,35.45,60.0,0.0,0.0
2022-06-28,33.9,33.9,33.9,33.9,80.0,-0.03,-0.029489826010020703
2022-08-18,33.5,33.5,33.5,33.5,10.0,0.0,0.0
2022-08-23,33.5,33.5,33.5,33.5,10.0,0.0,0.0
2022-10-03,29.5,29.5,29.5,29.5,90.0,0.0,0.0
2022-10-17,29.51,29.51,29.51,29.51,20.0,0.03,0.03389830508475633
2022-10-18,29.5,29.5,29.5,29.5,90.0,-0.03,-0.03388681802779514
2022-10-20,29.5,29.5,29.5,29.5,10.0,0.0,0.0
2022-11-30,33.5,33.5,33.5,33.5,330.0,0.0,0.0
2022-12-15,35.42,35.42,35.42,35.42,140.0,-0.2,-0.19723865877712132
2022-12-23,35.27,35.27,35.27,35.27,90.0,-0.23,-0.22630834512021858
2022-12-26,35.4,35.4,35.4,35.4,0.0,0.37,0.3685851998865841
2023-01-11,34.0,34.0,34.0,34.0,40.0,0.0,0.0
2023-01-13,34.0,34.0,34.0,34.0,60.0,0.0,0.0
2023-02-16,35.5,35.5,35.5,35.5,10.0,0.0,0.0
2023-08-24,33.72,33.72,33.72,33.72,10.0,0.0,0.0
2023-09-08,30.0,30.0,30.0,30.0,10.0,0.0,0.0
2023-09-11,30.0,30.0,30.0,30.0,40.0,0.0,0.0
