Date,Price,Open,High,Low,Vol.,Change %,Return
2023-01-09,6.3,6.3,6.3,6.2,1330.0,0.0,0.0
2023-01-20,6.43,6.4,6.45,6.4,12510.0,0.0,0.0
2023-02-02,6.39,6.27,6.39,6.27,3700.0,0.0,0.0
2023-02-03,6.39,6.34,6.39,6.34,5500.0,0.0,0.0
2023-02-07,6.34,6.26,6.34,6.25,2060.0,-0.16,-0.15748031496062298
2023-02-13,6.13,6.08,6.13,6.07,5210.0,-0.16,-0.16286644951140072
2023-02-15,6.09,6.11,6.11,6.07,4090.0,-0.16,-0.16393442622950616
2023-02-16,6.08,6.1,6.11,6.06,7100.0,-0.16,-0.16420361247947435
2023-02-20,6.08,6.1,6.1,6.08,5950.0,-0.33,-0.3278688524590123
2023-02-21,6.08,6.08,6.08,6.08,4440.0,0.0,0.0
2023-02-22,6.08,6.08,6.09,6.05,5340.0,0.0,0.0
2023-02-23,6.08,6.08,6.08,6.03,9320.0,0.0,0.0
2023-02-24,6.07,6.08,6.08,6.0,8020.0,-0.16,-0.1644736842105199
2023-02-27,6.07,6.07,6.07,6.0,16300.0,0.0,0.0
2023-02-28,6.07,6.07,6.07,6.01,13700.0,0.0,0.0
2023-03-01,6.06,6.07,6.07,6.0,6410.0,-0.16,-0.16474464579901982
2023-03-02,6.05,6.06,6.06,5.96,9460.0,-0.17,-0.16501650165016146
2023-03-03,6.05,6.05,6.05,6.0,8720.0,0.0,0.0
2023-03-06,6.04,6.05,6.05,6.04,1510.0,-0.17,-0.16528925619834212
2023-03-08,6.0,6.04,6.04,5.97,5550.0,0.0,0.0
2023-03-09,5.99,6.0,6.0,5.92,3330.0,-0.17,-0.1666666666666594
2023-03-14,6.27,6.28,6.28,6.2,16079.999999999998,-0.16,-0.15923566878981443
2023-03-17,6.4,6.4,6.4,6.36,24340.0,0.0,0.0
2023-03-22,6.35,6.3,6.35,6.3,6570.0,0.0,0.0
2023-03-23,6.34,6.34,6.34,6.34,1500.0,-0.16,-0.15748031496062298
2023-03-24,6.34,6.34,6.34,6.34,1050.0,0.0,0.0
2023-03-30,6.22,6.22,6.22,6.22,19450.0,-0.32,-0.3205128205128305
2023-04-04,6.3,6.33,6.33,6.29,2600.0,0.0,0.0
2023-04-05,6.3,6.29,6.3,6.21,30700.0,0.0,0.0
2023-04-06,6.3,6.3,6.3,6.2,5120.0,0.0,0.0
2023-04-10,6.35,6.35,6.35,6.23,7780.0,0.0,0.0
2023-04-13,6.47,6.48,6.48,6.36,3370.0,-0.31,-0.30816640986133237
2023-04-14,6.47,6.48,6.48,6.36,6950.0,0.0,0.0
2023-04-18,6.44,6.44,6.44,6.44,400.0,0.0,0.0
2023-04-19,6.44,6.44,6.44,6.43,9520.0,0.0,0.0
2023-04-20,6.44,6.43,6.44,6.4,75200.0,0.0,0.0
2023-04-24,6.44,6.44,6.44,6.44,400.0,0.0,0.0
2023-04-25,6.43,6.43,6.43,6.4,5510.0,-0.16,-0.15527950310559868
2023-04-26,6.43,6.43,6.43,6.4,3880.0,0.0,0.0
2023-04-27,6.42,6.42,6.42,6.3,3360.0,-0.16,-0.15552099533436836
2023-04-28,6.42,6.42,6.42,6.4,3700.0,0.0,0.0
2023-05-02,6.4,6.41,6.41,6.4,4700.0,-0.31,-0.31152647975076775
2023-05-03,6.4,6.4,6.4,6.3,12910.0,0.0,0.0
2023-05-04,6.38,6.39,6.4,6.35,13920.0,-0.31,-0.31250000000000444
2023-05-08,6.5,6.57,6.57,6.49,37040.0,0.0,0.0
2023-05-09,6.5,6.5,6.5,6.46,24500.0,0.0,0.0
2023-05-10,6.5,6.54,6.54,6.45,2840.0,0.0,0.0
2023-05-12,6.54,6.53,6.54,6.5,2180.0,0.15,0.15313935681469104
2023-05-15,6.55,6.55,6.55,6.5,2040.0,0.15,0.1529051987767538
2023-05-16,6.55,6.55,6.55,6.45,7160.0,0.0,0.0
2023-05-18,6.59,6.58,6.59,6.5,5800.0,0.15,0.1519756838905817
2023-05-19,6.58,6.58,6.59,6.55,11660.0,-0.15,-0.15174506828528056
2023-05-22,6.57,6.59,6.59,6.57,5050.0,-0.15,-0.1519756838905706
2023-05-24,6.6,6.6,6.65,6.5,18930.0,0.0,0.0
2023-05-26,6.67,6.67,6.67,6.61,14160.0,0.15,0.15015015015014122
2023-05-29,6.65,6.67,6.67,6.6,11110.0,-0.3,-0.2998500749625155
2023-06-08,6.72,6.73,6.73,6.72,400.0,-0.15,-0.14858841010402246
2023-06-09,6.71,6.69,6.71,6.65,13150.0,-0.15,-0.14880952380952328
2023-06-12,6.71,6.72,6.72,6.7,2100.0,0.0,0.0
2023-06-13,6.69,6.71,6.71,6.69,12760.0,-0.3,-0.29806259314455463
2023-06-15,6.72,6.71,6.72,6.7,890.0,0.15,0.14903129657226621
2023-06-16,6.72,6.72,6.72,6.71,900.0,0.0,0.0
2023-06-19,6.7,6.55,6.7,6.55,800.0,-0.3,-0.29761904761904656
2023-06-20,6.7,6.7,6.7,6.7,1000.0,0.0,0.0
2023-06-21,6.68,6.68,6.68,6.68,400.0,-0.3,-0.29850746268657025
2023-06-22,6.69,6.68,6.69,6.65,4900.0,0.15,0.14970059880241582
2023-06-23,6.7,6.67,6.7,6.67,7670.0,0.15,0.1494768310911887
2023-06-26,6.69,6.68,6.69,6.68,650.0,-0.15,-0.14925373134327957
2023-06-27,6.68,6.68,6.68,6.65,6360.0,-0.15,-0.1494768310911887
2023-06-30,6.68,6.68,6.68,6.68,400.0,0.0,0.0
2023-07-04,6.64,6.64,6.64,6.64,12000.0,0.0,0.0
2023-07-07,6.5,6.5,6.5,6.5,610.0,0.0,0.0
2023-07-10,6.5,6.49,6.5,6.4,5640.0,0.0,0.0
2023-07-12,6.4,6.4,6.4,6.4,500.0,0.0,0.0
2023-07-13,6.4,6.4,6.4,6.39,570.0,0.0,0.0
2023-07-14,6.4,6.4,6.4,6.39,4010.0,0.0,0.0
2023-07-17,6.4,6.4,6.4,6.39,2600.0,0.0,0.0
2023-07-18,6.4,6.4,6.4,6.3,5840.0,0.0,0.0
2023-07-21,6.45,6.5,6.5,6.4,23970.0,0.0,0.0
2023-07-24,6.45,6.45,6.49,6.45,14580.0,0.0,0.0
2023-07-27,6.5,6.5,6.5,6.45,44780.0,0.0,0.0
2023-07-28,6.5,6.5,6.5,6.45,26420.0,0.0,0.0
2023-07-31,6.5,6.5,6.5,6.45,27660.0,0.0,0.0
2023-08-01,6.5,6.5,6.5,6.38,28760.0,0.0,0.0
2023-08-02,6.5,6.5,6.5,6.5,410.0,0.0,0.0
2023-08-03,6.5,6.5,6.5,6.5,390.0,0.0,0.0
2023-08-07,6.45,6.45,6.45,6.45,390.0,0.0,0.0
2023-08-08,6.45,6.45,6.45,6.45,2440.0,0.0,0.0
2023-08-10,6.5,6.45,6.5,6.3,6170.0,0.0,0.0
2023-08-11,6.5,6.5,6.5,6.5,390.0,0.0,0.0
2023-08-14,6.5,6.5,6.5,6.5,390.0,0.0,0.0
2023-08-15,6.5,6.5,6.5,6.5,400.0,0.0,0.0
2023-08-16,6.5,6.5,6.5,6.5,400.0,0.0,0.0
2023-08-17,6.5,6.49,6.5,6.49,2340.0,0.0,0.0
2023-08-18,6.49,6.49,6.49,6.4,1510.0,-0.15,-0.15384615384614886
2023-08-21,6.5,6.5,6.5,6.3,1400.0,0.15,0.15408320493066618
2023-08-22,6.5,6.5,6.5,6.5,580.0,0.0,0.0
2023-08-23,6.5,6.5,6.54,6.5,45460.0,0.0,0.0
2023-08-25,6.54,6.54,6.54,6.5,29680.0,0.0,0.0
