Date,Price,Open,High,Low,Vol.,Change %,Return
2020-09-22,5.22,5.17,5.22,5.17,150.0,-0.19,-0.19120458891014325
2020-09-23,5.1,5.19,5.22,5.09,8750.0,-2.3,-2.298850574712641
2020-09-25,5.34,5.35,5.35,5.22,1830.0,0.0,0.0
2020-09-28,5.34,5.4,5.4,5.24,1210.0,0.0,0.0
2020-09-29,5.3,5.2,5.3,5.19,420.0,-0.75,-0.7490636704119868
2020-09-30,5.37,5.19,5.38,5.15,7690.0,1.32,1.3207547169811429
2020-10-01,5.2,5.25,5.37,5.2,270.0,-3.17,-3.165735567970207
2020-10-02,5.1,5.19,5.2,4.89,16950.0,-1.92,-1.9230769230769384
2020-10-05,5.17,5.09,5.2,5.09,6270.0,1.37,1.3725490196078383
2020-10-07,5.4,5.41,5.5,5.39,17080.0,0.0,0.0
2020-10-08,5.4,5.45,5.45,5.3,8300.0,0.0,0.0
2020-10-09,5.39,5.41,5.41,5.25,110.0,-0.19,-0.18518518518519933
2020-10-12,5.3,5.23,5.34,5.23,4920.0,-1.67,-1.6697588126159513
2020-10-13,5.29,5.3,5.35,5.29,10.0,-0.19,-0.18867924528301883
2020-10-14,5.25,5.2,5.29,5.2,1620.0,-0.76,-0.7561436672967825
2020-10-16,5.23,5.39,5.39,5.23,510.0,-0.38,-0.3809523809523707
2020-10-19,5.2,5.2,5.2,5.2,2920.0,-0.57,-0.5736137667304075
2020-10-20,5.22,5.32,5.47,5.21,44320.0,0.38,0.38461538461538325
2020-10-21,5.25,5.26,5.26,5.21,1160.0,0.57,0.5747126436781658
2020-10-22,5.16,5.2,5.2,5.05,13330.0,-1.71,-1.7142857142857126
2020-10-23,5.07,5.16,5.2,5.05,3810.0,-1.74,-1.74418604651162
2020-10-26,5.15,5.19,5.19,5.04,2500.0,1.58,1.5779092702169706
2020-10-27,5.14,5.16,5.16,5.14,140.0,-0.19,-0.1941747572815622
2020-10-28,5.04,5.1,5.1,4.99,50.0,-1.95,-1.9455252918287869
2020-10-30,4.92,5.07,5.07,4.92,13070.0,-2.38,-2.3809523809523836
2020-11-02,5.01,5.06,5.06,4.84,7730.0,1.83,1.8292682926829285
2020-11-03,5.12,5.09,5.22,4.94,36000.0,2.2,2.1956087824351433
2020-11-04,5.14,5.22,5.22,5.07,4810.0,0.39,0.390625
2020-11-06,5.4,5.37,5.6,5.3,88300.0,0.56,0.5586592178770999
2020-11-09,5.48,5.49,5.5,5.33,24380.0,1.48,1.4814814814814836
2020-11-10,5.4,5.46,5.48,5.35,8410.0,-1.46,-1.4598540145985384
2020-11-11,5.3,5.45,5.45,5.29,12700.0,-1.85,-1.85185185185186
2020-11-12,5.35,5.4,5.4,5.3,11310.0,0.94,0.943396226415083
2020-11-13,5.46,5.4,5.5,5.24,28570.0,2.06,2.0560747663551426
2020-11-16,5.4,5.53,5.53,5.37,1320.0,-1.1,-1.098901098901095
2020-11-17,5.36,5.52,5.52,5.36,280.0,-0.74,-0.7407407407407418
2020-11-18,5.23,5.47,5.47,5.23,6460.0,-2.43,-2.425373134328357
2020-11-19,5.22,5.38,5.38,5.22,5600.0,-0.19,-0.19120458891014325
2020-11-20,5.2,5.35,5.35,5.19,2340.0,-0.38,-0.3831417624520994
2020-11-23,5.1,5.2,5.2,5.05,43750.0,-1.92,-1.9230769230769384
2020-11-24,5.12,5.12,5.12,4.97,2850.0,0.39,0.39215686274509665
2020-11-25,5.14,5.18,5.18,5.14,600.0,0.39,0.390625
2020-11-26,5.1,5.18,5.18,5.03,5540.0,-0.78,-0.7782101167315147
2020-11-27,5.1,5.18,5.18,5.03,800.0,0.0,0.0
2020-11-30,5.15,5.18,5.18,5.03,1550.0,0.98,0.9803921568627638
2020-12-01,5.0,5.0,5.14,5.0,5030.0,-2.91,-2.912621359223311
2020-12-02,5.1,5.12,5.12,4.97,4820.0,2.0,2.0000000000000018
2020-12-03,5.09,5.0,5.09,4.85,12120.0,-0.2,-0.19607843137254832
2020-12-04,5.0,4.94,5.2,4.94,15380.0,-1.77,-1.7681728880157177
2020-12-07,5.09,5.15,5.15,5.0,3920.0,1.8,1.8000000000000016
2020-12-08,5.0,4.94,5.0,4.94,3920.0,-1.77,-1.7681728880157177
2020-12-09,5.19,5.22,5.22,5.19,3510.0,3.8,3.8000000000000034
2020-12-10,5.04,5.04,5.04,5.04,500.0,-2.89,-2.8901734104046284
2020-12-14,4.82,4.96,4.96,4.82,10.0,0.0,0.0
2020-12-15,4.85,4.61,4.98,4.61,470.0,0.62,0.6224066390041472
2020-12-16,4.98,4.75,4.98,4.71,5190.0,2.68,2.6804123711340333
2020-12-17,4.98,4.84,4.98,4.84,2100.0,0.0,0.0
2020-12-18,4.84,4.92,4.92,4.84,8620.0,-2.81,-2.8112449799196915
2020-12-21,4.8,4.8,4.8,4.66,5240.0,-0.83,-0.8264462809917328
2020-12-22,4.77,4.66,4.79,4.66,5380.0,-0.63,-0.6250000000000089
2020-12-23,4.8,4.65,4.8,4.63,9040.0,0.63,0.6289308176100628
2020-12-24,4.8,4.83,4.83,4.8,10.0,0.0,0.0
2020-12-25,4.78,4.82,4.82,4.6,3460.0,-0.42,-0.4166666666666541
2020-12-28,4.79,4.8,4.8,4.66,4320.0,0.21,0.20920502092049986
2020-12-29,4.65,4.65,4.79,4.59,1460.0,-2.92,-2.9227557411273475
2020-12-31,4.97,4.84,4.97,4.79,3490.0,1.84,1.8442622950819665
2021-01-04,4.95,4.83,4.95,4.83,20.0,-0.4,-0.4024144869215207
2021-01-08,4.63,4.63,4.63,4.63,10.0,2.89,2.8888888888888964
2021-01-12,5.09,5.05,5.17,4.91,18240.0,3.67,3.665987780040725
2021-01-13,5.02,5.1,5.1,4.94,60.0,-1.38,-1.3752455795677854
2021-01-15,5.12,5.12,5.12,5.12,0.0,1.99,1.9920318725099806
2021-01-18,5.08,5.08,5.08,5.08,2000.0,-0.78,-0.78125
2021-01-19,5.17,4.94,5.2,4.94,4780.0,1.77,1.7716535433070835
2021-01-21,5.2,5.17,5.3,5.15,20940.0,0.58,0.5802707930367523
2021-01-22,5.34,5.34,5.34,5.34,0.0,2.69,2.6923076923076827
2021-01-25,5.25,5.1,5.26,5.1,40.0,-1.69,-1.6853932584269593
2021-01-28,5.02,5.17,5.17,5.02,610.0,0.0,0.0
2021-01-29,5.0,5.02,5.17,5.0,660.0,-0.4,-0.3984063745019806
2021-02-01,4.99,4.91,4.99,4.86,2330.0,-0.2,-0.20000000000000018
2021-02-02,4.94,5.0,5.0,4.86,360.0,-1.0,-1.002004008016033
2021-02-03,4.9,4.99,4.99,4.9,1320.0,-0.81,-0.8097165991902799
2021-02-04,4.94,4.95,4.95,4.93,260.0,0.82,0.8163265306122547
2021-02-08,4.94,5.0,5.0,4.94,640.0,0.0,0.0
2021-02-09,4.92,4.97,4.97,4.8,5140.0,-0.4,-0.4048582995951455
2021-02-10,4.92,4.98,4.98,4.84,1300.0,0.0,0.0
2021-02-11,4.87,4.85,4.87,4.8,2480.0,-1.02,-1.0162601626016232
2021-02-12,4.8,4.8,4.8,4.8,0.0,-1.44,-1.4373716632443578
2021-02-15,4.88,4.92,4.92,4.63,2510.0,1.67,1.6666666666666607
2021-02-16,4.84,4.84,4.84,4.84,2800.0,-0.82,-0.8196721311475419
2021-02-17,4.72,4.6,4.73,4.6,2320.0,-2.48,-2.4793388429752095
2021-02-18,4.79,4.72,4.81,4.61,30.0,1.48,1.4830508474576343
2021-02-19,4.65,4.65,4.65,4.65,50.0,-2.92,-2.9227557411273475
2021-02-22,4.78,4.78,4.78,4.78,30.0,2.8,2.7956989247311714
2021-02-23,4.8,4.8,4.8,4.8,0.0,0.42,0.4184100418409997
2021-02-24,4.78,4.66,4.78,4.66,520.0,-0.42,-0.4166666666666541
2021-02-25,4.78,4.77,4.78,4.77,2120.0,0.0,0.0
2021-02-26,4.77,4.57,4.77,4.57,3330.0,-0.21,-0.20920502092051096
2021-03-01,4.76,4.65,4.76,4.64,1600.0,-0.21,-0.20964360587001352
2021-03-02,4.7,4.55,4.8,4.55,10030.0,-1.26,-1.2605042016806678
2021-03-03,4.68,4.68,4.68,4.68,20.0,-0.43,-0.42553191489362874
2021-03-05,4.69,4.6,4.7,4.58,4560.0,0.21,0.21367521367523512
2021-03-08,4.7,4.6,4.7,4.6,2520.0,0.21,0.2132196162046851
2021-03-09,4.7,4.67,4.7,4.67,11080.0,0.0,0.0
2021-03-15,4.64,4.67,4.67,4.64,2000.0,-1.07,-1.06609808102347
2021-03-16,4.65,4.51,4.65,4.51,3430.0,0.22,0.21551724137931494
2021-03-17,4.6,4.42,4.6,4.42,280.0,-1.08,-1.0752688172043112
2021-03-18,4.6,4.6,4.6,4.6,20.0,0.0,0.0
2021-03-19,4.63,4.64,4.64,4.63,250.0,0.65,0.6521739130434856
2021-03-22,4.6,4.6,4.6,4.4,610.0,-0.65,-0.6479481641468721
2021-03-24,4.6,4.6,4.6,4.6,30.0,0.0,0.0
2021-03-26,4.9,4.9,4.98,4.8,7450.0,1.03,1.030927835051565
2021-03-29,4.94,4.9,4.94,4.89,3720.0,0.82,0.8163265306122547
2021-03-30,4.9,4.8,4.95,4.8,3310.0,-0.81,-0.8097165991902799
2021-03-31,4.9,4.89,4.94,4.89,1660.0,0.0,0.0
2021-04-01,4.9,4.9,4.9,4.89,390.0,0.0,0.0
2021-04-02,4.9,4.76,4.9,4.76,1540.0,0.0,0.0
2021-04-05,4.95,4.9,4.95,4.85,13800.0,1.02,1.0204081632652962
2021-04-06,4.9,4.81,4.9,4.81,50.0,-1.01,-1.0101010101010055
2021-04-07,4.93,4.94,4.94,4.76,2200.0,0.61,0.6122448979591688
2021-04-13,4.9,4.79,4.9,4.79,600.0,-0.61,-0.6085192697768638
2021-04-14,4.9,4.9,4.9,4.9,0.0,0.0,0.0
2021-04-15,4.89,4.76,4.89,4.76,7910.0,-0.2,-0.20408163265307477
2021-04-20,4.95,4.95,4.95,4.95,0.0,1.23,1.22699386503069
2021-04-22,5.17,5.27,5.27,5.12,1440.0,-1.34,-1.3358778625954248
2021-04-23,5.18,5.27,5.27,5.17,5610.0,0.19,0.19342359767891004
2021-04-26,5.2,5.22,5.22,5.16,2200.0,0.39,0.38610038610038533
2021-04-27,5.15,5.19,5.19,5.15,200.0,-0.96,-0.9615384615384581
2021-04-29,5.15,5.15,5.15,5.02,400.0,0.0,0.0
2021-05-03,5.0,5.0,5.0,5.0,30.0,-2.91,-2.912621359223311
2021-05-04,5.0,4.9,5.0,4.86,1280.0,0.0,0.0
2021-05-06,4.98,4.98,4.98,4.98,1500.0,-0.4,-0.39999999999998925
2021-05-07,4.97,4.83,4.97,4.83,650.0,-0.2,-0.20080321285141922
2021-05-10,4.94,4.98,4.98,4.83,2150.0,-0.6,-0.6036217303822755
2021-05-11,4.8,4.86,4.86,4.8,6760.0,-2.83,-2.8340080971660075
2021-05-17,4.79,4.79,4.79,4.79,3760.0,-0.21,-0.2083333333333326
2021-05-18,4.78,4.78,4.78,4.65,11740.0,-0.21,-0.20876826722338038
2021-05-19,4.84,4.78,4.84,4.78,100.0,1.26,1.2552301255229992
2021-05-21,4.85,4.85,4.85,4.8,5840.0,0.21,0.20661157024792765
2021-05-25,4.8,4.8,4.8,4.8,2300.0,-1.03,-1.0309278350515427
2021-05-26,4.78,4.78,4.78,4.78,2700.0,-0.42,-0.4166666666666541
2021-05-28,4.79,4.79,4.79,4.79,0.0,0.21,0.20920502092049986
2021-05-31,4.86,4.86,4.86,4.65,240.0,1.46,1.4613778705636848
2021-06-01,4.86,4.85,4.86,4.85,1530.0,0.0,0.0
2021-06-03,4.72,4.72,4.85,4.72,290.0,-2.88,-2.880658436214001
2021-06-04,4.8,4.8,4.8,4.8,150.0,1.69,1.6949152542372836
2021-06-07,4.8,4.8,4.8,4.69,2390.0,0.0,0.0
2021-06-08,4.66,4.8,4.8,4.66,1110.0,-2.92,-2.9166666666666563
2021-06-11,4.79,4.66,4.79,4.62,1900.0,2.79,2.7896995708154515
2021-06-17,4.78,4.65,4.78,4.65,1160.0,-0.21,-0.20876826722338038
2021-06-22,4.78,4.64,4.78,4.64,20.0,0.0,0.0
2021-06-24,4.78,4.79,4.79,4.64,5030.0,0.0,0.0
2021-06-25,4.77,4.77,4.77,4.77,3000.0,-0.21,-0.20920502092051096
2021-06-28,4.77,4.77,4.77,4.77,740.0,0.0,0.0
2021-06-29,4.7,4.7,4.7,4.7,30.0,-1.47,-1.467505241090139
2021-06-30,4.7,4.63,4.7,4.62,2330.0,0.0,0.0
2021-07-05,4.6,4.6,4.6,4.6,750.0,-2.13,-2.1276595744680993
2021-07-06,4.73,4.73,4.73,4.73,590.0,2.83,2.826086956521756
2021-07-07,4.85,4.85,4.85,4.85,200.0,2.54,2.5369978858350795
2021-07-12,4.82,4.82,4.82,4.82,500.0,-0.62,-0.6185567010309145
2021-07-15,4.8,4.8,4.8,4.8,250.0,-0.41,-0.4149377593361092
2021-07-16,4.72,4.72,4.72,4.72,200.0,-1.67,-1.6666666666666718
2021-07-19,4.8,4.8,4.8,4.8,1000.0,1.69,1.6949152542372836
2021-07-22,4.8,4.8,4.8,4.8,1200.0,0.0,0.0
2021-07-23,4.8,4.8,4.8,4.8,3630.0,0.0,0.0
2021-07-26,4.79,4.79,4.79,4.79,180.0,-0.21,-0.2083333333333326
2021-07-27,4.82,4.82,4.82,4.82,2000.0,0.63,0.6263048016701411
2021-07-28,4.82,4.82,4.82,4.82,3300.0,0.0,0.0
2021-07-29,4.84,4.84,4.84,4.84,0.0,0.41,0.4149377593360981
2021-08-03,4.8,4.8,4.8,4.8,10.0,-0.83,-0.8264462809917328
2021-08-04,4.8,4.8,4.8,4.8,10.0,0.0,0.0
2021-08-05,4.8,4.8,4.8,4.8,0.0,0.0,0.0
2021-08-12,4.75,4.75,4.75,4.75,10.0,-1.04,-1.041666666666663
2021-08-17,4.75,4.75,4.75,4.75,0.0,0.0,0.0
2021-08-25,4.75,4.75,4.75,4.75,1370.0,0.0,0.0
2021-08-31,4.81,4.81,4.81,4.81,0.0,1.26,1.2631578947368327
2021-09-02,4.79,4.79,4.79,4.79,5300.0,-0.42,-0.4158004158004047
2021-09-06,4.79,4.79,4.79,4.79,1510.0,0.0,0.0
2021-09-22,4.79,4.79,4.79,4.79,250.0,-0.21,-0.2083333333333326
2021-09-23,4.77,4.77,4.77,4.77,6000.0,-0.42,-0.41753653444677186
2021-09-24,4.75,4.75,4.75,4.75,330.0,-0.42,-0.41928721174003813
2021-09-27,4.75,4.75,4.75,4.75,5870.0,0.0,0.0
2021-09-28,4.75,4.75,4.75,4.75,400.0,0.0,0.0
2021-09-30,4.75,4.75,4.75,4.75,360.0,0.0,0.0
2021-10-01,4.73,4.73,4.73,4.73,50.0,-0.42,-0.42105263157893313
2021-10-04,4.7,4.7,4.7,4.7,0.0,-0.63,-0.634249471458781
2021-10-07,4.74,4.74,4.74,4.74,1900.0,0.85,0.8510638297872353
2021-10-08,4.71,4.71,4.71,4.71,1000.0,-0.63,-0.6329113924050667
2021-10-11,4.7,4.7,4.7,4.7,500.0,-0.21,-0.2123142250530785
2021-10-14,4.75,4.75,4.75,4.75,4480.0,1.06,1.0638297872340496
2021-10-21,4.78,4.78,4.78,4.78,2250.0,0.63,0.6315789473684275
2021-10-22,4.78,4.78,4.78,4.78,2050.0,0.0,0.0
2021-10-25,4.82,4.82,4.82,4.82,1500.0,0.84,0.8368200836819994
2021-10-26,4.8,4.8,4.8,4.8,20.0,-0.41,-0.4149377593361092
2021-10-27,4.82,4.82,4.82,4.82,0.0,0.42,0.4166666666666874
2021-10-28,4.79,4.79,4.79,4.79,2300.0,-0.62,-0.6224066390041583
2021-11-01,4.78,4.78,4.78,4.78,450.0,-0.21,-0.20876826722338038
2021-11-02,4.8,4.8,4.8,4.8,330.0,0.42,0.4184100418409997
2021-11-04,4.8,4.8,4.8,4.8,1200.0,0.0,0.0
2021-11-05,4.8,4.8,4.8,4.8,250.0,0.0,0.0
2021-11-10,4.8,4.8,4.8,4.8,1030.0,0.0,0.0
2021-11-19,4.79,4.79,4.79,4.79,1200.0,0.0,0.0
