Date,Price,Open,High,Low,Vol.,Change %,Return
2020-10-02,16.0,16.05,16.05,15.99,1180.0,0.06,0.0625390869293252
2020-10-05,16.0,15.99,16.0,15.99,1570.0,0.0,0.0
2020-10-06,16.0,15.52,16.05,15.52,9600.0,0.0,0.0
2020-10-07,15.99,16.0,16.0,15.99,17080.0,-0.06,-0.06249999999999867
2020-10-08,16.05,16.05,16.05,16.05,50.0,0.38,0.37523452157599557
2020-10-27,16.34,16.39,16.39,16.34,40.0,-0.37,-0.3658536585365746
2020-10-28,16.34,16.34,16.34,16.34,50.0,0.0,0.0
2020-11-02,16.3,16.3,16.3,16.3,80.0,-0.24,-0.244798041615657
2020-11-03,16.25,16.3,16.3,16.25,50.0,-0.31,-0.30674846625767804
2020-11-04,16.25,16.25,16.25,16.25,20.0,0.0,0.0
2020-11-05,16.25,16.25,16.25,16.25,20.0,0.0,0.0
2020-11-06,16.24,16.24,16.24,16.24,200.0,-0.06,-0.061538461538468425
2020-11-09,16.24,16.24,16.24,16.24,10.0,0.0,0.0
2020-11-10,16.24,16.24,16.24,16.24,60.0,0.0,0.0
2020-11-11,16.24,16.25,16.25,16.24,80.0,0.0,0.0
2020-11-12,16.24,16.25,16.25,16.24,20.0,0.0,0.0
2020-11-13,16.24,16.24,16.24,16.24,560.0,0.0,0.0
2020-11-17,16.24,16.24,16.24,16.24,580.0,0.0,0.0
2020-11-18,16.24,16.24,16.24,16.24,570.0,0.0,0.0
2020-11-19,16.24,16.0,16.24,16.0,730.0,0.0,0.0
2020-11-20,16.2,16.2,16.2,16.2,40.0,-0.25,-0.24630541871920597
2020-11-23,16.2,16.0,16.2,16.0,1010.0,0.0,0.0
2020-11-24,16.2,16.2,16.2,16.0,680.0,0.0,0.0
2020-11-27,16.0,16.0,16.0,16.0,2009.9999999999998,0.0,0.0
2020-11-30,16.0,16.37,16.37,16.0,10.0,0.0,0.0
2020-12-01,16.0,16.0,16.0,16.0,200.0,0.0,0.0
2020-12-02,16.0,16.0,16.0,16.0,400.0,0.0,0.0
2020-12-07,16.0,16.0,16.0,16.0,1800.0,-0.62,-0.6211180124223725
2020-12-10,16.15,16.0,16.15,16.0,1810.0,0.94,0.9374999999999911
2020-12-11,16.0,16.0,16.15,16.0,6220.0,-0.93,-0.9287925696594312
2020-12-14,16.15,16.0,16.15,16.0,2510.0,0.94,0.9374999999999911
2020-12-15,16.0,16.0,16.0,16.0,600.0,-0.93,-0.9287925696594312
2020-12-22,16.15,16.0,16.15,16.0,10.0,0.94,0.9374999999999911
2020-12-23,16.0,16.0,16.0,16.0,3230.0,-0.93,-0.9287925696594312
2020-12-25,16.14,16.14,16.14,16.14,10.0,0.87,0.8750000000000036
2021-01-04,16.35,16.62,16.62,16.35,770.0,1.3,1.3011152416356975
2021-01-05,16.25,16.25,16.25,16.25,200.0,-0.61,-0.6116207951070374
2021-01-06,16.36,16.73,16.73,16.35,7340.0,0.68,0.6769230769230639
2021-01-07,16.36,16.37,16.39,16.36,29300.0,0.0,0.0
2021-01-08,16.59,16.36,16.59,16.35,24320.0,1.41,1.4058679706601573
2021-01-18,16.4,16.4,16.4,16.4,920.0,0.31,0.3058103975535076
2021-01-21,16.4,16.4,16.4,16.4,1120.0,0.0,0.0
2021-01-22,16.4,16.4,16.4,16.4,100.0,0.0,0.0
2021-01-26,16.4,16.59,16.6,16.4,1570.0,0.0,0.0
2021-01-27,16.4,16.4,16.4,16.4,4460.0,0.0,0.0
2021-01-28,16.4,16.4,16.6,16.4,450.0,0.0,0.0
2021-02-01,16.5,16.6,16.6,16.5,300.0,0.61,0.6097560975609762
2021-02-02,16.5,16.5,16.5,16.5,9060.0,0.0,0.0
2021-02-03,16.5,16.5,16.5,16.5,6960.0,0.0,0.0
2021-02-05,16.5,16.5,16.5,16.5,20.0,0.0,0.0
2021-02-10,16.5,16.5,16.5,16.5,120.0,0.0,0.0
2021-02-11,16.5,16.5,16.5,16.5,60.0,0.0,0.0
2021-03-02,16.6,16.6,16.6,16.6,10.0,0.0,0.0
2021-03-05,16.6,16.6,16.6,16.6,6000.0,0.0,0.0
2021-03-09,16.8,16.8,16.8,16.8,0.0,1.2,1.2048192771084265
2021-03-22,16.8,16.6,16.8,16.6,60.0,1.2,1.2048192771084265
2021-03-25,16.8,16.6,16.8,16.6,1060.0,0.0,0.0
2021-03-26,16.8,16.6,16.8,16.6,10.0,0.0,0.0
2021-04-05,17.0,16.8,17.0,16.8,240.0,1.19,1.1904761904761862
2021-04-14,18.58,18.58,18.58,18.58,200.0,0.43,0.432432432432428
2021-04-19,13.21,13.21,13.21,13.21,910.0,0.0,0.0
2021-04-21,13.21,12.89,13.21,12.89,140.0,0.0,0.0
2021-04-26,13.21,13.21,13.21,13.21,10.0,0.0,0.0
2021-04-27,13.39,13.21,13.39,13.21,580.0,1.35,1.362604087812258
2021-04-28,13.39,13.39,13.39,13.39,890.0,0.0,0.0
2021-04-29,13.57,13.57,13.57,13.57,0.0,1.33,1.344286781179993
2021-05-04,14.29,13.93,14.29,13.93,210.0,0.0,0.0
2021-05-10,13.57,13.57,13.57,13.57,140.0,0.0,0.0
2021-07-23,12.39,12.39,12.39,12.39,10.0,0.0,0.0
2021-07-30,12.29,12.29,12.29,12.29,10.0,-0.86,-0.8071025020177647
2021-08-25,11.86,11.74,11.86,11.74,0.0,0.0,0.0
2021-09-01,11.86,11.86,11.86,11.86,30.0,0.0,0.0
2021-09-15,12.06,12.0,12.07,12.0,120.0,-0.59,-0.658978583196046
2021-09-24,12.06,12.06,12.06,12.06,780.0,0.0,0.0
2021-09-27,12.06,12.0,12.06,12.0,70.0,0.0,0.0
2021-09-29,12.01,11.83,12.01,11.83,10.0,-0.41,-0.4145936981757914
2021-09-30,12.01,12.0,12.01,12.0,100.0,0.0,0.0
2021-10-01,12.0,12.0,12.0,12.0,140.0,-0.12,-0.08326394671107629
2021-10-04,12.0,12.0,12.0,12.0,390.0,0.0,0.0
