Date,Price,Open,High,Low,Vol.,Change %,Return
2020-09-22,0.8,0.78,0.8,0.76,86860.0,0.0,0.0
2020-09-24,0.93,0.93,0.93,0.89,76910.0,4.49,4.494382022471921
2020-09-25,0.99,0.96,0.99,0.94,208430.0,6.45,6.451612903225801
2020-09-28,0.98,1.01,1.04,0.98,58520.0,-1.01,-1.0101010101010055
2020-09-29,0.99,0.99,1.0,0.97,34040.0,1.02,1.0204081632652962
2020-09-30,0.96,0.99,0.99,0.95,29560.0,-3.03,-3.0303030303030276
2020-10-01,0.91,0.95,0.95,0.91,4860.0,-5.21,-5.208333333333326
2020-10-02,0.93,0.92,0.95,0.9,54130.0,2.2,2.19780219780219
2020-10-05,0.93,0.95,0.95,0.91,15460.0,0.0,0.0
2020-10-06,0.91,0.93,0.93,0.91,22260.0,-2.15,-2.1505376344086002
2020-10-07,0.86,0.9,0.91,0.86,31010.0,-5.49,-5.494505494505497
2020-10-08,0.85,0.86,0.91,0.82,22940.0,-1.16,-1.1627906976744207
2020-10-09,0.83,0.87,0.87,0.83,4230.0,-2.35,-2.352941176470591
2020-10-12,0.83,0.85,0.85,0.83,10.0,0.0,0.0
2020-10-13,0.86,0.83,0.86,0.8,33470.0,3.61,3.6144578313253017
2020-10-14,0.88,0.86,0.88,0.84,25800.0,2.33,2.3255813953488413
2020-10-16,0.94,0.93,0.94,0.9,73880.0,6.82,6.818181818181812
2020-10-19,0.98,0.97,0.99,0.91,41140.0,4.26,4.255319148936176
2020-10-20,0.93,0.95,0.97,0.93,43230.0,-5.1,-5.102040816326525
2020-10-22,0.88,0.85,0.91,0.85,31000.0,-5.38,-5.376344086021511
2020-10-23,0.88,0.89,0.89,0.86,13270.0,0.0,0.0
2020-10-26,0.91,0.89,0.91,0.87,13880.0,3.41,3.409090909090917
2020-10-27,0.89,0.87,0.9,0.87,8730.0,-2.2,-2.197802197802201
2020-10-28,0.85,0.9,0.9,0.85,33990.0,-4.49,-4.49438202247191
2020-10-30,0.86,0.87,0.87,0.85,3360.0,1.18,1.17647058823529
2020-11-02,0.86,0.87,0.87,0.82,5820.0,0.0,0.0
2020-11-03,0.86,0.84,0.87,0.83,9040.0,0.0,0.0
2020-11-04,0.86,0.84,0.86,0.82,6560.0,0.0,0.0
2020-11-05,0.87,0.86,0.88,0.84,4440.0,1.16,1.1627906976744207
2020-11-06,0.87,0.88,0.88,0.86,310.0,0.0,0.0
2020-11-09,0.84,0.87,0.87,0.82,8390.0,-3.45,-3.4482758620689724
2020-11-10,0.87,0.82,0.88,0.82,16730.0,3.57,3.571428571428581
2020-11-11,0.86,0.88,0.89,0.86,1070.0,-1.15,-1.1494252873563204
2020-11-12,0.85,0.84,0.86,0.82,25020.0,-1.16,-1.1627906976744207
2020-11-13,0.9,0.85,0.9,0.85,53600.0,5.88,5.882352941176472
2020-11-16,0.93,0.91,0.95,0.91,63000.0,3.33,3.3333333333333437
2020-11-17,0.92,0.93,0.94,0.89,49870.0,-1.08,-1.0752688172043001
2020-11-18,0.91,0.92,0.96,0.89,100920.0,-1.09,-1.0869565217391353
2020-11-19,0.89,0.91,0.92,0.89,67190.0,-2.2,-2.197802197802201
2020-11-20,0.89,0.88,0.9,0.86,90940.0,0.0,0.0
2020-11-23,0.94,0.9,0.94,0.9,121130.0,5.62,5.617977528089879
2020-11-24,0.95,0.97,0.97,0.93,16370.000000000002,1.06,1.0638297872340496
2020-11-25,0.94,0.96,0.96,0.94,790.0,-1.05,-1.0526315789473717
2020-11-26,0.9,0.9,0.94,0.9,34190.0,-4.26,-4.255319148936165
2020-11-27,0.89,0.9,0.9,0.88,22160.0,-1.11,-1.1111111111111072
2020-11-30,0.89,0.89,0.89,0.87,42750.0,0.0,0.0
2020-12-01,0.87,0.87,0.89,0.87,3700.0,-2.25,-2.2471910112359605
2020-12-08,1.03,1.0,1.03,0.99,124230.0,5.1,5.102040816326525
2020-12-09,1.02,1.05,1.07,1.02,43560.0,-0.97,-0.9708737864077666
2020-12-10,0.98,1.01,1.02,0.98,59210.0,-3.92,-3.9215686274509887
2020-12-11,0.99,0.99,0.99,0.97,17720.0,1.02,1.0204081632652962
2020-12-14,0.99,1.0,1.0,0.97,21760.0,0.0,0.0
2020-12-15,1.05,0.99,1.05,0.98,92130.0,6.06,6.060606060606055
2020-12-16,1.11,1.08,1.11,1.07,65620.0,5.71,5.714285714285716
2020-12-18,1.2,1.2,1.2,1.2,51320.0,8.11,8.108108108108091
2020-12-21,1.27,1.27,1.27,1.22,361930.0,5.83,5.833333333333335
2020-12-28,1.5,1.51,1.56,1.5,164480.0,-4.46,-4.458598726114649
2020-12-30,1.43,1.43,1.49,1.42,76420.0,-4.67,-4.666666666666675
2020-12-31,1.37,1.43,1.43,1.37,19190.0,-4.2,-4.195804195804187
2021-01-04,1.31,1.37,1.37,1.31,37500.0,-4.38,-4.379562043795627
2021-01-06,1.22,1.26,1.3,1.21,124390.0,-6.87,-6.870229007633588
2021-01-07,1.18,1.19,1.24,1.15,101500.0,-3.28,-3.2786885245901676
2021-01-08,1.16,1.19,1.2,1.16,17380.0,-1.69,-1.6949152542372947
2021-01-11,1.23,1.13,1.23,1.13,30780.0,6.03,6.034482758620685
2021-01-13,1.26,1.29,1.29,1.26,30010.0,2.44,2.4390243902439046
2021-01-15,1.25,1.21,1.28,1.19,44380.0,-0.79,-0.7936507936507908
2021-01-18,1.2,1.2,1.25,1.2,9310.0,-4.0,-4.0000000000000036
2021-01-19,1.24,1.15,1.25,1.15,49320.0,3.33,3.3333333333333437
2021-01-20,1.22,1.27,1.27,1.22,4260.0,-1.61,-1.6129032258064502
2021-01-21,1.15,1.21,1.22,1.15,11640.0,-5.74,-5.737704918032794
2021-01-25,1.05,1.08,1.08,1.05,1160.0,-8.7,-8.695652173913038
