Date,Price,Open,High,Low,Vol.,Change %,Return
2020-09-23,3.29,3.39,3.39,3.29,250.0,-0.3,-0.3030303030302939
2020-09-24,3.29,3.27,3.29,3.2,2380.0,0.0,0.0
2020-09-25,3.38,3.3,3.38,3.3,30.0,2.74,2.7355623100303816
2020-09-28,3.38,3.33,3.38,3.33,150.0,0.0,0.0
2020-09-30,3.36,3.37,3.37,3.3,390.0,-0.59,-0.591715976331364
2020-10-01,3.35,3.38,3.38,3.28,420.0,-0.3,-0.29761904761904656
2020-10-02,3.45,3.35,3.45,3.27,3330.0,2.99,2.9850746268656803
2020-10-05,3.48,3.48,3.48,3.48,10.0,0.87,0.8695652173912993
2020-10-06,3.38,3.38,3.38,3.38,700.0,-2.87,-2.8735632183908066
2020-10-07,3.49,3.23,3.49,3.23,590.0,3.25,3.2544378698224907
2020-10-08,3.45,3.34,3.45,3.34,530.0,-1.15,-1.1461318051575908
2020-10-09,3.44,3.44,3.44,3.44,50.0,-0.29,-0.28985507246377384
2020-10-13,3.49,3.49,3.49,3.49,10.0,1.45,1.4534883720930258
2020-10-14,3.49,3.49,3.49,3.49,160.0,0.0,0.0
2020-10-16,3.59,3.5,3.6,3.5,5300.0,2.87,2.865329512893977
2020-10-20,3.55,3.54,3.55,3.54,700.0,-1.11,-1.1142061281337101
2020-10-21,3.58,3.55,3.6,3.54,5070.0,0.85,0.8450704225352101
2020-10-23,3.51,3.48,3.55,3.48,700.0,-1.96,-1.9553072625698387
2020-10-26,3.5,3.51,3.58,3.5,2000.0,-0.28,-0.2849002849002802
2020-10-27,3.48,3.58,3.58,3.48,80.0,-0.57,-0.5714285714285672
2020-10-28,3.47,3.58,3.58,3.47,620.0,-0.29,-0.2873563218390718
2020-10-30,3.57,3.57,3.57,3.57,10.0,2.88,2.881844380403442
2020-11-02,3.6,3.55,3.6,3.49,5170.0,0.84,0.8403361344537785
2020-11-03,3.66,3.67,3.67,3.66,130.0,1.67,1.6666666666666607
2020-11-04,3.59,3.6,3.6,3.56,1690.0,-1.91,-1.9125683060109422
2020-11-05,3.59,3.63,3.63,3.47,35240.0,0.0,0.0
2020-11-09,3.63,3.63,3.63,3.63,30.0,1.11,1.1142061281337101
2020-11-10,3.58,3.53,3.58,3.53,230.0,-1.38,-1.377410468319551
2020-11-11,3.58,3.53,3.58,3.53,490.0,0.0,0.0
2020-11-12,3.58,3.58,3.58,3.58,940.0,0.0,0.0
2020-11-13,3.53,3.53,3.53,3.53,270.0,-1.4,-1.3966480446927498
2020-11-16,3.53,3.58,3.58,3.53,610.0,0.0,0.0
2020-11-17,3.53,3.53,3.53,3.48,15200.0,0.0,0.0
2020-11-18,3.53,3.38,3.53,3.38,5640.0,0.0,0.0
2020-11-19,3.49,3.38,3.49,3.38,2260.0,-1.13,-1.1331444759206666
2020-11-20,3.47,3.48,3.48,3.4,460.0,-0.57,-0.5730659025787954
2020-11-23,3.5,3.5,3.5,3.4,1730.0,0.86,0.8645533141210304
2020-11-24,3.47,3.45,3.47,3.45,10910.0,-0.86,-0.8571428571428563
2020-11-25,3.47,3.45,3.47,3.45,390.0,0.0,0.0
2020-11-26,3.47,3.44,3.47,3.44,1090.0,0.0,0.0
2020-11-27,3.37,3.41,3.41,3.37,7460.0,-2.88,-2.8818443804034644
2020-11-30,3.46,3.45,3.46,3.37,3170.0,2.67,2.6706231454005858
2020-12-01,3.45,3.4,3.45,3.37,160.0,-0.29,-0.28901734104045396
2020-12-02,3.44,3.37,3.44,3.37,450.0,-0.29,-0.28985507246377384
2020-12-03,3.44,3.37,3.44,3.37,6140.0,0.0,0.0
2020-12-04,3.49,3.4,3.49,3.4,2980.0,1.45,1.4534883720930258
2020-12-07,3.4,3.49,3.49,3.4,430.0,-2.58,-2.5787965616045905
2020-12-08,3.5,3.5,3.5,3.5,10.0,2.94,2.941176470588247
2020-12-09,3.4,3.4,3.4,3.4,300.0,-2.86,-2.857142857142858
2020-12-10,3.37,3.38,3.4,3.37,1640.0,-0.88,-0.8823529411764675
2020-12-11,3.38,3.37,3.38,3.3,2490.0,0.3,0.29673590504450953
2020-12-14,3.48,3.43,3.48,3.34,1360.0,2.96,2.9585798816567976
2020-12-15,3.45,3.36,3.45,3.36,330.0,-0.86,-0.8620689655172376
2020-12-16,3.4,3.35,3.45,3.35,1830.0,-1.45,-1.449275362318847
2020-12-17,3.38,3.35,3.43,3.33,22730.0,-0.59,-0.588235294117645
2020-12-18,3.5,3.38,3.5,3.32,2820.0,3.55,3.5502958579881616
2020-12-21,3.48,3.48,3.48,3.48,30.0,-0.57,-0.5714285714285672
2020-12-22,3.45,3.5,3.5,3.4,3970.0,-0.86,-0.8620689655172376
2020-12-25,3.99,3.92,4.03,3.9,16650.0,3.64,3.6363636363636376
2020-12-28,3.92,4.04,4.04,3.92,1000.0,-1.75,-1.7543859649122862
2020-12-29,3.99,4.0,4.0,3.84,12670.0,1.79,1.7857142857143016
2020-12-30,3.88,3.99,3.99,3.88,8680.0,-2.76,-2.7568922305764465
2020-12-31,3.84,3.95,4.06,3.84,17370.0,-1.03,-1.0309278350515427
2021-01-04,3.73,3.81,3.81,3.73,1780.0,-2.86,-2.864583333333326
2021-01-05,3.61,3.72,3.72,3.61,2960.0,-3.22,-3.217158176943702
2021-01-06,3.61,3.61,3.61,3.51,1280.0,0.0,0.0
2021-01-07,3.55,3.6,3.6,3.51,600.0,-1.66,-1.6620498614958512
2021-01-08,3.5,3.54,3.54,3.45,1250.0,-1.41,-1.4084507042253502
2021-01-11,3.4,3.45,3.45,3.4,400.0,-2.86,-2.857142857142858
2021-01-12,3.4,3.4,3.5,3.33,8140.000000000001,0.0,0.0
2021-01-13,3.4,3.35,3.4,3.35,2170.0,0.0,0.0
2021-01-15,3.4,3.39,3.4,3.31,1830.0,0.0,0.0
2021-01-18,3.4,3.4,3.4,3.3,1590.0,0.0,0.0
2021-01-19,3.35,3.39,3.4,3.35,2400.0,-1.47,-1.4705882352941124
2021-01-20,3.44,3.35,3.45,3.35,5250.0,2.69,2.686567164179099
2021-01-21,3.4,3.42,3.42,3.4,500.0,-1.16,-1.1627906976744207
2021-01-22,3.45,3.3,3.45,3.3,17430.0,1.47,1.4705882352941346
2021-01-25,3.45,3.45,3.45,3.45,4050.0,0.0,0.0
2021-01-26,3.46,3.49,3.49,3.46,290.0,0.29,0.28985507246375164
2021-01-27,3.47,3.47,3.47,3.47,10.0,0.29,0.28901734104047616
2021-01-28,3.37,3.5,3.5,3.37,23190.0,-2.88,-2.8818443804034644
2021-01-29,3.39,3.4,3.4,3.39,500.0,0.59,0.5934718100890191
2021-02-01,3.38,3.38,3.39,3.3,14220.0,-0.29,-0.2949852507374673
2021-02-02,3.4,3.3,3.4,3.3,110.0,0.59,0.591715976331364
2021-02-03,3.39,3.31,3.4,3.3,2420.0,-0.29,-0.2941176470588225
2021-02-04,3.35,3.37,3.37,3.35,8280.0,-1.18,-1.179941002949858
2021-02-05,3.35,3.4,3.4,3.34,8650.0,0.0,0.0
2021-02-08,3.4,3.45,3.45,3.4,13200.0,1.49,1.4925373134328401
2021-02-09,3.4,3.4,3.45,3.4,2390.0,0.0,0.0
2021-02-10,3.45,3.3,3.45,3.3,30.0,1.47,1.4705882352941346
2021-02-11,3.35,3.35,3.35,3.35,750.0,-2.9,-2.898550724637683
2021-02-12,3.44,3.44,3.44,3.44,10.0,2.69,2.686567164179099
2021-02-15,3.4,3.39,3.4,3.38,23640.0,-1.16,-1.1627906976744207
2021-02-17,3.37,3.37,3.37,3.37,400.0,-0.88,-0.8823529411764675
2021-02-18,3.47,3.3,3.47,3.28,6500.0,2.97,2.9673590504451175
2021-02-19,3.47,3.5,3.58,3.47,4980.0,0.0,0.0
2021-02-22,3.4,3.47,3.47,3.37,870.0,-2.02,-2.017291066282434
2021-02-23,3.4,3.4,3.4,3.4,80.0,0.0,0.0
2021-02-24,3.4,3.4,3.4,3.4,270.0,0.0,0.0
2021-02-25,3.3,3.34,3.34,3.3,2790.0,-2.94,-2.941176470588236
2021-02-26,3.39,3.39,3.39,3.39,10.0,2.73,2.7272727272727337
2021-03-01,3.29,3.3,3.3,3.29,520.0,-2.95,-2.9498525073746285
2021-03-02,3.29,3.38,3.38,3.29,1160.0,0.0,0.0
2021-03-03,3.38,3.37,3.38,3.37,200.0,2.74,2.7355623100303816
2021-03-04,3.38,3.38,3.38,3.38,100.0,0.0,0.0
2021-03-05,3.3,3.38,3.38,3.3,3610.0,-2.37,-2.3668639053254448
2021-03-08,3.35,3.35,3.35,3.25,190.0,1.52,1.5151515151515138
2021-03-09,3.28,3.3,3.3,3.28,3330.0,-2.09,-2.0895522388059806
2021-03-10,3.35,3.35,3.35,3.3,530.0,2.13,2.1341463414634276
2021-03-11,3.29,3.3,3.38,3.29,3130.0,-1.79,-1.7910447761193993
2021-03-12,3.29,3.28,3.29,3.27,2570.0,0.0,0.0
2021-03-15,3.29,3.29,3.29,3.26,750.0,0.0,0.0
2021-03-16,3.25,3.29,3.29,3.25,3800.0,-1.22,-1.2158054711246202
2021-03-17,3.29,3.25,3.29,3.25,690.0,1.23,1.2307692307692353
2021-03-18,3.29,3.29,3.38,3.29,2100.0,0.0,0.0
2021-03-19,3.28,3.28,3.28,3.28,100.0,-0.3,-0.3039513677811634
2021-03-22,3.21,3.3,3.3,3.21,7950.0,-2.13,-2.1341463414634054
2021-03-23,3.21,3.3,3.3,3.21,1640.0,0.0,0.0
2021-03-24,3.21,3.3,3.3,3.21,5120.0,0.0,0.0
2021-03-25,3.21,3.3,3.3,3.21,650.0,0.0,0.0
2021-03-26,3.21,3.21,3.21,3.2,3470.0,0.0,0.0
2021-03-29,3.2,3.21,3.3,3.2,5960.0,-0.31,-0.31152647975076775
2021-03-30,3.2,3.29,3.29,3.2,400.0,0.0,0.0
2021-03-31,3.19,3.2,3.2,3.11,6650.0,-0.31,-0.31250000000000444
2021-04-01,3.17,3.18,3.18,3.15,570.0,-0.63,-0.6269592476489061
2021-04-02,3.12,3.18,3.18,3.12,5050.0,-1.58,-1.577287066246047
2021-04-05,3.08,3.13,3.13,3.08,2150.0,-1.28,-1.2820512820512886
2021-04-06,2.99,3.05,3.05,2.99,7680.0,-2.92,-2.9220779220779147
2021-04-07,2.91,2.93,2.98,2.91,40310.0,-2.68,-2.6755852842809347
2021-04-08,2.99,2.88,2.99,2.86,15330.0,2.75,2.749140893470803
2021-04-12,3.0,2.91,3.0,2.91,3280.0,0.33,0.33444816053511683
2021-04-13,2.98,2.99,3.0,2.98,1050.0,-0.67,-0.666666666666671
2021-04-14,3.0,2.95,3.0,2.95,2760.0,0.67,0.6711409395973256
2021-04-15,2.99,2.97,2.99,2.93,6550.0,-0.33,-0.33333333333332993
2021-04-16,2.93,2.93,2.93,2.91,3770.0,-2.01,-2.006688963210701
2021-04-19,2.96,3.0,3.0,2.91,3980.0,1.02,1.0238907849829282
2021-04-20,3.0,2.99,3.01,2.99,30090.0,1.35,1.3513513513513598
2021-04-21,2.98,3.03,3.03,2.98,1020.0,-0.67,-0.666666666666671
2021-04-22,3.06,3.04,3.06,3.0,22150.0,2.68,2.684563758389258
2021-04-23,3.16,3.07,3.16,3.07,21790.0,3.27,3.267973856209161
2021-04-27,3.39,3.44,3.45,3.31,16960.0,2.42,2.4169184290030232
