Date,Price,Open,High,Low,Vol.,Change %,Return
2020-09-28,10.85,10.82,10.9,10.6,1670.0,0.0,0.0
2020-10-01,10.8,10.6,10.8,10.6,180.0,0.0,0.0
2020-10-02,10.8,10.6,10.8,10.6,770.0,0.0,0.0
2020-10-05,10.8,10.8,10.8,10.8,800.0,0.0,0.0
2020-10-07,10.9,10.9,10.9,10.85,3670.0,0.0,0.0
2020-10-09,11.0,10.99,11.0,10.99,500.0,0.0,0.0
2020-10-12,11.0,10.99,11.0,10.99,700.0,0.0,0.0
2020-10-14,11.2,11.2,11.2,11.0,480.0,0.0,0.0
2020-10-16,11.2,11.0,11.22,11.0,800.0,0.0,0.0
2020-10-19,11.2,11.2,11.2,11.2,200.0,0.0,0.0
2020-10-20,11.2,11.2,11.2,11.1,1080.0,0.0,0.0
2020-10-21,11.2,11.2,11.2,10.87,1100.0,0.0,0.0
2020-10-22,11.2,11.2,11.2,11.2,100.0,0.0,0.0
2020-10-26,11.15,11.15,11.15,11.15,150.0,0.0,0.0
2020-10-27,11.15,11.15,11.15,11.15,500.0,0.0,0.0
2020-10-28,11.15,11.15,11.15,10.82,1300.0,0.0,0.0
2020-10-30,11.15,11.15,11.15,11.15,300.0,0.0,0.0
2020-11-02,11.15,11.15,11.15,10.9,1250.0,0.0,0.0
2020-11-04,11.4,11.4,11.4,11.4,300.0,0.0,0.0
2020-11-05,11.4,11.4,11.4,10.95,1270.0,0.0,0.0
2020-11-06,11.4,11.4,11.4,11.4,150.0,0.0,0.0
2020-11-09,11.4,11.4,11.4,11.06,3390.0,0.0,0.0
2020-11-10,11.4,11.38,11.4,11.06,550.0,0.0,0.0
2020-11-11,11.4,11.4,11.4,11.06,1000.0,0.0,0.0
2020-11-12,11.4,11.35,11.4,11.35,330.0,0.0,0.0
2020-11-13,11.4,11.4,11.4,11.38,1710.0,0.0,0.0
2020-11-20,11.4,11.4,11.4,11.1,890.0,0.0,0.0
2020-11-23,11.4,11.1,11.4,11.1,540.0,0.0,0.0
2020-11-24,11.4,11.4,11.4,11.1,3390.0,0.0,0.0
2020-11-25,11.4,11.4,11.4,11.06,530.0,0.0,0.0
2020-11-26,11.4,11.4,11.4,11.06,440.0,0.0,0.0
2020-11-27,11.4,11.4,11.4,11.4,400.0,0.0,0.0
2020-12-08,12.3,12.3,12.3,12.3,100.0,0.0,0.0
2020-12-09,12.3,12.29,12.3,12.29,500.0,0.0,0.0
2020-12-10,12.3,12.28,12.3,12.28,1200.0,0.0,0.0
2020-12-11,12.3,12.3,12.3,12.3,100.0,0.0,0.0
2020-12-14,12.3,12.1,12.3,12.1,1300.0,0.0,0.0
2020-12-15,12.3,12.3,12.3,12.3,200.0,0.0,0.0
2020-12-16,12.3,12.3,12.3,12.3,100.0,0.0,0.0
2020-12-17,12.3,12.29,12.3,12.1,2510.0,0.0,0.0
2020-12-18,12.3,12.3,12.3,12.3,200.0,0.0,0.0
2020-12-21,12.3,12.3,12.3,12.3,200.0,0.0,0.0
2020-12-22,12.3,12.3,12.3,12.3,200.0,0.0,0.0
2020-12-23,12.3,12.3,12.3,12.3,300.0,0.0,0.0
2020-12-24,12.3,12.3,12.3,12.3,200.0,0.0,0.0
2020-12-25,12.3,12.3,12.3,12.3,300.0,0.0,0.0
2020-12-28,12.3,12.3,12.3,12.3,400.0,0.0,0.0
2020-12-29,12.3,12.0,12.3,12.0,140.0,0.0,0.0
2021-01-04,12.3,12.3,12.3,12.3,100.0,0.0,0.0
2021-01-05,12.3,12.3,12.3,12.3,100.0,0.0,0.0
2021-01-06,12.3,12.3,12.3,12.0,230.0,0.0,0.0
2021-01-07,12.3,12.0,12.3,12.0,1550.0,0.0,0.0
2021-01-08,12.3,11.94,12.3,11.94,700.0,0.0,0.0
2021-01-11,12.3,12.3,12.3,12.3,100.0,0.0,0.0
2021-01-12,12.3,12.3,12.3,12.3,400.0,0.0,0.0
2021-01-13,12.3,12.3,12.3,12.3,1200.0,0.0,0.0
2021-01-15,12.3,12.3,12.3,12.3,100.0,0.0,0.0
2021-01-18,12.3,12.3,12.3,12.3,300.0,0.0,0.0
2021-01-19,12.3,12.3,12.3,12.3,800.0,0.0,0.0
2021-01-20,12.3,12.3,12.3,12.29,1070.0,0.0,0.0
2021-01-22,12.3,12.3,12.3,12.3,1100.0,0.0,0.0
2021-01-25,12.3,12.3,12.3,11.94,700.0,0.0,0.0
2021-01-26,12.3,12.3,12.3,12.3,200.0,0.0,0.0
2021-01-27,12.3,12.3,12.3,12.3,300.0,0.0,0.0
2021-01-28,12.3,12.3,12.3,12.3,400.0,0.0,0.0
2021-02-01,12.3,12.3,12.5,12.0,800.0,0.0,0.0
2021-02-02,12.3,12.3,12.3,12.3,100.0,0.0,0.0
2021-02-03,12.3,12.3,12.3,12.3,600.0,0.0,0.0
2021-02-10,12.3,12.3,12.3,12.29,1150.0,0.0,0.0
2021-02-11,12.3,12.3,12.3,12.3,200.0,0.0,0.0
2021-02-12,12.3,12.29,12.3,12.2,1370.0,0.0,0.0
2021-02-16,12.3,12.3,12.3,12.3,300.0,0.0,0.0
2021-02-22,12.28,12.25,12.28,12.25,850.0,0.0,0.0
2021-02-25,12.3,12.3,12.3,12.3,300.0,0.0,0.0
2021-02-26,12.3,12.3,12.3,12.3,200.0,0.0,0.0
2021-03-01,12.3,12.29,12.3,12.29,20.0,0.0,0.0
2021-03-02,12.3,12.3,12.3,12.3,100.0,0.0,0.0
2021-03-04,12.29,12.29,12.29,12.29,300.0,0.0,0.0
2021-03-05,12.29,12.29,12.29,12.29,300.0,0.0,0.0
2021-03-08,12.29,11.94,12.29,11.94,900.0,0.0,0.0
2021-03-09,12.29,12.29,12.29,11.95,8710.0,0.0,0.0
2021-03-11,12.3,12.3,12.3,12.3,650.0,0.0,0.0
2021-03-12,12.3,12.3,12.3,12.3,100.0,0.0,0.0
2021-03-15,12.3,12.3,12.3,12.3,150.0,0.0,0.0
2021-03-16,12.3,12.3,12.3,12.3,100.0,0.0,0.0
2021-03-17,12.3,12.3,12.3,12.3,100.0,0.0,0.0
2021-03-18,12.3,12.2,12.3,12.2,500.0,0.0,0.0
2021-03-19,12.3,12.3,12.3,12.3,500.0,0.0,0.0
2021-03-22,12.3,12.27,12.3,12.27,300.0,0.0,0.0
2021-03-23,12.3,12.29,12.3,12.29,800.0,0.0,0.0
2021-03-24,12.3,12.15,12.3,12.15,1760.0,0.0,0.0
2021-03-25,12.3,12.3,12.3,11.94,1910.0,0.0,0.0
2021-03-26,12.3,12.29,12.3,12.29,500.0,0.0,0.0
2021-03-30,12.3,12.05,12.3,12.05,600.0,0.0,0.0
2021-03-31,12.3,12.3,12.3,12.3,500.0,0.0,0.0
2021-04-01,12.3,12.25,12.3,12.25,1820.0,0.0,0.0
2021-04-02,12.3,12.3,12.3,12.0,820.0,0.0,0.0
2021-04-05,12.3,12.3,12.3,12.3,100.0,0.0,0.0
2021-04-06,12.3,12.3,12.3,12.3,300.0,0.0,0.0
2021-04-07,12.3,12.3,12.3,12.3,300.0,0.0,0.0
2021-04-08,12.3,12.0,12.3,12.0,150.0,0.0,0.0
2021-04-12,12.3,12.3,12.3,12.3,100.0,0.0,0.0
2021-04-13,12.3,12.3,12.3,12.3,100.0,0.0,0.0
2021-04-14,12.3,12.3,12.3,12.3,100.0,0.0,0.0
2021-04-15,12.3,11.96,12.3,11.96,1070.0,0.0,0.0
2021-04-16,12.3,12.3,12.3,12.3,100.0,0.0,0.0
2021-04-19,12.3,12.3,12.3,12.3,500.0,0.0,0.0
2021-04-20,12.3,12.3,12.3,12.3,500.0,0.0,0.0
2021-04-21,12.3,12.3,12.3,12.3,100.0,0.0,0.0
2021-04-22,12.3,11.96,12.3,11.95,690.0,0.0,0.0
2021-04-23,12.3,12.2,12.3,12.2,600.0,0.0,0.0
2021-04-26,12.3,11.98,12.3,11.94,2560.0,0.0,0.0
2021-04-27,12.3,12.3,12.3,12.3,400.0,0.0,0.0
2021-04-28,12.3,12.3,12.3,12.3,10.0,0.0,0.0
2021-04-29,12.3,12.3,12.3,12.3,520.0,0.0,0.0
2021-04-30,12.3,11.94,12.3,11.94,900.0,0.0,0.0
2021-05-03,12.3,12.3,12.3,12.3,200.0,0.0,0.0
2021-05-04,12.3,12.3,12.3,12.2,570.0,0.0,0.0
2021-05-05,12.3,12.3,12.3,12.3,990.0,0.0,0.0
2021-05-06,12.3,12.3,12.3,12.3,500.0,0.0,0.0
2021-05-10,12.3,12.3,12.3,12.3,500.0,0.0,0.0
2021-05-11,12.3,12.3,12.3,12.0,570.0,0.0,0.0
2021-05-18,12.3,12.3,12.3,12.3,20.0,0.0,0.0
2021-05-19,12.3,12.3,12.3,12.3,20.0,0.0,0.0
2021-05-20,12.3,12.3,12.3,12.3,130.0,0.0,0.0
2021-05-21,12.3,12.3,12.3,12.3,10.0,0.0,0.0
2021-05-27,12.2,11.94,12.2,11.94,810.0,0.0,0.0
2021-05-28,12.2,12.2,12.2,11.94,140.0,0.0,0.0
