Date,Price,Open,High,Low,Vol.,Change %,Return
2020-09-22,7.99,8.0,8.11,7.99,11760.0,-1.4,-1.3580246913580174
2020-09-24,8.13,8.13,8.19,8.13,5510.0,0.0,0.0
2020-09-25,8.19,8.13,8.19,8.13,4150.0,0.74,0.7380073800737907
2020-09-28,8.2,8.19,8.2,8.04,8189.999999999999,0.08,0.12210012210012167
2020-09-29,8.2,8.2,8.2,8.2,2270.0,0.0,0.0
2020-10-02,7.69,7.79,7.99,7.67,12470.0,-1.45,-1.4102564102564052
2020-10-06,8.12,8.13,8.13,8.0,3040.0,-0.16,-0.12300123001232066
2020-10-07,8.11,8.13,8.13,8.0,12180.0,-0.08,-0.12315270935960854
2020-10-08,8.07,8.15,8.15,7.91,3030.0,-0.58,-0.4932182490752002
2020-10-09,8.01,8.13,8.13,8.01,1030.0,-0.66,-0.743494423791824
2020-10-14,8.07,8.07,8.13,8.07,3050.0,0.17,0.248447204968949
2020-10-16,8.0,8.13,8.13,8.0,1990.0,-0.83,-0.867410161090465
2020-10-19,8.13,8.13,8.13,8.0,1000.0,1.67,1.6250000000000098
2020-10-20,8.2,8.23,8.23,8.13,2610.0,0.82,0.8610086100860892
2020-10-21,8.17,8.21,8.21,8.17,2840.0,-0.41,-0.3658536585365746
2020-10-22,8.2,8.2,8.2,8.2,2040.0,0.41,0.3671970624234966
2020-10-23,8.17,8.2,8.2,8.17,5020.0,-0.41,-0.3658536585365746
2020-10-27,7.98,7.98,8.0,7.93,2560.0,-0.25,-0.24999999999999467
2020-10-28,8.0,8.0,8.0,7.96,2530.0,0.25,0.25062656641603454
2020-10-30,8.0,8.0,8.0,8.0,760.0,0.0,0.0
2020-11-02,7.93,8.12,8.16,7.93,80.0,-0.83,-0.8750000000000036
2020-11-03,7.93,7.93,7.93,7.93,670.0,0.0,0.0
2020-11-04,8.0,7.84,8.13,7.84,6110.0,0.84,0.8827238335435084
2020-11-05,8.0,7.93,8.0,7.9,4850.0,0.0,0.0
2020-11-06,7.99,8.0,8.0,7.9,5130.0,-0.08,-0.12499999999999734
2020-11-09,7.93,7.93,7.93,7.91,5430.0,-0.75,-0.7509386733416834
2020-11-10,7.99,7.93,7.99,7.9,3210.0,0.76,0.7566204287515754
2020-11-11,7.99,8.0,8.2,7.99,9120.0,-0.08,0.0
2020-11-12,8.03,8.0,8.13,8.0,40970.0,0.58,0.5006257822277815
2020-11-13,8.03,8.03,8.07,8.03,16110.0,0.0,0.0
2020-11-16,8.07,8.07,8.07,8.07,2970.0,0.41,0.49813200498132204
2020-11-17,8.13,8.13,8.13,8.13,1700.0,0.83,0.743494423791824
2020-11-18,8.13,8.13,8.2,8.1,13950.0,0.0,0.0
2020-11-19,8.13,8.13,8.23,8.13,16030.000000000002,0.0,0.0
2020-11-20,8.13,8.13,8.13,8.13,6470.0,0.0,0.0
2020-11-23,8.13,8.23,8.23,8.11,14420.0,0.0,0.0
2020-11-24,8.13,8.13,8.13,8.11,17330.0,0.0,0.0
