Date,Price,Open,High,Low,Vol.,Change %,Return
2020-11-03,44.3,44.3,44.3,44.3,50.0,0.0,0.0
2020-11-06,44.3,44.3,44.3,44.3,300.0,0.0,0.0
2021-02-25,45.58,45.58,45.58,45.58,0.0,0.0,0.0
2021-06-25,42.24,42.24,42.24,42.24,80.0,0.0,0.0
2021-11-01,42.24,42.24,42.24,42.24,2000.0,0.0,0.0
2021-11-05,42.24,42.24,42.24,42.24,1420.0,0.0,0.0
2022-01-10,44.14,44.14,44.14,44.14,20.0,0.0,0.0
2022-02-14,44.14,44.14,44.14,44.14,0.0,0.0,0.0
2022-04-27,46.01,46.01,46.01,46.01,30.0,0.0,0.0
2022-05-25,46.01,46.01,46.01,46.01,40.0,0.0,0.0
2022-06-09,42.11,42.11,42.11,42.11,9000.0,0.0,0.0
2022-06-24,42.11,42.11,42.11,42.11,50.0,0.0,0.0
2022-07-27,42.11,42.11,42.11,42.11,440.0,0.0,0.0
2022-11-16,42.11,42.11,42.11,42.11,750.0,0.0,0.0
2023-03-28,42.1,42.1,42.1,42.1,330.0,0.0,0.0
2023-04-10,42.1,42.1,42.1,42.1,440.0,0.0,0.0
2023-05-29,42.1,42.1,42.1,42.1,440.0,0.0,0.0
2023-07-03,42.1,42.1,42.1,42.1,10.0,0.0,0.0
