Date,Price,Open,High,Low,Vol.,Change %,Return
2020-09-22,10.5,10.5,10.54,10.38,49210.0,0.0,0.0
2020-09-23,10.5,10.47,10.5,10.42,32820.0,0.0,0.0
2020-09-25,10.34,10.27,10.42,10.27,37050.0,0.76,0.7797270955165692
2020-09-28,10.18,10.19,10.34,10.07,218670.0,-1.52,-1.5473887814313358
2020-09-29,10.11,10.3,10.33,10.0,52760.0,-0.77,-0.6876227897838927
2020-10-02,9.36,9.31,9.71,9.04,130410.0,-0.58,-0.6369426751592355
2020-10-08,9.4,9.6,9.61,9.39,109020.0,-1.64,-1.673640167364021
2020-10-12,9.64,9.78,9.78,9.52,17300.0,-0.32,-0.31023784901756946
2020-10-13,9.56,9.64,9.64,9.54,15910.0,-0.81,-0.8298755186721962
2020-10-14,9.71,9.59,9.71,9.52,29810.0,1.64,1.5690376569037712
2020-10-16,9.7,9.71,9.75,9.56,37090.0,-0.16,-0.1029866117404854
2020-10-19,9.64,9.71,9.71,9.61,13670.0,-0.65,-0.6185567010309145
2020-10-20,9.64,9.71,9.72,9.6,42510.0,0.0,0.0
2020-10-21,9.52,9.64,9.64,9.5,68590.0,-1.22,-1.2448132780083054
2020-10-22,9.37,9.63,9.63,9.37,146620.0,-1.56,-1.5756302521008458
2020-10-23,9.48,9.37,9.55,9.37,41020.0,1.17,1.1739594450373758
2020-10-26,9.39,9.46,9.48,9.38,27760.0,-0.91,-0.9493670886075889
2020-10-27,9.4,9.48,9.48,9.35,12280.0,0.08,0.10649627263046302
2020-10-28,9.26,9.39,9.44,9.24,40740.0,-1.5,-1.4893617021276673
2020-10-30,9.23,9.39,9.39,9.17,20230.0,-0.34,-0.3239740820734305
2020-11-02,9.12,9.31,9.31,9.1,51270.0,-1.19,-1.1917659804983827
2020-11-03,9.06,9.12,9.12,9.06,38370.0,-0.6,-0.6578947368420907
2020-11-05,9.31,9.24,9.39,9.24,12620.0,0.76,0.7575757575757569
2020-11-06,9.28,9.36,9.36,9.24,11870.0,-0.34,-0.3222341568206333
2020-11-09,9.18,9.39,9.39,9.18,26710.0,-1.1,-1.0775862068965525
2020-11-10,9.34,9.28,9.35,9.21,10820.0,1.71,1.7429193899782147
2020-11-11,9.38,9.32,9.38,9.24,10570.0,0.42,0.4282655246252709
2020-11-13,9.63,9.64,9.78,9.63,32340.000000000004,-0.41,-0.413650465356763
2020-11-16,9.74,9.64,9.74,9.64,17360.0,1.22,1.1422637590861928
2020-11-17,9.82,9.78,9.89,9.73,74760.0,0.72,0.8213552361396204
2020-11-19,9.95,10.07,10.07,9.93,70400.0,-1.09,-1.0934393638171058
2020-11-20,9.78,9.95,9.95,9.71,53700.0,-1.73,-1.70854271356784
2020-11-23,9.8,9.9,9.9,9.71,27840.0,0.24,0.2044989775051187
2020-11-24,9.94,9.95,9.98,9.8,50990.0,1.44,1.4285714285714235
2020-11-25,9.93,9.86,9.94,9.86,84300.0,-0.16,-0.1006036217303774
2020-11-26,9.86,9.93,9.93,9.85,167910.0,-0.63,-0.7049345417925457
2020-11-27,9.79,9.86,9.86,9.78,29370.0,-0.71,-0.7099391480730244
2020-11-30,9.81,9.79,9.83,9.77,74020.0,0.16,0.20429009193054792
