Date,Price,Open,High,Low,Vol.,Change %,Return
2020-09-22,1.99,1.97,2.0,1.96,7520.0,-1.0,-0.995024875621886
2020-09-23,1.99,1.99,1.99,1.94,50390.0,0.0,0.0
2020-09-24,2.0,1.96,2.0,1.95,23200.0,0.5,0.5025125628140614
2020-09-25,2.03,2.0,2.07,1.99,58480.0,1.5,1.4999999999999902
2020-09-28,2.08,2.06,2.09,2.0,39960.0,2.46,2.4630541871921263
2020-09-29,2.07,2.08,2.08,2.04,21380.0,-0.48,-0.48076923076924016
2020-09-30,2.05,2.05,2.07,2.01,20430.0,-0.97,-0.9661835748792313
2020-10-01,1.98,2.04,2.05,1.98,20480.0,-3.41,-3.4146341463414553
2020-10-02,2.01,1.98,2.01,1.87,105120.0,1.52,1.5151515151515138
2020-10-05,2.13,2.05,2.13,2.05,91020.0,5.97,5.970149253731338
2020-10-06,2.2,2.14,2.22,2.14,125640.0,3.29,3.2863849765258246
2020-10-07,2.13,2.23,2.23,2.13,83580.0,-3.18,-3.1818181818181968
2020-10-08,2.13,2.07,2.14,2.07,19780.0,0.0,0.0
2020-10-09,2.14,2.14,2.18,2.1,8710.0,0.47,0.46948356807512415
2020-10-12,2.17,2.19,2.19,2.12,8760.0,1.4,1.4018691588784993
2020-10-13,2.18,2.18,2.18,2.15,28650.0,0.46,0.4608294930875667
2020-10-14,2.21,2.19,2.22,2.17,51330.0,1.38,1.3761467889908063
2020-10-16,2.28,2.23,2.29,2.21,71080.0,3.17,3.1674208144796268
2020-10-19,2.41,2.29,2.41,2.25,102060.0,5.7,5.701754385964919
2020-10-22,2.25,2.16,2.28,2.1,126770.0,1.81,1.8099547511312153
2020-10-23,2.25,2.26,2.28,2.23,8000.0,0.0,0.0
2020-10-26,2.18,2.28,2.28,2.18,13560.0,-3.11,-3.111111111111109
2020-10-27,2.1,2.16,2.16,2.1,76170.0,-3.67,-3.669724770642202
2020-10-28,2.07,2.15,2.15,1.99,73420.0,-1.43,-1.4285714285714457
2020-10-30,2.03,2.09,2.09,2.03,21520.0,-1.93,-1.9323671497584516
2020-11-02,2.05,2.09,2.12,2.03,13690.0,0.99,0.9852216748768461
2020-11-03,2.12,2.08,2.12,2.05,20940.0,3.41,3.4146341463414887
2020-11-04,2.14,2.06,2.17,2.06,18970.0,0.94,0.9433962264151052
2020-11-05,2.12,2.14,2.15,2.1,10380.0,-0.93,-0.9345794392523366
2020-11-06,2.1,2.13,2.13,2.07,10480.0,-0.94,-0.9433962264150941
2020-11-09,2.06,2.04,2.1,2.03,25560.0,-1.9,-1.904761904761909
2020-11-10,2.04,2.04,2.09,2.03,28940.0,-0.97,-0.9708737864077666
2020-11-11,2.05,2.09,2.09,2.04,14440.0,0.49,0.4901960784313708
2020-11-12,2.1,1.96,2.14,1.94,68760.0,2.44,2.4390243902439046
2020-11-13,2.13,2.13,2.19,2.08,21940.0,1.43,1.4285714285714235
2020-11-16,2.17,2.09,2.18,2.09,19200.0,1.88,1.8779342723004744
2020-11-17,2.13,2.19,2.19,2.13,88850.0,-1.84,-1.8433179723502335
2020-11-18,2.13,2.17,2.17,2.11,26860.0,0.0,0.0
2020-11-19,2.15,2.13,2.22,2.09,106110.0,0.94,0.9389671361502261
2020-11-20,2.17,2.18,2.18,2.12,39320.0,0.93,0.9302325581395321
2020-11-23,2.13,2.11,2.17,2.11,18260.0,-1.84,-1.8433179723502335
2020-11-24,2.13,2.14,2.17,2.09,26370.0,0.0,0.0
2020-11-25,2.1,2.15,2.18,2.1,51430.0,-1.41,-1.4084507042253391
2020-11-26,2.1,2.1,2.16,2.06,24090.0,0.0,0.0
2020-11-27,2.03,2.08,2.12,2.02,30850.0,-3.33,-3.3333333333333437
2020-11-30,2.02,2.0,2.06,2.0,24350.0,-0.49,-0.49261083743841194
2020-12-01,2.0,2.01,2.04,1.97,15510.0,-0.99,-0.990099009900991
2020-12-02,1.99,2.02,2.02,1.96,23910.0,-0.5,-0.5000000000000004
2020-12-03,1.88,1.99,1.99,1.88,114620.0,-5.53,-5.527638190954775
2020-12-04,1.87,1.83,1.94,1.78,124050.0,-0.53,-0.5319148936170137
2020-12-07,1.85,1.88,1.88,1.83,46730.0,-1.07,-1.0695187165775444
2020-12-08,1.85,1.88,1.88,1.83,24350.0,0.0,0.0
2020-12-09,1.96,1.87,1.96,1.83,50650.0,5.95,5.94594594594593
2020-12-10,1.97,2.02,2.04,1.95,43320.0,0.51,0.5102040816326481
2020-12-11,1.94,1.94,1.97,1.93,9060.0,-1.52,-1.5228426395939132
2020-12-14,2.0,1.98,2.0,1.94,6840.0,3.09,3.0927835051546504
2020-12-15,2.09,2.0,2.09,2.0,45400.0,4.5,4.499999999999993
2020-12-16,2.09,2.1,2.12,2.05,16070.0,0.0,0.0
2020-12-17,2.07,2.03,2.09,2.01,11640.0,-0.96,-0.9569377990430672
2020-12-18,2.07,2.07,2.07,2.01,16840.0,0.0,0.0
2020-12-21,2.06,2.07,2.09,2.01,11630.0,-0.48,-0.48309178743960457
2020-12-22,2.0,2.01,2.06,2.0,15840.0,-2.91,-2.9126213592232997
2020-12-23,2.02,2.05,2.05,1.99,32119.999999999996,1.0,1.0000000000000009
2020-12-24,2.07,2.05,2.1,1.99,85760.0,2.48,2.4752475247524774
2020-12-25,2.05,2.1,2.1,2.04,26370.0,-0.97,-0.9661835748792313
2020-12-28,2.0,2.04,2.05,1.98,56140.0,-2.44,-2.4390243902438935
2020-12-29,2.02,2.02,2.02,1.98,22530.0,1.0,1.0000000000000009
2020-12-30,2.01,2.04,2.04,1.98,1380.0,-0.5,-0.4950495049505066
2020-12-31,2.01,2.03,2.03,1.98,13980.0,0.0,0.0
2021-01-04,2.0,2.0,2.0,1.97,10610.0,-0.5,-0.4975124378109319
2021-01-05,1.99,1.97,1.99,1.97,16590.0,-0.5,-0.5000000000000004
2021-01-06,1.98,2.0,2.0,1.94,8000.0,-0.5,-0.5025125628140725
2021-01-07,2.04,1.98,2.06,1.97,31000.0,3.03,3.0303030303030276
2021-01-08,2.05,2.04,2.07,2.04,4340.0,0.49,0.4901960784313708
2021-01-11,2.05,2.06,2.07,2.0,12100.0,0.0,0.0
2021-01-12,2.01,2.07,2.07,1.99,11570.0,-1.95,-1.9512195121951237
2021-01-13,1.99,2.05,2.05,1.99,48310.0,-1.0,-0.995024875621886
2021-01-15,2.03,1.99,2.03,1.99,20860.0,2.01,2.010050251256268
2021-01-18,2.01,2.02,2.02,1.97,6640.0,-0.99,-0.9852216748768461
2021-01-19,2.08,2.02,2.08,2.02,15950.0,3.48,3.4825870646766344
2021-01-21,2.24,2.3,2.33,2.24,93310.0,0.0,0.0
2021-01-22,2.29,2.24,2.3,2.18,121880.0,2.23,2.232142857142838
2021-01-25,2.27,2.29,2.32,2.23,51760.0,-0.87,-0.8733624454148492
2021-01-26,2.19,2.25,2.25,2.19,59010.0,-3.52,-3.524229074889873
2021-01-27,2.12,2.18,2.21,2.12,56160.0,-3.2,-3.1963470319634646
2021-01-28,2.14,2.1,2.15,2.08,14650.0,0.94,0.9433962264151052
2021-01-29,2.19,2.14,2.24,2.14,48340.0,2.34,2.3364485981308247
2021-02-01,2.23,2.24,2.24,2.18,27720.0,1.83,1.82648401826484
2021-02-02,2.24,2.23,2.25,2.2,23070.0,0.45,0.4484304932735439
2021-02-03,2.22,2.24,2.24,2.19,19030.0,-0.89,-0.8928571428571397
2021-02-04,2.16,2.22,2.22,2.16,12860.0,-2.7,-2.7027027027027084
2021-02-05,2.09,2.15,2.16,2.09,24400.0,-3.24,-3.240740740740755
2021-02-08,2.01,2.13,2.13,2.01,44980.0,-3.83,-3.8277511961722577
2021-02-09,2.01,2.07,2.07,1.95,38850.0,0.0,0.0
2021-02-10,2.01,2.02,2.05,1.96,9420.0,0.0,0.0
2021-02-11,2.11,2.01,2.11,1.99,43440.0,4.98,4.975124378109452
2021-02-12,2.08,2.11,2.12,2.05,15290.0,-1.42,-1.421800947867291
2021-02-15,1.99,2.09,2.09,1.99,16110.0,-4.33,-4.326923076923084
2021-02-16,1.97,1.99,2.04,1.96,20030.0,-1.01,-1.005025125628145
2021-02-17,2.0,1.99,2.04,1.96,19370.0,1.52,1.522842639593902
