Date,Price,Open,High,Low,Vol.,Change %,Return
2020-09-22,4.84,4.84,4.84,4.84,420.0,0.0,0.0
2020-09-23,4.7,4.7,4.7,4.7,10.0,-2.89,-2.8925619834710647
2020-09-25,5.1,5.06,5.1,5.06,250.0,0.79,0.7905138339920903
2020-10-05,4.95,4.95,4.95,4.95,0.0,-2.94,-2.941176470588225
2020-10-06,4.95,4.95,4.95,4.95,10.0,0.0,0.0
2020-10-07,5.09,4.95,5.09,4.95,50.0,2.83,2.8282828282828243
2020-10-08,5.1,5.1,5.1,5.1,30.0,0.2,0.19646365422396617
2020-10-09,5.1,5.1,5.1,5.1,170.0,0.0,0.0
2020-10-19,4.73,4.73,4.73,4.73,10.0,0.0,0.0
2020-10-20,4.73,4.73,4.73,4.73,120.0,0.0,0.0
2020-10-23,4.41,4.29,4.41,4.29,10.0,0.46,0.4555808656036442
2020-10-26,4.31,4.31,4.31,4.31,0.0,-2.27,-2.267573696145142
2020-10-27,4.32,4.32,4.32,4.32,80.0,0.23,0.23201856148493682
2020-11-03,4.31,4.31,4.31,4.31,10.0,-0.23,-0.23148148148149916
2020-11-04,4.31,4.31,4.31,4.31,110.0,0.0,0.0
2020-11-09,4.12,4.12,4.12,4.12,10.0,0.24,0.24330900243307862
2020-11-10,4.24,4.24,4.24,4.24,10.0,2.91,2.9126213592232997
2020-11-11,4.31,4.31,4.31,4.31,90.0,1.65,1.6509433962264008
2020-11-13,4.31,4.31,4.31,4.31,0.0,0.0,0.0
2020-11-16,4.31,4.31,4.31,4.31,140.0,0.0,0.0
2020-11-17,4.31,4.31,4.31,4.31,110.0,0.0,0.0
2020-11-18,4.31,4.31,4.31,4.31,250.0,0.0,0.0
2020-11-19,4.4,4.4,4.4,4.4,10.0,2.09,2.088167053364276
2020-11-25,4.31,4.31,4.31,4.31,10.0,-2.05,-2.0454545454545614
2020-11-26,4.31,4.31,4.31,4.31,90.0,0.0,0.0
2020-12-23,4.05,4.05,4.05,4.05,20.0,0.0,0.0
2021-01-05,3.73,3.73,3.73,3.73,410.0,-2.86,-2.864583333333326
2021-01-07,3.83,3.83,3.83,3.83,140.0,2.68,2.680965147453085
2021-01-08,3.83,3.83,3.83,3.83,10.0,0.0,0.0
2021-01-21,3.94,3.94,3.94,3.94,130.0,2.87,2.872062663185382
2021-01-27,3.94,3.94,3.94,3.94,100.0,0.0,0.0
2021-02-02,3.6,3.6,3.6,3.6,10.0,-2.96,-2.96495956873315
2021-02-08,3.5,3.5,3.5,3.5,200.0,-2.78,-2.777777777777779
2021-02-11,3.6,3.6,3.6,3.6,10.0,2.86,2.857142857142869
2021-02-12,3.5,3.5,3.5,3.5,60.0,-2.78,-2.777777777777779
2021-02-15,3.5,3.5,3.5,3.5,20.0,0.0,0.0
2021-02-17,3.6,3.6,3.6,3.6,10.0,2.86,2.857142857142869
2021-02-18,3.6,3.6,3.6,3.6,0.0,0.0,0.0
2021-02-19,3.6,3.6,3.6,3.6,210.0,0.0,0.0
2021-02-25,3.6,3.7,3.7,3.6,60.0,0.0,0.0
2021-02-26,3.6,3.6,3.6,3.6,0.0,0.0,0.0
2021-03-01,3.5,3.5,3.5,3.5,0.0,-2.78,-2.777777777777779
2021-03-04,3.4,3.41,3.41,3.4,1560.0,-2.86,-2.857142857142858
2021-03-05,3.32,3.32,3.32,3.32,0.0,-2.35,-2.352941176470591
2021-03-15,3.88,3.88,3.88,3.88,10.0,0.0,0.0
2021-03-16,3.99,3.88,3.99,3.88,150.0,2.84,2.8350515463917647
2021-03-17,4.08,4.08,4.08,4.08,20.0,2.26,2.2556390977443552
2021-03-19,4.2,4.08,4.2,4.08,300.0,2.94,2.941176470588247
2021-03-23,4.2,4.28,4.28,4.2,100.0,0.0,0.0
2021-03-24,4.3,4.28,4.3,4.28,260.0,2.38,2.3809523809523725
2021-03-25,4.45,4.4,4.45,4.4,350.0,3.49,3.488372093023262
