Date,Price,Open,High,Low,Vol.,Change %,Return
2020-10-08,1.33,1.33,1.33,1.33,60.0,-4.32,-4.316546762589912
2020-10-09,1.3,1.3,1.3,1.3,640.0,-2.26,-2.2556390977443663
2020-10-13,1.3,1.3,1.3,1.3,60.0,0.0,0.0
2020-10-14,1.27,1.27,1.27,1.27,3130.0,-2.31,-2.3076923076923106
2020-10-16,1.36,1.33,1.36,1.33,50.0,7.09,7.086614173228356
2020-10-19,1.37,1.37,1.37,1.37,10.0,0.74,0.7352941176470562
2020-10-20,1.42,1.42,1.42,1.42,10.0,3.65,3.649635036496335
2020-10-22,1.51,1.51,1.51,1.51,10.0,6.34,6.338028169014098
2020-10-23,1.59,1.55,1.59,1.55,0.0,5.3,5.298013245033117
2020-10-26,1.62,1.62,1.62,1.62,30.0,1.89,1.8867924528301883
2020-11-02,1.65,1.65,1.65,1.65,0.0,1.85,1.8518518518518379
2020-11-05,1.63,1.63,1.63,1.63,10.0,-1.21,-1.2121212121212088
2020-11-19,1.59,1.59,1.59,1.59,500.0,-2.45,-2.4539877300613355
2020-12-08,1.62,1.62,1.62,1.62,20.0,1.89,1.8867924528301883
2020-12-10,1.63,1.63,1.63,1.63,11930.0,0.62,0.6172839506172645
2020-12-11,1.66,1.66,1.66,1.66,110.0,1.84,1.8404907975460238
2020-12-16,1.97,1.92,1.97,1.92,200.0,6.49,6.486486486486487
2020-12-17,1.99,1.99,1.99,1.99,430.0,1.02,1.0152284263959421
2020-12-21,1.98,1.98,1.98,1.98,100.0,-0.5,-0.5025125628140725
2020-12-25,2.04,1.99,2.04,1.99,1610.0,3.03,3.0303030303030276
2020-12-28,2.02,2.02,2.02,2.02,620.0,-0.98,-0.9803921568627416
2020-12-29,1.93,1.96,1.96,1.93,420.0,-4.46,-4.455445544554459
2021-01-05,1.91,1.91,1.91,1.91,20.0,-2.55,-2.5510204081632626
2021-01-08,1.96,1.96,1.96,1.96,20.0,2.62,2.617801047120416
2021-02-04,1.96,1.96,1.96,1.96,200.0,0.0,0.0
2021-03-23,1.94,1.94,1.94,1.94,2000.0,-1.02,-1.0204081632653073
2021-03-25,1.95,1.95,1.95,1.95,500.0,0.52,0.5154639175257714
2021-04-22,1.95,1.95,1.95,1.95,1000.0,0.0,0.0
2021-04-28,1.96,1.96,1.96,1.96,570.0,0.51,0.512820512820511
2021-04-29,2.05,2.0,2.05,2.0,80.0,4.59,4.591836734693877
2021-04-30,2.05,2.05,2.05,2.05,150.0,0.0,0.0
2021-05-04,2.08,2.08,2.08,2.08,200.0,1.46,1.4634146341463428
2021-05-07,2.08,2.08,2.08,2.08,10.0,0.0,0.0
2021-05-18,2.06,2.06,2.06,2.06,100.0,-0.96,-0.9615384615384581
2021-05-19,2.0,2.0,2.0,2.0,20.0,-2.91,-2.9126213592232997
