Date,Price,Open,High,Low,Vol.,Change %,Return
2020-10-05,0.85,0.85,0.85,0.85,200.0,-2.3,-2.298850574712641
2020-10-14,0.85,0.85,0.85,0.85,200.0,0.0,0.0
2020-10-22,0.84,0.84,0.84,0.84,30.0,-1.18,-1.17647058823529
2020-10-23,0.85,0.85,0.85,0.85,80.0,1.19,1.1904761904761862
2020-11-03,0.85,0.85,0.85,0.85,30.0,0.0,0.0
2020-11-11,0.85,0.85,0.85,0.85,20.0,0.0,0.0
2020-11-13,0.85,0.85,0.85,0.85,30.0,0.0,0.0
2020-11-20,0.9,0.9,0.9,0.9,10.0,5.88,5.882352941176472
2020-11-25,0.9,0.9,0.9,0.9,900.0,0.0,0.0
2020-12-07,0.92,0.92,0.92,0.92,10.0,2.22,2.2222222222222143
2020-12-08,0.92,0.92,0.92,0.92,60.0,0.0,0.0
2020-12-09,0.9,0.9,0.9,0.9,60.0,-2.17,-2.1739130434782594
2020-12-10,0.92,0.92,0.92,0.92,150.0,2.22,2.2222222222222143
2020-12-11,0.93,0.93,0.93,0.93,400.0,1.09,1.0869565217391353
2020-12-14,0.92,0.92,0.92,0.92,250.0,-1.08,-1.0752688172043001
2020-12-25,0.92,0.92,0.92,0.92,20.0,0.0,0.0
2020-12-30,0.92,0.92,0.92,0.92,40000.0,0.0,0.0
2020-12-31,0.92,0.92,0.92,0.92,400.0,0.0,0.0
2021-01-07,0.92,0.92,0.92,0.92,330.0,0.0,0.0
2021-01-19,0.94,0.94,0.94,0.94,2200.0,2.17,2.1739130434782483
2021-02-08,1.64,1.64,1.64,1.64,200.0,2.5,2.499999999999991
2021-02-09,1.6,1.64,1.64,1.6,4720.0,-2.44,-2.4390243902438935
2021-02-10,1.53,1.53,1.53,1.53,9230.0,-4.38,-4.375000000000007
2021-02-11,1.47,1.47,1.47,1.47,30.0,-3.92,-3.9215686274509887
2021-02-15,1.35,1.35,1.35,1.35,15280.0,-8.16,-8.163265306122437
2021-02-17,1.24,1.24,1.24,1.24,30.0,-8.15,-8.14814814814816
2021-02-18,1.19,1.19,1.19,1.19,2770.0,-4.03,-4.032258064516137
2021-02-23,1.16,1.16,1.16,1.16,240.0,-2.52,-2.5210084033613467
2021-02-25,1.16,1.16,1.16,1.16,100.0,0.0,0.0
2021-03-01,1.16,1.16,1.16,1.16,0.0,0.0,0.0
2021-03-03,1.13,1.16,1.16,1.13,0.0,-2.59,-2.5862068965517238
2021-03-09,1.13,1.13,1.13,1.13,17400.0,0.0,0.0
2021-03-11,1.1,1.1,1.1,1.1,0.0,-2.65,-2.65486725663715
2021-04-05,1.11,1.11,1.11,1.11,60.0,0.91,0.9090909090909038
2021-04-06,1.11,1.11,1.11,1.11,3120.0,0.0,0.0
2021-04-15,1.18,1.18,1.18,1.18,250.0,6.31,6.306306306306286
2021-04-20,1.21,1.21,1.21,1.21,100.0,2.54,2.5423728813559254
2021-04-22,1.21,1.21,1.21,1.21,100.0,0.0,0.0
2021-04-27,1.21,1.21,1.21,1.21,30.0,0.0,0.0
2021-05-24,1.24,1.24,1.24,1.24,100.0,2.48,2.4793388429751984
2021-05-25,1.24,1.24,1.24,1.24,10.0,0.0,0.0
2021-05-28,1.3,1.27,1.3,1.27,1180.0,4.84,4.8387096774193505
2021-05-31,1.3,1.3,1.3,1.3,70.0,0.0,0.0
2021-06-02,1.3,1.3,1.3,1.3,90.0,0.0,0.0
2021-06-03,1.27,1.27,1.27,1.27,30.0,-2.31,-2.3076923076923106
2021-06-08,1.3,1.3,1.3,1.3,80.0,2.36,2.3622047244094446
2021-06-10,1.3,1.3,1.3,1.3,400.0,0.0,0.0
2021-06-14,1.27,1.27,1.27,1.27,220.0,-2.31,-2.3076923076923106
2021-06-16,1.27,1.27,1.27,1.27,400.0,0.0,0.0
2021-06-18,1.27,1.27,1.27,1.27,2720.0,0.0,0.0
2021-06-25,1.24,1.24,1.24,1.24,0.0,-2.36,-2.3622047244094557
2021-06-29,1.25,1.25,1.25,1.25,10.0,0.81,0.8064516129032251
2021-07-06,1.22,1.22,1.22,1.22,0.0,-2.4,-2.400000000000002
2021-07-12,1.28,1.28,1.28,1.28,320.0,4.92,4.918032786885251
2021-07-16,1.4,1.4,1.4,1.4,150.0,9.38,9.375
2021-07-19,1.42,1.42,1.42,1.42,300.0,1.43,1.4285714285714235
2021-07-23,1.46,1.46,1.46,1.46,30.0,2.82,2.8169014084507005
2021-07-27,1.46,1.46,1.46,1.46,0.0,0.0,0.0
2021-08-12,1.65,1.65,1.65,1.65,1000.0,0.0,0.0
2021-08-16,1.65,1.65,1.65,1.65,30.0,0.0,0.0
2021-08-24,1.74,1.74,1.74,1.74,10.0,5.45,5.4545454545454675
2021-08-25,1.79,1.79,1.79,1.79,100.0,2.87,2.8735632183908066
2021-08-26,1.79,1.79,1.79,1.79,0.0,0.0,0.0
2021-09-15,1.8,1.8,1.8,1.8,0.0,0.56,0.5586592178770999
2021-09-20,1.8,1.8,1.8,1.8,2000.0,0.0,0.0
2021-09-22,1.8,1.8,1.8,1.8,20.0,0.0,0.0
2021-09-28,1.87,1.87,1.87,1.87,200.0,3.89,3.8888888888888973
2021-10-04,1.95,1.95,1.95,1.95,200.0,4.28,4.278074866310155
2021-10-05,2.02,2.02,2.02,2.02,300.0,3.59,3.589743589743599
2021-10-06,2.1,2.1,2.1,2.1,20.0,3.96,3.960396039603964
2021-10-08,2.19,2.19,2.19,2.19,10.0,4.29,4.2857142857142705
2021-10-11,2.19,2.19,2.19,2.19,10.0,0.0,0.0
2021-10-13,2.19,2.19,2.19,2.19,20.0,0.0,0.0
2021-10-19,2.19,2.19,2.19,2.19,180.0,0.0,0.0
2021-10-21,2.21,2.21,2.21,2.21,10.0,0.91,0.9132420091324311
2021-10-22,2.3,2.3,2.3,2.3,10.0,4.07,4.072398190045234
2021-10-25,2.3,2.3,2.3,2.3,1490.0,0.0,0.0
2021-10-28,2.5,2.5,2.5,2.5,330.0,8.7,8.69565217391306
2021-10-29,2.6,2.6,2.6,2.6,10.0,4.0,4.0000000000000036
2021-11-01,2.71,2.71,2.71,2.71,10.0,4.23,4.230769230769216
2021-11-05,2.48,2.48,2.48,2.48,630.0,-8.49,-8.487084870848705
2021-11-22,1.7,1.7,1.7,1.7,62370.0,0.0,0.0
2021-11-26,1.7,1.7,1.7,1.7,376370.0,0.0,0.0
2021-12-01,1.6,1.6,1.6,1.6,20.0,-5.88,-5.88235294117646
2021-12-30,2.5,2.5,2.5,2.5,20.0,0.0,0.0
2022-01-05,2.4,2.4,2.4,2.4,2009.9999999999998,-4.0,-4.0000000000000036
2022-01-07,2.42,2.42,2.42,2.42,420.0,0.83,0.8333333333333304
2022-01-10,2.41,2.41,2.41,2.41,500.0,-0.41,-0.4132231404958553
2022-01-18,2.42,2.42,2.42,2.42,1000.0,0.41,0.4149377593360981
2022-01-19,2.52,2.52,2.52,2.52,60.0,4.13,4.132231404958686
2022-01-20,2.52,2.52,2.52,2.52,110.0,0.0,0.0
2022-01-21,2.61,2.61,2.61,2.61,20.0,3.57,3.5714285714285587
2022-01-24,2.61,2.61,2.61,2.61,100.0,0.0,0.0
2022-02-01,3.0,3.0,3.0,3.0,200.0,0.33,0.33444816053511683
2022-02-02,3.08,3.08,3.08,3.08,430.0,2.67,2.6666666666666616
2022-02-03,3.14,3.14,3.14,3.14,2000.0,1.95,1.9480519480519431
2022-02-04,3.28,3.28,3.28,3.28,1200.0,4.46,4.458598726114649
2022-02-07,3.42,3.42,3.42,3.42,2110.0,4.27,4.268292682926833
2022-02-08,3.57,3.57,3.57,3.57,2910.0,4.39,4.385964912280693
2022-02-09,3.7,3.7,3.7,3.7,4560.0,3.64,3.6414565826330625
2022-02-10,3.79,3.79,3.79,3.79,2500.0,2.43,2.43243243243243
