Date,Price,Open,High,Low,Vol.,Change %,Return
2020-09-22,4.58,4.57,4.58,4.57,2000.0,0.22,0.2188183807439792
2020-09-23,4.46,4.57,4.57,4.46,2240.0,-2.62,-2.6200873362445476
2020-09-25,4.33,4.33,4.33,4.33,20.0,-2.91,-2.914798206278024
2020-10-02,4.66,4.66,4.66,4.66,1380.0,0.22,0.21505376344086446
2020-10-14,6.74,6.69,6.75,6.69,1640.0,3.69,3.692307692307706
2020-10-16,6.95,6.75,6.95,6.75,5480.0,3.12,3.115727002967361
2020-10-19,7.15,7.15,7.15,7.15,10240.0,2.88,2.877697841726623
2020-10-20,7.47,7.47,7.47,7.47,6530.0,4.48,4.475524475524462
2020-10-21,7.8,7.8,7.8,7.8,7030.0,4.42,4.417670682730934
2020-10-22,8.03,8.03,8.03,8.03,2000.0,2.95,2.9487179487179382
2020-10-27,9.3,9.3,9.3,9.3,2550.0,0.0,0.0
2020-10-28,9.41,9.3,9.41,9.3,8140.000000000001,1.18,1.1827956989247213
2020-10-30,9.5,9.48,9.5,9.48,3020.0,0.96,0.9564293304994642
2020-11-02,9.45,9.45,9.45,9.45,1550.0,-0.53,-0.526315789473697
2020-11-03,9.5,9.45,9.5,9.45,1620.0,0.53,0.5291005291005346
2020-11-04,9.55,9.55,9.55,9.55,500.0,0.53,0.5263157894736858
2020-11-05,9.55,9.55,9.67,9.55,1440.0,0.0,0.0
2020-11-06,9.55,9.6,9.6,9.55,1200.0,0.0,0.0
2020-11-09,9.6,9.6,9.6,9.6,1000.0,0.52,0.5235602094240788
2020-11-10,9.6,9.6,9.6,9.6,1450.0,0.0,0.0
2020-11-11,10.03,10.03,10.03,10.03,1030.0,4.48,4.479166666666656
2020-11-12,10.1,10.04,10.1,10.04,1580.0,0.7,0.6979062811565351
2020-11-13,10.51,10.4,10.51,10.4,2070.0,4.06,4.059405940594063
2020-11-16,10.5,10.5,10.5,10.5,1250.0,-0.1,-0.09514747859181716
2020-11-17,10.5,10.5,10.5,10.5,1560.0,0.0,0.0
2020-11-18,10.3,10.3,10.3,10.3,200.0,-1.9,-1.904761904761898
2020-11-19,10.5,10.5,10.5,10.5,14500.0,1.94,1.9417475728155331
2020-11-20,10.5,10.5,10.5,10.5,5510.0,0.0,0.0
2020-11-23,10.5,10.5,10.5,10.5,6200.0,0.0,0.0
2020-11-24,10.5,10.5,10.5,10.5,2530.0,0.0,0.0
2020-11-26,10.8,10.8,10.8,10.8,1520.0,2.86,2.857142857142869
2020-11-27,11.0,11.0,11.0,11.0,780.0,1.85,1.8518518518518379
2020-11-30,11.0,11.0,11.0,11.0,610.0,0.0,0.0
2020-12-01,11.0,11.0,11.0,11.0,6010.0,0.0,0.0
2020-12-02,11.0,11.0,11.0,11.0,3220.0,0.0,0.0
2020-12-03,11.0,11.0,11.0,11.0,7500.0,0.0,0.0
2020-12-04,11.33,11.0,11.33,11.0,5710.0,3.0,3.0000000000000027
2020-12-07,11.66,11.5,11.66,11.5,60.0,2.91,2.9126213592232997
2020-12-09,12.6,12.5,12.6,12.5,250.0,2.44,2.4390243902439046
2020-12-10,12.7,12.8,12.8,12.7,15440.0,0.79,0.7936507936507908
2020-12-11,12.8,12.78,12.8,12.78,11360.0,0.79,0.7874015748031704
2020-12-14,12.93,12.94,12.94,12.93,2610.0,1.02,1.0156249999999867
2020-12-15,12.93,12.93,12.93,12.93,8950.0,0.0,0.0
2020-12-16,13.1,12.94,13.1,12.94,8350.0,1.31,1.314771848414531
2020-12-17,13.3,13.2,13.3,13.2,3220.0,1.53,1.526717557251911
2020-12-18,13.5,13.5,13.5,13.5,2270.0,1.5,1.5037593984962294
2020-12-21,13.9,13.9,13.9,13.9,1520.0,2.96,2.9629629629629672
2020-12-22,14.0,14.01,14.01,14.0,4800.0,0.72,0.7194244604316502
2020-12-23,14.1,14.1,14.1,14.1,3000.0,0.71,0.7142857142857117
2020-12-24,14.0,14.1,14.1,14.0,4270.0,-0.71,-0.7092198581560294
2020-12-25,14.2,14.2,14.2,14.2,3000.0,1.43,1.4285714285714235
2020-12-28,14.5,14.5,14.5,14.5,10.0,2.11,2.1126760563380254
2020-12-29,14.25,14.25,14.25,14.25,1610.0,-1.72,-1.7241379310344862
2020-12-30,14.2,14.2,14.2,14.2,50.0,-0.35,-0.35087719298245723
2020-12-31,14.3,14.5,14.5,14.3,560.0,0.7,0.7042253521126751
2021-01-04,14.5,14.5,14.5,14.5,0.0,1.4,1.3986013986013957
2021-01-07,14.42,14.42,14.42,14.42,30.0,-0.55,-0.5517241379310311
2021-01-12,13.99,13.99,13.99,13.99,300.0,-2.98,-2.9819694868238544
2021-01-13,13.58,13.58,13.58,13.58,200.0,-2.93,-2.9306647605432445
2021-01-15,13.18,13.18,13.18,13.18,300.0,-2.95,-2.945508100147276
2021-01-18,12.79,12.79,12.79,12.79,300.0,-2.96,-2.959028831562982
2021-01-20,12.41,12.41,12.42,12.41,2490.0,-2.97,-2.9710711493354136
2021-01-21,12.0,12.04,12.04,12.0,2880.0,-3.3,-3.3037872683319924
2021-01-26,12.6,12.6,12.6,12.6,2150.0,2.44,2.4390243902439046
2021-01-27,12.97,12.97,12.97,12.97,330.0,2.94,2.9365079365079483
2021-01-28,13.35,13.35,13.35,13.35,1200.0,2.93,2.9298380878951313
2021-01-29,13.35,13.35,13.35,13.35,1200.0,0.0,0.0
2021-02-03,12.96,12.96,12.96,12.96,7020.0,2.94,2.938840349483729
2021-02-04,13.0,12.96,13.0,12.58,1300.0,0.31,0.30864197530864335
2021-02-11,12.61,12.61,12.61,12.61,300.0,-3.0,-3.0000000000000027
2021-02-12,12.24,12.24,12.24,12.24,400.0,-2.93,-2.9341792228390062
2021-02-16,11.88,11.88,11.88,11.88,300.0,-2.94,-2.941176470588236
2021-02-18,11.88,11.88,11.88,11.88,100.0,0.0,0.0
2021-02-19,11.6,11.6,11.6,11.6,20.0,-2.36,-2.3569023569023684
2021-02-24,11.61,11.6,11.61,11.6,50.0,0.09,0.08620689655172153
2021-03-01,11.27,11.27,11.27,11.27,20.0,-2.93,-2.9285099052540953
2021-03-05,11.26,11.26,11.26,11.26,200.0,-0.09,-0.08873114463175957
2021-03-09,11.27,11.27,11.27,11.27,0.0,0.09,0.0888099467140302
2021-03-11,11.26,11.26,11.26,11.26,500.0,-0.09,-0.08873114463175957
2021-03-15,11.25,11.25,11.25,11.25,2500.0,-0.09,-0.0888099467140302
2021-03-16,11.25,11.25,11.25,11.25,500.0,0.0,0.0
2021-03-17,11.26,11.26,11.26,11.26,30.0,0.09,0.0888888888888939
2021-03-23,12.28,12.28,12.28,12.28,10.0,2.93,2.933780385582563
2021-03-24,12.28,12.28,12.28,12.28,50.0,0.0,0.0
2021-03-25,12.0,12.0,12.0,12.0,800.0,-2.28,-2.280130293159599
2021-03-26,11.8,11.8,11.8,11.8,400.0,-1.67,-1.6666666666666607
2021-03-30,11.6,11.8,11.8,11.6,990.0,-1.69,-1.6949152542372947
2021-03-31,11.88,11.55,11.88,11.55,500.0,2.41,2.413793103448292
2021-04-02,11.88,11.88,11.88,11.88,300.0,0.0,0.0
2021-04-05,11.88,11.88,11.88,11.88,200.0,0.0,0.0
2021-04-07,11.54,11.88,11.88,11.54,1100.0,-2.86,-2.8619528619528767
2021-04-13,11.54,11.54,11.54,11.54,210.0,0.0,0.0
2021-04-14,11.5,11.5,11.5,11.5,300.0,-0.35,-0.34662045060658286
2021-04-15,11.8,11.8,11.8,11.8,2500.0,2.61,2.60869565217392
2021-04-19,11.91,11.91,11.91,11.91,1500.0,0.93,0.9322033898305104
2021-04-20,12.11,12.02,12.11,12.02,1670.0,1.68,1.6792611251049472
2021-04-21,12.21,12.2,12.21,12.2,570.0,0.83,0.8257638315441795
2021-04-22,12.57,12.57,12.57,12.57,0.0,2.95,2.9484029484029506
2021-04-23,12.57,12.57,12.57,12.57,2560.0,0.0,0.0
2021-04-26,12.89,12.89,12.89,12.89,80.0,2.55,2.545743834526659
2021-04-27,12.89,12.89,12.89,12.89,210.0,0.0,0.0
2021-04-28,12.59,12.59,12.59,12.59,180.0,-2.33,-2.3273855702094726
2021-04-29,12.64,12.64,12.64,12.64,30.0,0.4,0.3971405877680745
2021-04-30,12.51,12.51,12.51,12.51,10.0,-1.03,-1.0284810126582333
2021-05-03,12.14,12.51,12.51,12.14,570.0,-2.96,-2.9576338928856805
2021-05-04,12.14,12.14,12.14,12.14,1010.0,0.0,0.0
2021-05-05,12.14,12.14,12.14,12.14,380.0,0.0,0.0
2021-05-06,12.0,12.0,12.0,12.0,820.0,-1.15,-1.1532125205930832
2021-05-07,11.7,12.0,12.0,11.7,820.0,-2.5,-2.500000000000002
2021-05-10,12.0,12.0,12.0,12.0,150.0,2.56,2.564102564102577
2021-05-17,12.0,12.0,12.0,12.0,250.0,0.0,0.0
2021-05-20,12.0,12.0,12.0,12.0,0.0,0.0,0.0
2021-05-26,12.0,12.0,12.0,12.0,30.0,0.0,0.0
2021-05-28,12.2,12.2,12.2,12.2,10.0,1.67,1.6666666666666607
2021-05-31,12.2,12.2,12.2,12.2,130.0,0.0,0.0
2021-06-01,12.2,12.2,12.2,12.2,40.0,0.0,0.0
2021-06-03,12.19,12.0,12.19,12.0,340.0,-0.08,-0.08196721311475308
2021-06-07,12.0,12.0,12.0,12.0,50.0,-1.56,-1.5586546349466768
2021-06-08,12.0,12.0,12.0,12.0,40.0,0.0,0.0
2021-06-09,11.8,11.8,11.8,11.8,40.0,-1.67,-1.6666666666666607
2021-06-10,11.9,11.9,11.9,11.9,130.0,0.85,0.8474576271186418
2021-06-11,11.9,11.9,11.9,11.9,90.0,0.0,0.0
2021-06-14,12.0,12.0,12.0,12.0,80.0,0.84,0.8403361344537785
2021-06-17,12.0,12.0,12.0,12.0,10.0,0.0,0.0
2021-06-23,12.0,12.0,12.0,12.0,20.0,0.0,0.0
2021-06-24,12.0,12.0,12.0,12.0,10.0,0.0,0.0
2021-06-25,12.0,12.0,12.0,12.0,1140.0,0.0,0.0
2021-06-28,12.2,12.2,12.2,12.2,80.0,1.67,1.6666666666666607
2021-06-29,12.51,12.2,12.51,12.2,1030.0,2.54,2.54098360655739
2021-06-30,12.91,12.88,12.91,12.88,2009.9999999999998,3.2,3.1974420463629194
2021-07-01,13.11,13.0,13.11,13.0,2270.0,1.55,1.549186676994574
2021-07-02,13.75,13.5,13.75,13.5,140.0,4.88,4.881769641495048
2021-07-05,13.9,13.9,13.9,13.9,890.0,1.09,1.090909090909098
2021-07-06,13.91,13.91,13.91,13.91,320.0,0.07,0.07194244604316058
2021-07-07,14.29,14.3,14.3,14.29,1150.0,2.73,2.7318475916606744
2021-07-08,14.27,14.29,14.29,14.27,1170.0,-0.14,-0.13995801259621965
2021-07-09,14.19,14.0,14.19,14.0,160.0,-0.56,-0.5606166783461819
2021-07-12,14.19,14.19,14.19,14.19,1160.0,0.0,0.0
