Date,Price,Open,High,Low,Vol.,Change %,Return
2020-09-22,9.48,9.48,9.48,9.48,0.0,2.93,2.931596091205213
2020-09-24,9.48,9.48,9.48,9.48,10.0,0.0,0.0
2020-09-25,9.48,9.48,9.48,9.48,100.0,0.0,0.0
2020-10-01,9.2,9.2,9.2,9.2,0.0,-2.95,-2.9535864978903037
2020-10-02,9.2,8.93,9.2,8.93,40.0,0.0,0.0
2020-10-05,9.2,8.94,9.2,8.94,360.0,0.0,0.0
2020-10-09,9.2,9.2,9.2,9.2,380.0,0.0,0.0
2020-10-19,9.2,9.2,9.2,9.2,0.0,0.0,0.0
2020-10-21,9.3,9.2,9.3,9.2,2560.0,1.09,1.0869565217391353
2020-10-22,9.36,9.36,9.36,9.36,0.0,0.65,0.6451612903225712
2020-10-23,9.45,9.35,9.48,9.35,2120.0,0.96,0.9615384615384581
2020-10-27,10.15,10.31,10.31,10.15,3200.0,1.4,1.3986013986013957
2020-10-28,10.25,10.28,10.28,10.15,670.0,0.99,0.9852216748768461
2020-10-30,10.19,9.98,10.19,9.98,30.0,-0.59,-0.5853658536585371
2020-11-02,9.89,9.89,9.89,9.89,360.0,-2.94,-2.9440628066731978
2020-11-03,9.99,9.8,9.99,9.7,240.0,1.01,1.0111223458038276
2020-11-04,9.89,9.89,9.89,9.89,1670.0,-1.0,-1.0010010010010006
2020-11-05,9.89,9.45,9.89,9.45,380.0,0.0,0.0
2020-11-06,9.84,9.85,9.85,9.8,210.0,-0.51,-0.5055611729019249
2020-11-09,9.55,9.55,9.55,9.55,10.0,-2.95,-2.9471544715447107
2020-11-10,9.48,9.7,9.7,9.31,900.0,-0.73,-0.7329842931937169
2020-11-11,9.55,9.48,9.7,9.31,2270.0,0.74,0.7383966244725704
2020-11-12,9.55,9.6,9.6,9.54,5910.0,0.0,0.0
2020-11-13,9.59,9.33,9.59,9.32,290.0,0.42,0.41884816753925413
2020-11-16,9.55,9.59,9.59,9.55,2640.0,-0.42,-0.4171011470281427
2020-11-17,9.6,9.55,9.6,9.55,170.0,0.52,0.5235602094240788
2020-11-18,9.59,9.35,9.59,9.32,470.0,-0.1,-0.10416666666666075
2020-11-19,9.4,9.5,9.5,9.4,4220.0,-1.98,-1.9812304483837306
2020-11-20,9.58,9.58,9.58,9.58,10.0,1.91,1.9148936170212627
2020-11-23,9.51,9.31,9.51,9.15,250.0,-0.73,-0.7306889352818424
2020-11-25,9.23,9.23,9.6,9.23,4670.0,-2.94,-2.9442691903259655
2020-11-26,9.5,9.5,9.5,9.1,690.0,2.93,2.9252437703141787
2020-11-30,9.4,9.22,9.4,9.22,3200.0,-1.05,-1.0526315789473606
2020-12-01,9.22,9.45,9.45,9.12,4240.0,-1.91,-1.9148936170212738
2020-12-02,9.38,9.4,9.4,9.22,90.0,1.74,1.7353579175704903
2020-12-03,9.11,9.11,9.11,9.1,420.0,-2.88,-2.8784648187633377
2020-12-04,9.25,9.25,9.25,9.25,0.0,1.54,1.5367727771679496
2020-12-07,9.4,9.2,9.4,9.2,60.0,1.62,1.6216216216216273
2020-12-08,9.3,9.12,9.3,9.12,320.0,-1.06,-1.0638297872340385
2020-12-09,9.29,9.12,9.29,9.03,130.0,-0.11,-0.10752688172044333
2020-12-10,9.2,9.08,9.2,9.03,400.0,-0.97,-0.9687836383207693
2020-12-11,9.2,9.2,9.2,9.2,500.0,0.0,0.0
2020-12-14,9.29,9.1,9.3,9.0,2830.0,0.98,0.9782608695652062
2020-12-15,9.19,9.02,9.19,9.02,210.0,-1.08,-1.076426264800856
2020-12-16,9.19,9.0,9.19,9.0,4870.0,0.0,0.0
2020-12-17,9.17,9.0,9.19,9.0,7900.0,-0.22,-0.21762785636560977
2020-12-18,9.45,9.18,9.58,9.18,1760.0,3.05,3.0534351145037997
2020-12-21,9.38,9.35,9.58,9.17,1960.0,-0.74,-0.7407407407407196
2020-12-22,9.57,9.17,9.66,9.1,550.0,2.03,2.025586353944564
2020-12-28,9.71,9.7,10.0,9.7,260.0,-2.8,-2.802802802802795
2020-12-29,10.0,10.0,10.0,10.0,20.0,2.99,2.9866117404737214
2020-12-30,9.97,9.7,9.97,9.7,1200.0,-0.3,-0.29999999999998916
2020-12-31,10.29,9.95,10.39,9.6,2830.0,3.21,3.2096288866599654
2021-01-04,10.41,10.58,10.59,10.33,8890.0,1.17,1.1661807580175099
2021-01-05,10.45,10.48,10.48,10.1,2300.0,0.38,0.3842459173871271
2021-01-06,10.41,10.41,10.41,10.41,410.0,-0.38,-0.382775119617218
2021-01-08,10.2,10.2,10.2,10.2,50.0,-2.02,-2.017291066282434
2021-01-11,10.0,10.18,10.18,9.9,1750.0,-1.96,-1.9607843137254832
2021-01-12,9.7,9.9,9.9,9.7,550.0,-3.0,-3.0000000000000027
2021-01-13,9.9,9.89,9.9,9.7,980.0,2.06,2.0618556701031077
2021-01-19,9.94,9.8,9.98,9.61,2730.0,0.4,0.40404040404038444
2021-01-20,9.85,9.68,9.85,9.65,2530.0,-0.91,-0.905432595573441
2021-01-21,9.88,9.85,9.89,9.56,2500.0,0.3,0.3045685279188026
2021-01-22,9.9,9.8,9.9,9.8,500.0,0.2,0.2024291497975561
2021-01-25,9.61,9.61,9.61,9.61,40.0,-2.93,-2.929292929292937
2021-01-26,9.8,9.8,9.8,9.8,420.0,1.98,1.9771071800208206
2021-01-27,9.51,9.51,9.51,9.51,220.0,-2.96,-2.959183673469401
2021-01-28,9.51,9.51,9.51,9.51,10.0,0.0,0.0
2021-01-29,9.75,9.42,9.75,9.4,1540.0,2.52,2.5236593059936974
2021-02-04,9.5,9.4,9.5,9.32,1160.0,-2.56,-2.564102564102566
2021-02-05,9.58,9.5,9.65,9.5,24520.0,0.84,0.8421052631578885
2021-02-10,9.65,9.5,9.65,9.5,2990.0,0.73,0.7306889352818313
2021-02-11,9.5,9.5,9.5,9.5,500.0,-1.55,-1.5544041450777257
2021-02-17,9.49,9.22,9.49,9.22,1360.0,-0.11,-0.10526315789473051
2021-02-18,9.48,9.21,9.48,9.21,400.0,-0.11,-0.10537407797681642
2021-02-19,9.4,9.4,9.4,9.4,0.0,-0.84,-0.8438818565400852
2021-02-22,9.4,9.21,9.4,9.2,760.0,0.0,0.0
2021-02-23,9.57,9.57,9.57,9.57,0.0,1.81,1.8085106382978777
2021-02-24,9.53,9.55,9.55,9.27,140.0,-0.42,-0.4179728317659448
2021-03-03,9.65,9.48,9.65,9.48,490.0,1.26,1.2591815320042166
2021-03-04,9.59,9.59,9.59,9.59,1040.0,-0.62,-0.6217616580310947
2021-03-05,9.57,9.48,9.57,9.48,310.0,-0.21,-0.2085505735140769
2021-03-09,9.4,9.4,9.4,9.4,130.0,-1.78,-1.7763845350052265
2021-03-10,9.59,9.4,9.59,9.4,1340.0,2.02,2.02127659574467
2021-03-12,9.59,9.42,9.59,9.42,1660.0,0.0,0.0
2021-03-15,9.84,9.59,9.87,9.5,4220.0,2.61,2.6068821689259725
2021-03-16,9.84,9.84,9.95,9.84,750.0,0.0,0.0
2021-03-17,10.0,9.99,10.13,9.99,790.0,1.63,1.6260162601626105
2021-03-18,10.0,10.0,10.0,10.0,200.0,0.0,0.0
2021-03-19,9.95,9.85,9.95,9.7,2090.0,-0.5,-0.5000000000000115
2021-03-22,9.75,9.8,9.8,9.7,310.0,-2.01,-2.010050251256279
2021-03-23,10.04,10.04,10.04,10.04,10.0,2.97,2.9743589743589594
2021-03-24,10.13,9.99,10.13,9.99,710.0,0.9,0.8964143426295035
2021-03-25,10.4,10.18,10.4,10.18,4600.0,2.67,2.6653504442250675
2021-03-26,10.4,10.09,10.4,10.09,390.0,0.0,0.0
2021-03-30,10.5,10.45,10.5,10.45,240.0,0.96,0.9615384615384581
2021-03-31,10.81,10.5,10.81,10.5,7980.0,2.95,2.9523809523809508
2021-04-01,11.0,10.55,11.05,10.49,17600.0,1.76,1.757631822386685
2021-04-02,11.14,10.99,11.14,10.99,8430.0,1.27,1.2727272727272698
2021-04-05,11.17,11.17,11.17,11.13,7100.0,0.27,0.2692998204667729
2021-04-06,11.3,11.15,11.3,11.15,3250.0,1.16,1.1638316920322467
2021-04-07,11.1,10.99,11.1,10.62,2300.0,-1.77,-1.7699115044247926
2021-04-08,11.2,11.2,11.2,11.2,100.0,0.9,0.9009009009008917
2021-04-12,11.17,11.17,11.17,11.17,50.0,-0.27,-0.2678571428571419
2021-04-13,11.3,11.1,11.3,11.1,1780.0,1.16,1.1638316920322467
2021-04-14,11.2,11.2,11.2,11.2,10.0,-0.88,-0.8849557522124019
2021-04-16,11.2,10.87,11.2,10.87,2450.0,0.0,0.0
2021-04-19,11.25,11.2,11.25,11.2,200.0,0.45,0.44642857142858094
2021-04-21,11.23,11.19,11.25,11.0,8610.0,-0.18,-0.1777777777777767
2021-04-27,11.21,11.19,11.21,11.19,200.0,-0.18,-0.17809439002670624
2021-04-28,11.1,11.1,11.1,11.1,50.0,-0.98,-0.9812667261373864
2021-05-04,10.75,10.61,10.75,10.61,400.0,-3.15,-3.1531531531531543
2021-05-05,11.07,10.75,11.07,10.75,250.0,2.98,2.9767441860465205
2021-05-06,11.0,10.74,11.0,10.74,1320.0,-0.63,-0.6323396567299078
2021-05-07,11.0,11.0,11.0,11.0,120.0,0.0,0.0
2021-05-11,11.0,10.85,11.0,10.85,230.0,0.0,0.0
2021-05-20,10.74,10.74,10.74,10.74,70.0,-2.36,-2.3636363636363567
2021-05-21,10.74,10.74,10.74,10.74,340.0,0.0,0.0
2021-05-24,10.69,10.73,10.74,10.45,250.0,-0.47,-0.4655493482309203
2021-05-25,10.68,10.68,10.68,10.68,100.0,-0.09,-0.093545369504211
2021-05-26,10.6,10.4,10.6,10.4,30.0,-0.75,-0.7490636704119868
