Date,Price,Open,High,Low,Vol.,Change %,Return
2020-09-23,7.18,7.18,7.18,6.97,100.0,0.0,0.0
2020-09-28,7.1,6.97,7.1,6.97,210.0,-1.11,-1.1142061281337101
2020-09-29,7.1,6.91,7.1,6.91,130.0,0.0,0.0
2020-10-01,7.2,7.1,7.2,7.0,900.0,-1.5,-1.5047879616962967
2020-10-02,7.18,7.15,7.18,7.15,210.0,-0.28,-0.2777777777777879
2020-10-05,7.29,7.22,7.29,7.22,0.0,1.53,1.532033426183843
2020-10-08,7.19,7.1,7.2,7.0,3070.0,-1.37,-1.3717421124828433
2020-10-14,7.19,7.19,7.19,7.19,100.0,0.0,0.0
2020-10-20,7.28,7.19,7.28,7.17,6450.0,1.25,1.2517385257301727
2020-10-21,7.28,7.28,7.28,7.28,440.0,0.0,0.0
2020-10-22,7.25,7.25,7.25,7.25,120.0,-0.41,-0.4120879120879106
2020-10-23,7.2,7.25,7.27,7.04,1250.0,-0.69,-0.6896551724137945
2020-11-04,7.17,7.1,7.17,7.1,310.0,-0.42,-0.4166666666666652
2020-11-05,7.1,7.1,7.1,7.1,100.0,-0.98,-0.9762900976290179
2020-11-09,7.25,7.1,7.25,7.07,500.0,-0.41,-0.4120879120879106
2020-11-10,7.07,7.22,7.22,7.07,620.0,-2.48,-2.4827586206896513
2020-11-11,7.19,7.19,7.19,7.19,300.0,1.7,1.6973125884016893
2020-11-12,7.19,7.06,7.19,7.06,60.0,0.0,0.0
2020-11-16,7.2,7.2,7.2,7.1,3540.0,0.14,0.13908205841446364
2020-11-17,7.3,7.1,7.3,7.1,4620.0,1.39,1.388888888888884
2020-11-18,7.4,7.4,7.4,7.33,760.0,1.37,1.3698630136986356
2020-11-19,7.44,7.4,7.44,7.35,2420.0,0.54,0.540540540540535
2020-11-20,7.51,7.44,7.51,7.44,3930.0,0.94,0.9408602150537515
2020-11-23,7.4,7.4,7.5,7.4,2630.0,-1.46,-1.464713715046595
2020-11-24,7.32,7.4,7.43,7.32,410.0,-1.08,-1.0810810810810811
2020-11-25,7.3,7.32,7.32,7.3,1230.0,-0.27,-0.2732240437158584
2020-11-26,7.26,7.26,7.26,7.25,320.0,-0.55,-0.5479452054794498
2020-11-27,7.3,7.27,7.3,7.27,1530.0,0.55,0.5509641873278293
2020-11-30,7.32,7.32,7.32,7.32,400.0,0.27,0.273972602739736
2020-12-01,7.44,7.28,7.44,7.28,450.0,1.64,1.6393442622950838
2020-12-02,7.28,7.29,7.29,7.28,130.0,-2.15,-2.1505376344086002
2020-12-03,7.38,7.28,7.42,7.27,880.0,1.37,1.3736263736263687
2020-12-04,7.27,7.27,7.38,7.27,2490.0,-1.49,-1.490514905149054
2020-12-07,7.25,7.26,7.26,7.25,760.0,-0.28,-0.27510316368637433
2020-12-08,7.39,7.41,7.41,7.39,230.0,1.93,1.93103448275862
2020-12-09,7.34,7.21,7.34,7.21,40.0,-0.68,-0.6765899864682012
2020-12-10,7.34,7.34,7.34,7.34,10.0,0.0,0.0
2020-12-14,7.3,7.34,7.36,7.15,170.0,2.24,2.2408963585434094
2020-12-15,7.19,7.16,7.19,7.14,9430.0,-1.51,-1.5068493150684814
2020-12-16,7.29,7.19,7.3,7.19,2009.9999999999998,1.39,1.3908205841446364
2020-12-17,7.3,7.3,7.3,7.3,1400.0,0.14,0.137174211248281
2020-12-18,7.4,7.31,7.41,7.3,8910.0,1.37,1.3698630136986356
2020-12-21,7.4,7.39,7.4,7.38,2370.0,0.0,0.0
2020-12-23,7.78,7.6,7.78,7.6,4340.0,2.1,2.09973753280841
2020-12-24,7.6,7.74,7.8,7.6,4480.0,-2.31,-2.313624678663251
2020-12-28,7.79,7.82,7.82,7.6,3520.0,-0.38,-0.38363171355498826
2020-12-29,7.79,7.6,7.79,7.56,8460.0,0.0,0.0
2020-12-30,7.74,7.75,7.78,7.56,3590.0,-0.64,-0.6418485237483895
2020-12-31,7.79,7.65,7.79,7.65,6760.0,0.65,0.6459948320413522
2021-01-04,7.69,7.56,7.69,7.56,520.0,-1.28,-1.2836970474967901
2021-01-06,7.58,7.46,7.59,7.46,130.0,-1.43,-1.4304291287386306
2021-01-11,7.59,7.59,7.59,7.59,20.0,0.13,0.13192612137202797
2021-01-15,7.57,7.37,7.57,7.37,110.0,-0.26,-0.26350461133068936
2021-01-21,7.56,7.36,7.56,7.36,520.0,-0.4,-0.39525691699605625
2021-01-22,7.56,7.37,7.56,7.37,940.0,0.0,0.0
2021-01-27,7.5,7.36,7.5,7.36,540.0,-0.79,-0.7936507936507908
2021-01-28,7.34,7.48,7.48,7.34,2910.0,-2.13,-2.1333333333333315
2021-02-01,7.12,7.12,7.12,7.12,1450.0,0.0,0.0
2021-02-02,7.19,7.12,7.2,7.0,4880.0,0.98,0.9831460674157411
2021-02-04,7.38,7.25,7.38,7.25,670.0,-0.14,-0.13531799729363803
2021-02-08,7.38,7.35,7.38,7.35,1650.0,0.0,0.0
