"Date","Price","Open","High","Low","Vol.","Change %"
"09/20/2023","0.43","0.43","0.43","0.43","0.50K","2.38%"
"09/18/2023","0.42","0.42","0.42","0.42","0.01K","-2.33%"
"09/15/2023","0.43","0.43","0.43","0.43","0.05K","2.38%"
"09/14/2023","0.42","0.42","0.42","0.42","0.02K","5.00%"
"09/08/2023","0.40","0.40","0.40","0.40","0.01K","-2.44%"
"09/07/2023","0.41","0.41","0.41","0.41","0.02K","0.00%"
"09/06/2023","0.41","0.41","0.41","0.41","0.01K","-2.38%"
"08/31/2023","0.42","0.42","0.42","0.42","0.01K","0.00%"
"08/30/2023","0.42","0.42","0.42","0.42","0.32K","0.00%"
"08/29/2023","0.42","0.44","0.44","0.42","0.56K","0.00%"
"08/16/2023","0.42","0.42","0.42","0.42","0.80K","0.00%"
"08/15/2023","0.42","0.43","0.43","0.42","0.52K","-2.33%"
"08/14/2023","0.43","0.43","0.43","0.43","0.11K","0.00%"
"08/09/2023","0.43","0.45","0.45","0.43","0.19K","-2.27%"
"08/03/2023","0.44","0.44","0.44","0.44","0.10K","-2.22%"
"07/28/2023","0.45","0.45","0.45","0.45","2.05K","0.00%"
"07/27/2023","0.45","0.45","0.45","0.45","1.00K","0.00%"
"07/26/2023","0.45","0.45","0.45","0.45","0.06K","-4.26%"
"07/24/2023","0.47","0.47","0.47","0.47","1.00K","6.82%"
"07/18/2023","0.44","0.44","0.44","0.44","0.80K","-8.33%"
"07/14/2023","0.48","0.48","0.48","0.48","0.03K","2.13%"
"07/13/2023","0.47","0.47","0.47","0.47","0.05K","2.17%"
"07/11/2023","0.46","0.46","0.46","0.46","0.05K","-4.17%"
"07/07/2023","0.48","0.48","0.48","0.48","0.04K","-5.88%"
"07/03/2023","0.51","0.51","0.51","0.51","0.01K","0.00%"
"06/27/2023","0.51","0.51","0.51","0.51","1.00K","0.00%"
"06/26/2023","0.51","0.51","0.51","0.51","0.00K","0.00%"
"06/23/2023","0.51","0.51","0.51","0.51","0.42K","-1.92%"
"06/21/2023","0.52","0.52","0.52","0.52","1.11K","-1.89%"
"06/20/2023","0.53","0.53","0.53","0.53","1.00K","0.00%"
"06/19/2023","0.53","0.53","0.53","0.53","5.19K","-3.64%"
"06/16/2023","0.55","0.55","0.55","0.55","0.11K","1.85%"
"06/15/2023","0.54","0.50","0.54","0.50","0.32K","12.50%"
"06/06/2023","0.48","0.48","0.48","0.48","0.26K","-4.00%"
"06/01/2023","0.50","0.50","0.50","0.50","0.36K","4.17%"
"05/24/2023","0.48","0.48","0.48","0.48","0.05K","0.00%"
"05/22/2023","0.48","0.48","0.48","0.48","0.00K","6.67%"
"05/16/2023","0.45","0.45","0.45","0.45","0.01K","0.00%"
"05/05/2023","0.45","0.45","0.45","0.45","0.05K","0.00%"
"05/03/2023","0.45","0.45","0.45","0.45","1.52K","-21.05%"
"04/20/2023","0.57","0.57","0.57","0.57","0.11K","0.00%"
"04/19/2023","0.57","0.57","0.57","0.57","0.05K","-14.93%"
"04/05/2023","0.67","0.67","0.67","0.67","0.40K","0.00%"
"04/04/2023","0.67","0.67","0.67","0.67","7.36K","0.00%"
"04/03/2023","0.67","0.67","0.67","0.67","0.81K","-4.29%"
"03/21/2023","0.70","0.70","0.70","0.70","0.02K","-7.89%"
"03/13/2023","0.76","0.75","0.76","0.75","0.51K","-1.30%"
"02/17/2023","0.77","0.77","0.77","0.77","0.04K","0.00%"
"02/10/2023","0.77","0.77","0.77","0.77","0.00K","0.00%"
"02/02/2023","0.77","0.77","0.77","0.77","0.02K","-7.23%"
"01/17/2023","0.83","0.83","0.83","0.83","0.00K","1.22%"
"01/11/2023","0.82","0.82","0.82","0.82","0.00K","0.00%"
"01/04/2023","0.82","0.82","0.82","0.82","1.02K","0.00%"
"12/28/2022","0.82","0.82","0.82","0.82","9.67K","0.00%"
"12/23/2022","0.82","0.82","0.82","0.82","7.01K","-2.38%"
"12/16/2022","0.84","0.84","0.84","0.84","0.00K","0.00%"
"12/14/2022","0.84","0.84","0.84","0.84","1.08K","-2.33%"
"12/13/2022","0.86","0.86","0.86","0.86","0.01K","-4.44%"
"12/08/2022","0.90","0.90","0.90","0.90","0.01K","5.88%"
"11/22/2022","0.85","0.85","0.85","0.85","0.01K","-4.49%"
"11/18/2022","0.89","0.89","0.89","0.89","0.16K","4.71%"
"11/09/2022","0.85","0.85","0.85","0.85","0.00K","3.66%"
"10/31/2022","0.82","0.82","0.82","0.82","1.20K","-5.75%"
"10/25/2022","0.87","0.87","0.87","0.87","0.00K","0.00%"
"10/24/2022","0.87","0.87","0.87","0.87","0.34K","0.00%"
"10/20/2022","0.87","0.87","0.87","0.87","0.05K","0.00%"
"10/19/2022","0.87","0.87","0.87","0.87","0.04K","-1.14%"
"10/18/2022","0.88","0.88","0.88","0.88","0.02K","-4.35%"
"10/11/2022","0.92","0.92","0.92","0.92","0.04K","-1.08%"
"10/10/2022","0.93","0.93","0.93","0.93","0.11K","1.09%"
"10/07/2022","0.92","0.92","0.92","0.92","0.11K","2.22%"
"10/06/2022","0.90","0.90","0.90","0.90","0.34K","1.12%"
"10/05/2022","0.89","0.89","0.89","0.89","0.14K","3.49%"
"10/04/2022","0.86","0.88","0.88","0.86","0.18K","0.00%"
"09/30/2022","0.86","0.86","0.86","0.86","0.11K","3.61%"
"09/29/2022","0.83","0.83","0.83","0.83","0.91K","0.00%"
"09/28/2022","0.83","0.83","0.83","0.83","1.50K","0.00%"
"09/23/2022","0.83","0.83","0.83","0.83","0.97K","0.00%"
"09/16/2022","0.83","0.83","0.83","0.83","0.62K","0.00%"
"09/12/2022","0.83","0.83","0.83","0.83","0.56K","0.00%"
"09/06/2022","0.83","0.83","0.83","0.83","0.18K","1.22%"
"09/05/2022","0.82","0.82","0.82","0.82","0.78K","0.00%"
"09/01/2022","0.82","0.82","0.82","0.82","1.94K","-2.38%"
"08/29/2022","0.84","0.82","0.84","0.82","0.18K","-3.45%"
"08/25/2022","0.87","0.87","0.87","0.87","0.24K","3.57%"
"08/23/2022","0.84","0.84","0.84","0.84","0.20K","0.00%"
"08/19/2022","0.84","0.84","0.84","0.84","0.22K","5.00%"
"08/16/2022","0.80","0.80","0.80","0.80","0.08K","-9.09%"
"08/09/2022","0.88","0.91","0.91","0.88","0.04K","0.00%"
"08/05/2022","0.88","0.88","0.88","0.88","0.03K","-4.35%"
"08/03/2022","0.92","0.92","0.92","0.92","0.01K","-1.08%"
"08/02/2022","0.93","0.93","0.93","0.93","0.10K","-1.06%"
"07/29/2022","0.94","0.90","0.94","0.90","0.02K","2.17%"
"07/28/2022","0.92","0.92","0.92","0.92","2.37K","0.00%"
"07/27/2022","0.92","0.94","0.94","0.92","10.07K","-2.13%"
"07/26/2022","0.94","0.94","0.94","0.94","0.02K","2.17%"
"07/19/2022","0.92","0.92","0.92","0.92","2.00K","-2.13%"
"07/18/2022","0.94","0.94","0.94","0.94","0.10K","0.00%"
"07/15/2022","0.94","0.92","0.94","0.92","5.66K","-6.00%"
"07/13/2022","1.00","1.00","1.00","1.00","0.07K","0.00%"
"07/07/2022","1.00","1.00","1.00","1.00","0.04K","4.17%"
"07/06/2022","0.96","0.96","0.96","0.96","0.02K","4.35%"
"07/01/2022","0.92","0.92","0.92","0.92","5.00K","0.00%"
"06/30/2022","0.92","0.93","0.93","0.92","3.24K","0.00%"
"06/29/2022","0.92","0.92","0.92","0.92","11.41K","0.00%"
"06/28/2022","0.92","0.92","0.92","0.92","6.46K","-1.08%"
