"Date","Price","Open","High","Low","Vol.","Change %"
"09/21/2023","86.00","86.00","86.00","86.00","","0.00%"
"09/18/2023","86.00","86.00","86.00","86.00","0.06K","0.00%"
"09/12/2023","86.00","86.00","86.00","86.00","0.01K","0.00%"
"09/08/2023","86.00","86.00","86.00","86.00","0.15K","2.02%"
"09/07/2023","84.30","86.48","86.48","84.30","0.10K","-2.52%"
"09/06/2023","86.48","86.48","86.48","86.48","0.00K","0.00%"
"09/05/2023","86.48","86.48","86.48","86.48","0.23K","0.00%"
"09/04/2023","86.48","86.48","86.48","86.48","0.01K","0.00%"
"09/01/2023","86.48","86.48","86.48","86.48","0.01K","-0.01%"
"08/31/2023","86.49","86.49","86.49","86.49","0.01K","0.00%"
"08/30/2023","86.49","86.49","86.49","86.49","0.04K","-0.01%"
"08/29/2023","86.50","86.48","86.50","86.48","0.07K","0.02%"
"08/28/2023","86.48","86.50","86.50","86.48","0.01K","-0.01%"
"08/25/2023","86.49","86.49","86.49","86.49","0.00K","0.00%"
"08/21/2023","86.49","86.49","86.49","86.49","0.01K","-0.01%"
"08/18/2023","86.50","86.50","86.50","86.50","0.12K","0.00%"
"08/17/2023","86.50","86.50","86.50","86.50","0.01K","1.17%"
"08/10/2023","85.50","85.50","85.50","85.50","0.03K","-0.58%"
"08/09/2023","86.00","86.00","86.00","86.00","0.28K","0.00%"
"08/08/2023","86.00","86.00","86.00","86.00","0.11K","-0.06%"
"08/04/2023","86.05","86.05","86.05","86.05","0.01K","-4.34%"
"07/27/2023","89.95","89.95","89.95","89.95","0.06K","-0.06%"
"07/26/2023","90.00","90.00","90.00","90.00","0.00K","0.11%"
"07/24/2023","89.90","89.90","89.90","89.90","0.04K","-0.11%"
"07/21/2023","90.00","90.00","90.00","90.00","0.01K","0.00%"
"07/20/2023","90.00","90.00","90.00","90.00","0.00K","2.27%"
"07/13/2023","88.00","88.00","88.00","88.00","0.03K","0.00%"
"07/12/2023","88.00","88.02","88.02","88.00","0.29K","-4.34%"
"07/11/2023","91.99","91.99","91.99","91.99","0.07K","1.10%"
"07/10/2023","90.99","90.99","90.99","90.99","0.07K","-0.01%"
"07/07/2023","91.00","91.00","91.00","91.00","0.00K","2.25%"
"07/06/2023","89.00","89.00","89.00","89.00","0.00K","0.00%"
"07/05/2023","89.00","89.00","89.00","89.00","0.12K","0.00%"
"07/03/2023","89.00","89.00","89.00","89.00","0.00K","0.56%"
"06/26/2023","88.50","88.50","88.50","88.50","0.01K","-2.74%"
"06/23/2023","90.99","90.99","90.99","90.99","0.50K","1.66%"
"06/21/2023","89.50","89.50","89.50","89.50","0.00K","1.13%"
"06/19/2023","88.50","88.50","88.50","88.50","0.01K","-0.56%"
"06/16/2023","89.00","89.00","89.00","89.00","0.04K","0.00%"
"06/15/2023","89.00","87.01","89.00","87.01","0.78K","2.30%"
"06/13/2023","87.00","87.00","87.00","87.00","0.13K","-1.36%"
"06/09/2023","88.20","88.20","88.20","88.20","0.01K","-0.90%"
"06/07/2023","89.00","89.00","89.00","89.00","0.01K","0.90%"
"06/02/2023","88.21","88.20","88.21","88.20","0.02K","0.24%"
"06/01/2023","88.00","88.00","88.00","88.00","0.01K","0.00%"
"05/31/2023","88.00","88.00","88.00","88.00","0.01K","0.46%"
"05/30/2023","87.60","87.60","87.60","87.60","0.00K","0.00%"
"05/26/2023","87.60","87.60","87.60","87.60","7.54K","0.00%"
"05/25/2023","87.60","87.60","87.60","87.60","0.06K","0.13%"
"05/24/2023","87.49","87.49","87.49","87.49","0.01K","-0.01%"
"05/18/2023","87.50","87.50","87.50","87.50","0.09K","0.00%"
"05/16/2023","87.50","88.00","88.00","87.50","0.10K","-0.57%"
"05/11/2023","88.00","88.00","88.00","88.00","0.01K","0.00%"
"05/04/2023","88.00","88.00","88.00","88.00","0.01K","0.00%"
"04/28/2023","88.00","88.00","88.00","88.00","0.00K","1.15%"
"04/26/2023","87.00","87.40","87.40","87.00","1.22K","-1.14%"
"04/24/2023","88.00","88.00","88.00","88.00","0.11K","0.14%"
"04/19/2023","87.88","87.88","87.88","87.88","0.02K","0.00%"
"04/14/2023","87.88","87.99","87.99","87.88","0.11K","-0.14%"
"04/12/2023","88.00","88.00","88.00","88.00","0.00K","0.00%"
"04/07/2023","88.00","88.00","88.00","88.00","0.01K","0.01%"
"04/05/2023","87.99","87.99","87.99","87.99","0.07K","-0.01%"
"04/03/2023","88.00","88.00","88.00","88.00","0.00K","1.15%"
"03/31/2023","87.00","87.00","87.00","87.00","0.05K","0.00%"
"03/27/2023","87.00","87.00","87.00","87.00","0.11K","-1.14%"
"03/24/2023","88.00","88.00","88.00","88.00","0.00K","1.72%"
"03/22/2023","86.51","86.51","86.51","86.51","0.03K","0.00%"
"03/21/2023","86.51","86.51","86.51","86.51","0.17K","3.48%"
"03/15/2023","83.60","83.60","83.60","83.60","0.13K","-4.46%"
"03/14/2023","87.50","87.50","87.50","87.50","0.10K","0.00%"
"03/06/2023","87.50","87.50","87.50","87.50","0.32K","-0.56%"
"02/24/2023","87.99","87.99","87.99","87.99","0.25K","-0.01%"
"02/22/2023","88.00","88.00","88.00","88.00","0.20K","0.00%"
"02/17/2023","88.00","88.00","88.00","88.00","0.12K","1.15%"
"02/16/2023","87.00","87.00","87.00","87.00","0.01K","-1.14%"
"02/14/2023","88.00","88.00","88.00","88.00","0.10K","0.00%"
"02/10/2023","88.00","88.00","88.00","88.00","0.10K","0.00%"
"02/08/2023","88.00","88.00","88.00","88.00","0.10K","0.00%"
"02/07/2023","88.00","88.00","88.00","88.00","0.10K","0.11%"
"02/02/2023","87.90","87.90","87.90","87.90","0.01K","0.00%"
"01/27/2023","87.90","87.90","87.90","87.90","0.05K","-0.11%"
"01/23/2023","88.00","87.00","88.00","87.00","0.31K","1.15%"
"01/20/2023","87.00","87.00","87.00","87.00","0.01K","-1.14%"
"01/19/2023","88.00","88.00","88.00","88.00","0.02K","0.00%"
"01/17/2023","88.00","88.00","88.00","88.00","0.01K","2.33%"
"01/12/2023","86.00","86.00","86.00","86.00","0.01K","-0.01%"
"01/11/2023","86.01","86.01","86.01","86.01","0.01K","-2.25%"
"01/10/2023","87.99","87.99","87.99","87.99","0.03K","-0.01%"
"01/09/2023","88.00","88.00","88.00","88.00","0.01K","0.01%"
"01/05/2023","87.99","87.99","87.99","87.99","0.04K","-0.01%"
"01/04/2023","88.00","88.00","88.00","88.00","0.09K","0.00%"
"12/29/2022","88.00","88.00","88.00","88.00","0.07K","3.53%"
"12/28/2022","85.00","85.00","85.00","85.00","0.15K","-3.41%"
"12/27/2022","88.00","87.99","88.00","87.99","0.07K","0.00%"
"12/26/2022","88.00","88.00","88.00","88.00","0.00K","3.53%"
"12/23/2022","85.00","85.00","85.00","85.00","0.11K","-3.40%"
"12/15/2022","87.99","87.99","87.99","87.99","0.01K","0.00%"
"12/14/2022","87.99","87.99","87.99","87.99","0.07K","0.00%"
"12/13/2022","87.99","87.99","87.99","87.99","0.00K","0.00%"
"12/12/2022","87.99","87.99","87.99","87.99","0.05K","-2.23%"
"12/08/2022","90.00","90.00","90.00","90.00","0.07K","0.00%"
"12/06/2022","90.00","90.00","90.00","90.00","0.10K","-1.07%"
"11/30/2022","90.97","90.97","90.97","90.97","0.46K","0.00%"
"11/29/2022","90.97","90.97","90.97","90.97","0.09K","0.00%"
"11/25/2022","90.97","90.97","90.97","90.97","0.01K","0.00%"
"11/23/2022","90.97","90.97","90.97","90.97","0.00K","0.01%"
"11/22/2022","90.96","90.96","90.96","90.96","1.50K","0.00%"
"11/18/2022","90.96","90.96","90.96","90.96","1.55K","-0.01%"
"11/16/2022","90.97","90.97","90.97","90.97","0.10K","3.38%"
"11/11/2022","88.00","88.00","88.00","88.00","0.10K","0.51%"
"11/10/2022","87.55","87.55","87.55","87.55","0.01K","-0.51%"
"11/09/2022","88.00","88.00","88.00","88.00","0.25K","0.01%"
"11/08/2022","87.99","88.00","88.00","87.99","0.00K","-1.74%"
"11/01/2022","89.55","89.54","89.55","89.54","0.02K","0.01%"
"10/28/2022","89.54","89.54","89.54","89.54","0.00K","-0.01%"
"10/27/2022","89.55","89.55","89.55","89.55","0.03K","0.61%"
"10/26/2022","89.01","89.01","89.01","89.01","0.00K","-2.18%"
"10/25/2022","90.99","90.99","90.99","90.99","0.00K","-0.01%"
"10/24/2022","91.00","91.00","91.00","91.00","0.02K","0.00%"
"10/21/2022","91.00","91.00","91.00","91.00","0.00K","2.71%"
"10/20/2022","88.60","87.00","88.60","87.00","0.06K","-2.64%"
"10/12/2022","91.00","91.00","91.00","91.00","0.01K","-1.09%"
"10/11/2022","92.00","92.00","92.00","92.00","0.01K","0.00%"
"10/10/2022","92.00","92.00","92.00","92.00","0.01K","0.00%"
"10/07/2022","92.00","92.00","92.00","92.00","0.03K","0.00%"
"10/06/2022","92.00","92.00","92.00","92.00","0.01K","3.94%"
"10/05/2022","88.51","88.51","88.51","88.51","0.01K","-2.74%"
"10/04/2022","91.00","91.00","91.00","91.00","0.02K","0.00%"
"10/03/2022","91.00","91.00","91.00","91.00","0.02K","0.00%"
"09/30/2022","91.00","91.00","91.00","91.00","0.00K","0.00%"
"09/29/2022","91.00","91.00","91.00","91.00","0.04K","0.00%"
"09/28/2022","91.00","91.00","91.00","91.00","0.04K","0.00%"
"09/27/2022","91.00","91.00","91.00","91.00","0.08K","0.00%"
"09/26/2022","91.00","91.00","91.00","91.00","0.10K","0.00%"
"09/23/2022","91.00","91.00","91.00","91.00","0.07K","0.00%"
"09/22/2022","91.00","91.00","91.00","91.00","0.10K","0.00%"
"09/16/2022","91.00","91.00","91.00","91.00","0.15K","-3.19%"
"09/12/2022","94.00","94.00","94.00","94.00","0.01K","-0.53%"
"09/08/2022","94.50","94.50","94.50","94.50","0.12K","0.00%"
"09/06/2022","94.50","94.50","94.50","94.50","0.01K","0.53%"
"09/05/2022","94.00","94.00","94.00","94.00","0.04K","0.53%"
"09/02/2022","93.50","93.50","93.50","93.50","0.02K","-0.53%"
"09/01/2022","94.00","94.00","94.00","94.00","0.02K","0.00%"
"08/31/2022","94.00","94.00","94.00","94.00","0.03K","0.00%"
"08/30/2022","94.00","94.00","94.00","94.00","0.12K","0.00%"
"08/29/2022","94.00","94.00","94.00","94.00","0.55K","0.53%"
"08/26/2022","93.50","93.50","93.50","93.50","0.01K","0.54%"
"08/24/2022","93.00","93.00","93.00","93.00","0.00K","0.00%"
"08/22/2022","93.00","93.00","93.00","93.00","0.02K","3.26%"
"08/19/2022","90.06","90.05","90.06","90.05","0.01K","-3.12%"
"08/17/2022","92.96","92.96","92.96","92.96","0.01K","0.00%"
"08/15/2022","92.96","92.96","92.96","92.96","0.02K","-0.01%"
"08/12/2022","92.97","92.97","92.97","92.97","0.00K","-0.56%"
"08/09/2022","93.49","93.49","93.49","93.49","0.01K","3.87%"
"08/08/2022","90.01","94.00","94.00","90.01","0.02K","0.01%"
"08/05/2022","90.00","89.00","90.00","89.00","0.24K","1.12%"
"08/04/2022","89.00","89.00","89.00","89.00","0.00K","-0.11%"
"08/03/2022","89.10","88.00","89.10","88.00","0.04K","0.00%"
"08/02/2022","89.10","89.10","89.10","89.10","0.14K","0.00%"
"07/29/2022","89.10","89.10","89.10","89.10","0.00K","-0.45%"
"07/28/2022","89.50","89.99","89.99","89.50","0.02K","-0.54%"
"07/27/2022","89.99","90.50","90.50","89.99","0.02K","0.00%"
"07/26/2022","89.99","89.99","89.99","89.99","0.01K","0.32%"
"07/22/2022","89.70","89.70","89.70","89.70","0.00K","-0.88%"
"07/19/2022","90.50","90.85","90.85","90.50","0.08K","-4.18%"
"07/18/2022","94.45","94.45","94.45","94.45","0.02K","-1.61%"
"07/15/2022","96.00","96.00","96.00","96.00","0.09K","0.00%"
"07/13/2022","96.00","96.00","96.00","96.00","0.00K","-0.01%"
"07/12/2022","96.01","96.01","96.01","96.01","0.02K","0.01%"
"07/07/2022","96.00","96.00","96.00","96.00","0.05K","0.00%"
"07/06/2022","96.00","96.00","96.00","96.00","0.05K","0.00%"
"07/01/2022","96.00","96.00","96.00","96.00","0.00K","-0.83%"
"06/30/2022","96.80","96.80","96.80","96.80","0.04K","0.00%"
"06/29/2022","96.80","96.80","96.80","96.80","0.01K","-0.21%"
"06/27/2022","97.00","97.00","97.00","97.00","0.00K","0.00%"
"06/24/2022","97.00","97.00","97.00","97.00","0.05K","3.19%"
"06/23/2022","94.00","94.00","94.00","94.00","0.00K","-2.08%"
"06/22/2022","96.00","96.00","96.00","96.00","0.00K","0.00%"
"06/21/2022","96.00","96.00","96.00","96.00","0.11K","0.00%"
"06/20/2022","96.00","96.00","96.00","96.00","0.05K","3.10%"
"06/17/2022","93.11","93.11","93.11","93.11","0.01K","0.47%"
"06/15/2022","92.67","97.00","97.00","92.67","0.11K","-4.46%"
"06/14/2022","97.00","97.00","97.00","97.00","0.01K","3.02%"
"06/10/2022","94.16","94.16","94.16","94.16","0.20K","4.49%"
