"Date","Price","Open","High","Low","Vol.","Change %"
"09/21/2023","6.44","6.45","6.45","6.44","23.54K","-0.16%"
"09/20/2023","6.45","6.45","6.45","6.40","1.17K","0.16%"
"09/19/2023","6.44","6.47","6.47","6.40","6.40K","-0.46%"
"09/18/2023","6.47","6.46","6.48","6.44","1.46K","0.00%"
"09/15/2023","6.47","6.47","6.47","6.47","0.69K","-0.15%"
"09/14/2023","6.48","6.48","6.48","6.40","2.59K","-0.15%"
"09/13/2023","6.49","6.49","6.49","6.49","0.39K","0.00%"
"09/12/2023","6.49","6.48","6.49","6.40","5.33K","0.00%"
"09/11/2023","6.49","6.49","6.49","6.49","0.39K","0.00%"
"09/08/2023","6.49","6.50","6.50","6.49","0.88K","0.00%"
"09/07/2023","6.49","6.49","6.49","6.48","5.03K","0.00%"
"09/06/2023","6.49","6.49","6.49","6.49","0.40K","0.00%"
"09/05/2023","6.49","6.49","6.49","6.48","5.00K","-0.15%"
"09/04/2023","6.50","6.50","6.50","6.50","0.50K","0.00%"
"09/01/2023","6.50","6.51","6.51","6.50","11.20K","-0.31%"
"08/31/2023","6.52","6.52","6.52","6.52","0.40K","0.00%"
"08/30/2023","6.52","6.54","6.54","6.41","11.50K","-0.31%"
"08/29/2023","6.54","6.54","6.54","6.50","15.75K","0.00%"
"08/28/2023","6.54","6.53","6.54","6.49","14.36K","0.00%"
"08/25/2023","6.54","6.54","6.54","6.50","29.68K","0.00%"
"08/24/2023","6.54","6.54","6.54","6.49","38.99K","0.62%"
"08/23/2023","6.50","6.50","6.54","6.50","45.46K","0.00%"
"08/22/2023","6.50","6.50","6.50","6.50","0.58K","0.00%"
"08/21/2023","6.50","6.50","6.50","6.30","1.40K","0.15%"
"08/18/2023","6.49","6.49","6.49","6.40","1.51K","-0.15%"
"08/17/2023","6.50","6.49","6.50","6.49","2.34K","0.00%"
"08/16/2023","6.50","6.50","6.50","6.50","0.40K","0.00%"
"08/15/2023","6.50","6.50","6.50","6.50","0.40K","0.00%"
"08/14/2023","6.50","6.50","6.50","6.50","0.39K","0.00%"
"08/11/2023","6.50","6.50","6.50","6.50","0.39K","0.00%"
"08/10/2023","6.50","6.45","6.50","6.30","6.17K","0.00%"
"08/09/2023","6.50","6.50","6.50","6.50","0.80K","0.78%"
"08/08/2023","6.45","6.45","6.45","6.45","2.44K","0.00%"
"08/07/2023","6.45","6.45","6.45","6.45","0.39K","0.00%"
"08/04/2023","6.45","6.50","6.50","6.45","4.54K","-0.77%"
"08/03/2023","6.50","6.50","6.50","6.50","0.39K","0.00%"
"08/02/2023","6.50","6.50","6.50","6.50","0.41K","0.00%"
"08/01/2023","6.50","6.50","6.50","6.38","28.76K","0.00%"
"07/31/2023","6.50","6.50","6.50","6.45","27.66K","0.00%"
"07/28/2023","6.50","6.50","6.50","6.45","26.42K","0.00%"
"07/27/2023","6.50","6.50","6.50","6.45","44.78K","0.00%"
"07/26/2023","6.50","6.50","6.50","6.45","66.46K","0.78%"
"07/24/2023","6.45","6.45","6.49","6.45","14.58K","0.00%"
"07/21/2023","6.45","6.50","6.50","6.40","23.97K","0.00%"
"07/20/2023","6.45","6.40","6.45","6.40","26.76K","0.78%"
"07/18/2023","6.40","6.40","6.40","6.30","5.84K","0.00%"
"07/17/2023","6.40","6.40","6.40","6.39","2.60K","0.00%"
"07/14/2023","6.40","6.40","6.40","6.39","4.01K","0.00%"
"07/13/2023","6.40","6.40","6.40","6.39","0.57K","0.00%"
"07/12/2023","6.40","6.40","6.40","6.40","0.50K","0.00%"
"07/11/2023","6.40","6.50","6.50","6.40","6.43K","-1.54%"
