"Date","Price","Open","High","Low","Vol.","Change %"
"09/15/2023","2.010","2.010","2.010","2.010","0.04K","-4.29%"
"09/14/2023","2.100","2.100","2.100","2.100","0.30K","0.00%"
"09/01/2023","2.100","2.050","2.100","2.050","0.06K","-1.87%"
"08/30/2023","2.140","2.140","2.140","2.140","0.01K","2.39%"
"08/25/2023","2.090","2.090","2.090","2.090","0.17K","-4.13%"
"08/22/2023","2.180","2.180","2.180","2.180","0.15K","-0.46%"
"08/21/2023","2.190","2.190","2.190","2.190","0.02K","0.00%"
"08/17/2023","2.190","2.190","2.190","2.190","0.02K","-2.67%"
"08/16/2023","2.250","2.250","2.250","2.250","0.10K","4.17%"
"08/15/2023","2.160","2.160","2.160","2.160","0.00K","23.43%"
"08/10/2023","1.750","1.750","1.750","1.750","0.02K","-4.37%"
"08/04/2023","1.830","1.830","1.830","1.830","0.50K","-16.06%"
"07/31/2023","2.180","2.180","2.180","2.180","0.14K","-4.39%"
"07/28/2023","2.280","2.280","2.280","2.280","7.10K","-0.44%"
"07/27/2023","2.290","2.290","2.290","2.290","0.01K","-0.43%"
"07/24/2023","2.300","2.300","2.300","2.300","0.77K","0.44%"
"07/18/2023","2.290","2.290","2.290","2.290","0.57K","-0.43%"
"07/17/2023","2.300","2.300","2.300","2.300","0.10K","0.88%"
"06/23/2023","2.280","2.280","2.280","2.280","0.05K","0.88%"
"06/20/2023","2.260","2.240","2.260","2.240","843.81K","0.44%"
"06/16/2023","2.250","2.250","2.250","2.250","0.10K","0.00%"
"06/13/2023","2.250","2.250","2.250","2.250","0.26K","0.00%"
"05/31/2023","2.250","2.250","2.250","2.250","1.15K","-1.32%"
"05/24/2023","2.280","2.280","2.280","2.280","0.20K","3.64%"
"05/22/2023","2.200","2.200","2.200","2.200","0.38K","-3.93%"
"05/19/2023","2.290","2.290","2.290","2.290","0.05K","4.09%"
"05/18/2023","2.200","2.200","2.200","2.200","0.59K","0.00%"
"05/17/2023","2.200","2.200","2.200","2.200","0.50K","9.45%"
"05/09/2023","2.010","2.010","2.010","2.010","0.03K","-4.29%"
"05/08/2023","2.100","2.100","2.100","2.100","0.02K","-4.11%"
"05/04/2023","2.190","2.190","2.190","2.190","2.00K","-2.23%"
"04/19/2023","2.240","2.240","2.240","2.240","0.26K","-0.44%"
"04/18/2023","2.250","2.250","2.250","2.250","0.10K","0.00%"
"04/17/2023","2.250","2.250","2.250","2.250","133.74K","2.27%"
"03/17/2023","2.200","2.200","2.200","2.200","0.01K","0.00%"
"03/15/2023","2.200","2.200","2.200","2.200","0.12K","0.00%"
"02/21/2023","2.200","2.200","2.200","2.200","0.00K","0.00%"
"02/17/2023","2.200","2.200","2.200","2.200","5.90K","0.00%"
"02/16/2023","2.200","2.200","2.200","2.200","2.10K","0.00%"
"02/15/2023","2.200","2.200","2.200","2.200","2.35K","0.00%"
"02/14/2023","2.200","2.200","2.200","2.200","3.16K","0.00%"
"02/09/2023","2.200","2.200","2.200","2.200","5.20K","0.00%"
"02/03/2023","2.200","2.200","2.200","2.200","4.15K","-2.65%"
"02/02/2023","2.260","2.260","2.260","2.260","5.40K","2.73%"
"01/24/2023","2.200","2.200","2.200","2.200","23.13K","0.00%"
"01/20/2023","2.200","2.330","2.330","2.200","3.27K","-1.79%"
"01/19/2023","2.240","2.240","2.240","2.240","1.23K","-4.27%"
"01/17/2023","2.340","2.340","2.340","2.340","0.40K","0.43%"
"01/13/2023","2.330","2.350","2.350","2.330","2.80K","-0.43%"
"01/12/2023","2.340","2.340","2.340","2.340","2.00K","-1.68%"
"01/05/2023","2.380","2.380","2.380","2.380","0.03K","4.39%"
"01/03/2023","2.280","2.280","2.280","2.280","0.20K","0.00%"
"12/29/2022","2.280","2.280","2.280","2.280","0.05K","8.06%"
"12/19/2022","2.110","2.110","2.110","2.110","0.02K","-7.86%"
"11/24/2022","2.290","2.290","2.290","2.290","0.00K","-2.97%"
"11/17/2022","2.360","2.360","2.360","2.360","0.01K","0.00%"
"11/16/2022","2.360","2.360","2.360","2.360","0.00K","0.00%"
