"Date","Price","Open","High","Low","Vol.","Change %"
"09/21/2023","5.28","5.28","5.28","5.28","","0.76%"
"09/20/2023","5.24","5.24","5.24","5.24","0.02K","0.00%"
"09/19/2023","5.24","5.20","5.24","5.20","0.55K","0.77%"
"09/18/2023","5.20","5.20","5.20","5.20","0.42K","0.00%"
"09/15/2023","5.20","5.20","5.20","5.20","0.05K","3.38%"
"09/14/2023","5.03","5.03","5.03","5.03","0.16K","-1.37%"
"09/13/2023","5.10","5.17","5.17","5.10","0.08K","2.20%"
"09/12/2023","4.99","5.09","5.09","4.99","0.02K","0.00%"
"09/11/2023","4.99","4.99","4.99","4.99","0.01K","1.84%"
"09/08/2023","4.90","4.90","4.90","4.90","0.32K","0.41%"
"09/07/2023","4.88","4.88","4.88","4.88","0.04K","0.00%"
"09/01/2023","4.88","4.88","4.88","4.88","0.24K","0.00%"
"08/30/2023","4.88","4.88","4.88","4.88","0.01K","6.78%"
"08/28/2023","4.57","4.57","4.57","4.57","0.03K","-2.77%"
"08/25/2023","4.70","4.88","4.88","4.70","0.18K","0.00%"
"08/24/2023","4.70","4.70","4.70","4.70","0.28K","0.00%"
"08/23/2023","4.70","4.70","4.70","4.70","0.01K","0.00%"
"08/22/2023","4.70","4.70","4.70","4.70","0.03K","0.00%"
"08/21/2023","4.70","4.70","4.70","4.70","1.00K","0.00%"
"08/18/2023","4.70","4.70","4.70","4.70","0.22K","0.00%"
"08/16/2023","4.70","4.87","4.87","4.70","0.68K","-3.49%"
"08/15/2023","4.87","4.87","4.87","4.87","0.51K","0.00%"
"08/14/2023","4.87","4.88","4.88","4.87","0.20K","-0.41%"
"08/11/2023","4.89","4.90","4.90","4.89","2.40K","0.00%"
"08/08/2023","4.89","4.89","4.89","4.89","1.21K","0.00%"
"08/07/2023","4.89","4.89","4.89","4.89","0.30K","0.00%"
"08/03/2023","4.89","4.89","4.89","4.89","1.90K","-0.61%"
"08/02/2023","4.92","4.92","4.92","4.92","0.85K","0.00%"
"08/01/2023","4.92","4.92","4.92","4.92","0.37K","0.00%"
