"Date","Price","Open","High","Low","Vol.","Change %"
"09/21/2023","2.110","2.120","2.120","2.080","22.44K","-0.94%"
"09/20/2023","2.130","2.140","2.160","2.130","103.57K","-1.39%"
"09/19/2023","2.160","2.190","2.200","2.160","68.46K","-1.82%"
"09/18/2023","2.200","2.190","2.200","2.190","63.38K","0.00%"
"09/15/2023","2.200","2.210","2.210","2.190","40.64K","-0.45%"
"09/14/2023","2.210","2.200","2.220","2.190","33.51K","0.45%"
"09/13/2023","2.200","2.240","2.240","2.200","28.05K","-1.35%"
"09/12/2023","2.230","2.230","2.240","2.210","35.83K","0.00%"
"09/11/2023","2.230","2.220","2.240","2.210","72.95K","0.00%"
"09/08/2023","2.230","2.250","2.250","2.220","104.28K","-0.89%"
"09/07/2023","2.250","2.260","2.260","2.240","18.70K","-0.44%"
"09/06/2023","2.260","2.240","2.260","2.210","21.39K","0.44%"
"09/05/2023","2.250","2.240","2.250","2.210","80.61K","0.45%"
"09/04/2023","2.240","2.230","2.250","2.220","42.54K","0.00%"
"09/01/2023","2.240","2.270","2.270","2.210","80.76K","-1.32%"
"08/31/2023","2.270","2.270","2.290","2.260","219.89K","0.00%"
"08/30/2023","2.270","2.260","2.280","2.260","120.10K","0.44%"
"08/29/2023","2.260","2.200","2.260","2.200","115.03K","2.73%"
"08/28/2023","2.200","2.210","2.210","2.190","8.32K","-0.45%"
"08/25/2023","2.210","2.200","2.210","2.190","32.71K","0.45%"
"08/24/2023","2.200","2.200","2.210","2.160","128.90K","0.00%"
"08/23/2023","2.200","2.160","2.210","2.140","222.14K","1.38%"
"08/22/2023","2.170","2.140","2.170","2.130","46.22K","0.93%"
"08/21/2023","2.150","2.130","2.170","2.070","211.16K","1.90%"
"08/18/2023","2.110","2.150","2.150","2.110","24.99K","-0.47%"
"08/17/2023","2.120","2.120","2.150","2.110","181.77K","0.00%"
"08/16/2023","2.120","2.120","2.130","2.100","20.51K","0.00%"
"08/15/2023","2.120","2.100","2.120","2.070","276.76K","1.44%"
"08/14/2023","2.090","2.090","2.100","2.060","154.89K","1.46%"
"08/11/2023","2.060","2.090","2.100","2.060","65.45K","-1.44%"
"08/10/2023","2.090","2.050","2.090","2.050","128.09K","1.46%"
"08/09/2023","2.060","2.040","2.060","2.030","52.63K","0.00%"
"08/08/2023","2.060","2.070","2.070","2.020","52.47K","-0.48%"
"08/07/2023","2.070","2.090","2.090","2.050","13.10K","-1.43%"
"08/04/2023","2.100","2.080","2.110","2.080","171.07K","0.00%"
"08/03/2023","2.100","2.080","2.120","2.080","85.27K","-0.47%"
"08/02/2023","2.110","2.140","2.140","2.100","82.65K","-1.40%"
"08/01/2023","2.140","2.160","2.160","2.120","86.60K","-0.93%"
"07/31/2023","2.160","2.180","2.190","2.160","142.90K","-0.46%"
"07/28/2023","2.170","2.190","2.190","2.160","172.05K","-0.91%"
"07/27/2023","2.190","2.170","2.190","2.160","661.20K","1.39%"
"07/26/2023","2.160","2.130","2.170","2.130","694.96K","1.89%"
"07/24/2023","2.120","2.080","2.120","2.080","136.83K","1.92%"
"07/21/2023","2.080","2.020","2.080","2.020","226.89K","2.97%"
"07/20/2023","2.020","2.040","2.050","2.020","388.56K","0.00%"
"07/18/2023","2.020","2.040","2.050","2.020","51.69K","0.00%"
"07/17/2023","2.020","2.030","2.040","2.020","44.64K","-0.98%"
"07/14/2023","2.040","2.050","2.050","2.030","37.96K","-0.49%"
"07/13/2023","2.050","2.030","2.050","2.020","111.07K","0.99%"
"07/12/2023","2.030","2.010","2.030","2.010","101.53K","1.00%"
"07/11/2023","2.010","2.040","2.050","2.010","78.46K","-1.47%"
"07/10/2023","2.040","2.040","2.060","2.020","26.81K","0.49%"
"07/07/2023","2.030","2.000","2.050","1.990","344.64K","1.50%"
"07/06/2023","2.000","2.040","2.040","1.990","84.30K","-0.50%"
"07/05/2023","2.010","2.040","2.040","2.000","225.75K","-1.47%"
"07/04/2023","2.040","2.080","2.090","2.040","98.01K","-1.45%"
"07/03/2023","2.070","2.100","2.100","2.050","83.93K","0.98%"
"06/30/2023","2.050","2.020","2.070","2.000","1.38M","1.49%"
"06/27/2023","2.020","2.000","2.030","2.000","539.77K","0.50%"
"06/26/2023","2.010","1.960","2.030","1.960","626.37K","2.55%"
"06/23/2023","1.960","1.930","2.010","1.930","907.34K","1.55%"
"06/22/2023","1.930","1.900","1.950","1.900","233.19K","0.52%"
"06/21/2023","1.920","1.900","1.920","1.870","170.90K","1.05%"
"06/20/2023","1.900","1.890","1.910","1.860","124.55K","1.06%"
"06/19/2023","1.880","1.900","1.910","1.840","122.85K","-1.05%"
"06/16/2023","1.900","1.860","1.910","1.860","465.35K","2.15%"
"06/15/2023","1.860","1.800","1.860","1.790","1.89M","3.33%"
"06/14/2023","1.800","1.780","1.810","1.780","118.17K","1.12%"
"06/13/2023","1.780","1.730","1.790","1.720","283.95K","2.89%"
"06/12/2023","1.730","1.730","1.730","1.720","41.46K","0.00%"
"06/09/2023","1.730","1.720","1.750","1.720","39.86K","0.58%"
"06/08/2023","1.720","1.750","1.750","1.720","98.26K","-1.15%"
"06/07/2023","1.740","1.750","1.750","1.720","85.27K","0.00%"
"06/06/2023","1.740","1.720","1.770","1.720","98.58K","1.16%"
"06/05/2023","1.720","1.750","1.750","1.710","15.53K","0.00%"
"06/02/2023","1.720","1.730","1.730","1.710","94.63K","-1.71%"
"06/01/2023","1.750","1.720","1.750","1.710","26.81K","1.74%"
"05/31/2023","1.720","1.720","1.730","1.710","17.63K","0.00%"
"05/30/2023","1.720","1.720","1.720","1.710","14.50K","0.00%"
"05/29/2023","1.720","1.730","1.740","1.710","103.85K","0.00%"
"05/26/2023","1.720","1.740","1.750","1.720","93.49K","-2.27%"
