"Date","Price","Open","High","Low","Vol.","Change %"
"09/07/2023","2.18","2.18","2.18","2.18","7.10K","-0.46%"
"08/31/2023","2.19","2.19","2.19","2.19","0.70K","0.46%"
"08/25/2023","2.18","2.18","2.18","2.18","0.02K","0.00%"
"08/17/2023","2.18","2.18","2.18","2.18","2.03K","0.00%"
"08/02/2023","2.18","2.18","2.18","2.18","0.30K","0.00%"
"07/31/2023","2.18","2.18","2.18","2.18","0.03K","4.31%"
"07/28/2023","2.09","2.09","2.09","2.09","0.14K","-4.13%"
"07/26/2023","2.18","2.18","2.18","2.18","7.22K","-3.11%"
"07/24/2023","2.25","2.25","2.25","2.25","2.00K","-1.75%"
"07/14/2023","2.29","2.29","2.29","2.29","0.01K","-0.43%"
"07/13/2023","2.30","2.30","2.30","2.30","0.01K","-1.71%"
"07/11/2023","2.34","2.34","2.34","2.34","0.02K","-0.85%"
"07/10/2023","2.36","2.36","2.36","2.36","0.96K","-0.42%"
"07/03/2023","2.37","2.37","2.37","2.37","1.90K","-0.42%"
"06/27/2023","2.38","2.38","2.38","2.38","2.17K","-0.42%"
"06/26/2023","2.39","2.39","2.39","2.39","0.00K","4.37%"
"06/23/2023","2.29","2.29","2.29","2.29","0.48K","-1.29%"
"06/22/2023","2.32","2.32","2.32","2.32","0.02K","-2.93%"
"06/15/2023","2.39","2.39","2.39","2.39","0.00K","1.27%"
"06/13/2023","2.36","2.36","2.36","2.36","0.64K","-1.26%"
"06/12/2023","2.39","2.39","2.39","2.39","4.00K","-0.42%"
"06/09/2023","2.40","2.40","2.40","2.40","0.50K","-4.00%"
"06/08/2023","2.50","2.50","2.50","2.50","0.50K","-4.21%"
"06/07/2023","2.61","2.61","2.61","2.61","0.12K","-5.43%"
"06/02/2023","2.76","2.76","2.76","2.76","2.00K","4.15%"
"06/01/2023","2.65","2.65","2.65","2.65","1.01K","4.33%"
"05/31/2023","2.54","2.44","2.54","2.44","1.42K","4.10%"
"05/30/2023","2.44","2.44","2.44","2.44","0.10K","3.39%"
"05/29/2023","2.36","2.30","2.36","2.30","1.53K","4.42%"
"05/26/2023","2.26","2.26","2.26","2.26","2.35K","4.15%"
"05/25/2023","2.17","2.17","2.17","2.17","4.32K","-16.22%"
"05/23/2023","2.59","2.59","2.59","2.59","0.00K","4.44%"
"05/22/2023","2.48","2.48","2.48","2.48","0.00K","4.20%"
"05/19/2023","2.38","2.38","2.38","2.38","0.50K","-8.46%"
"05/16/2023","2.60","2.49","2.60","2.49","0.82K","0.00%"
"05/12/2023","2.60","2.60","2.60","2.60","0.02K","0.00%"
"05/11/2023","2.60","2.60","2.60","2.60","0.05K","-5.45%"
"05/03/2023","2.75","2.70","2.75","2.70","1.53K","3.77%"
"04/24/2023","2.65","2.65","2.65","2.65","0.00K","4.33%"
"04/20/2023","2.54","2.54","2.54","2.54","0.00K","4.10%"
"04/19/2023","2.44","2.44","2.44","2.44","0.00K","4.27%"
"04/18/2023","2.34","2.35","2.35","2.34","4.83K","-29.73%"
"04/04/2023","3.33","3.33","3.33","3.33","0.10K","-0.60%"
"04/03/2023","3.35","3.35","3.35","3.35","0.00K","1.82%"
"03/31/2023","3.29","3.29","3.29","3.29","0.50K","-1.50%"
"03/29/2023","3.34","3.21","3.34","3.21","1.50K","4.05%"
"03/27/2023","3.21","3.21","3.21","3.21","0.04K","22.99%"
"03/17/2023","2.61","2.61","2.61","2.61","3.31K","-19.69%"
"03/09/2023","3.25","3.25","3.25","3.25","6.75K","-4.13%"
"03/07/2023","3.39","3.39","3.39","3.39","0.00K","2.73%"
"03/01/2023","3.30","3.30","3.30","3.30","2.50K","0.00%"
"02/28/2023","3.30","3.30","3.30","3.30","0.00K","1.54%"
"02/21/2023","3.25","3.25","3.25","3.25","0.50K","0.00%"
"02/17/2023","3.25","3.25","3.25","3.25","137.70K","3.50%"
"01/23/2023","3.14","3.14","3.14","3.14","0.51K","-1.87%"
"01/20/2023","3.20","3.20","3.20","3.20","2.57K","-4.48%"
"01/19/2023","3.35","3.35","3.35","3.35","0.00K","-1.47%"
"12/30/2022","3.40","3.40","3.40","3.40","0.01K","1.19%"
"12/28/2022","3.36","3.36","3.36","3.36","0.00K","2.13%"
"12/23/2022","3.29","3.29","3.29","3.29","0.00K","4.44%"
"12/22/2022","3.15","3.15","3.15","3.15","2.35K","-3.08%"
"12/21/2022","3.25","3.25","3.25","3.25","3.00K","-3.27%"
"12/13/2022","3.36","3.36","3.36","3.36","0.21K","-4.27%"
"12/02/2022","3.51","3.51","3.51","3.51","0.26K","1.15%"
"11/29/2022","3.47","3.47","3.47","3.47","0.00K","8.44%"
"11/25/2022","3.20","3.20","3.20","3.20","16.52K","0.00%"
"11/24/2022","3.20","3.20","3.20","3.20","2.50K","0.00%"
"11/22/2022","3.20","3.20","3.20","3.20","6.51K","0.00%"
"11/21/2022","3.20","3.20","3.20","3.20","1.00K","-2.74%"
"11/18/2022","3.29","3.29","3.29","3.29","0.00K","4.44%"
"11/17/2022","3.15","3.15","3.15","3.15","20.69K","0.00%"
"11/15/2022","3.15","3.15","3.15","3.15","4.92K","0.00%"
"11/11/2022","3.15","3.15","3.15","3.15","10.35K","0.00%"
"11/10/2022","3.15","3.15","3.15","3.15","9.66K","-4.26%"
"11/09/2022","3.29","3.29","3.29","3.29","0.50K","4.44%"
"11/08/2022","3.15","3.15","3.15","3.15","1.76K","-1.87%"
"11/04/2022","3.21","3.21","3.21","3.21","0.04K","-4.18%"
"11/03/2022","3.35","3.35","3.35","3.35","0.01K","-6.69%"
"10/31/2022","3.59","3.59","3.59","3.59","0.16K","4.36%"
"10/28/2022","3.44","3.44","3.44","3.44","0.01K","-0.86%"
"10/27/2022","3.47","3.47","3.47","3.47","1.67K","-0.86%"
"10/26/2022","3.50","3.50","3.50","3.50","0.51K","-3.58%"
"10/25/2022","3.63","3.63","3.63","3.63","0.25K","-0.82%"
"10/20/2022","3.66","3.66","3.66","3.66","0.00K","1.39%"
"10/18/2022","3.61","3.61","3.61","3.61","0.02K","-4.24%"
