"Date","Price","Open","High","Low","Vol.","Change %"
"09/06/2023","20.01","20.01","20.01","20.01","0.01K","0.05%"
"09/05/2023","20.00","20.00","20.00","20.00","0.36K","0.00%"
"09/04/2023","20.00","20.00","20.00","20.00","0.60K","0.55%"
"09/01/2023","19.89","19.89","19.89","19.89","0.06K","0.10%"
"08/28/2023","19.87","19.87","19.87","19.87","0.01K","2.11%"
"08/24/2023","19.46","17.81","19.46","17.81","0.14K","-0.21%"
"08/22/2023","19.50","19.50","19.50","19.50","1.34K","-1.86%"
"08/15/2023","19.87","19.87","19.87","19.87","0.01K","-0.05%"
"08/10/2023","19.88","19.88","19.88","19.88","0.30K","0.00%"
"08/02/2023","19.88","19.88","19.88","19.88","0.00K","0.00%"
"08/01/2023","19.88","19.88","19.88","19.88","0.10K","1.95%"
"07/31/2023","19.50","19.50","19.50","19.50","0.00K","0.00%"
"07/24/2023","19.50","19.50","19.50","19.50","0.01K","0.00%"
"07/17/2023","19.50","19.50","19.50","19.50","0.15K","0.00%"
"07/14/2023","19.50","19.50","19.50","19.50","0.33K","-1.96%"
"07/13/2023","19.89","19.89","19.89","19.89","0.01K","4.14%"
"07/12/2023","19.10","19.10","19.10","19.10","0.11K","0.47%"
"07/06/2023","19.01","19.01","19.01","19.01","0.50K","-4.47%"
"07/03/2023","19.90","19.90","19.90","19.90","0.00K","-0.45%"
"06/23/2023","19.99","19.99","19.99","19.99","0.20K","0.00%"
"06/22/2023","19.99","19.99","19.99","19.99","0.00K","2.51%"
"06/20/2023","19.50","19.50","19.50","19.50","0.15K","-2.01%"
"06/09/2023","19.90","19.90","19.90","19.90","0.01K","4.74%"
"06/06/2023","19.00","19.00","19.00","19.00","0.13K","-0.05%"
"06/01/2023","19.01","19.01","19.01","19.01","0.20K","0.05%"
"05/31/2023","19.00","19.00","19.00","19.00","0.67K","0.00%"
"05/30/2023","19.00","19.00","19.00","19.00","0.52K","0.00%"
"05/29/2023","19.00","19.00","19.00","19.00","4.34K","0.00%"
"05/19/2023","19.00","19.00","19.00","19.00","0.33K","0.00%"
"05/17/2023","19.00","19.00","19.00","19.00","0.20K","0.00%"
"05/16/2023","19.00","19.00","19.00","19.00","0.12K","0.38%"
"05/11/2023","18.93","18.93","18.93","18.93","0.00K","0.00%"
"05/10/2023","18.93","18.93","18.93","18.93","1.81K","1.92%"
"05/09/2023","18.57","18.57","18.57","18.57","0.95K","-1.14%"
"05/08/2023","18.79","18.79","18.79","18.79","0.01K","4.37%"
"05/05/2023","18.00","18.00","18.00","18.00","0.32K","-4.36%"
"05/04/2023","18.82","18.82","18.82","18.82","0.77K","-0.57%"
"05/02/2023","18.93","18.93","18.93","18.93","0.31K","0.00%"
"04/28/2023","18.93","18.56","18.93","18.56","0.18K","0.00%"
"04/26/2023","18.93","18.93","18.93","18.93","0.98K","2.67%"
"04/25/2023","18.44","18.44","18.44","18.44","0.04K","-2.23%"
"04/24/2023","18.86","18.86","18.86","18.86","0.63K","-1.86%"
"04/20/2023","19.21","19.21","19.21","19.21","0.14K","0.00%"
"04/19/2023","19.21","19.21","19.21","19.21","0.37K","-0.26%"
"04/18/2023","19.26","19.26","19.26","19.26","0.24K","0.26%"
"04/17/2023","19.21","19.21","19.21","19.21","0.21K","-0.19%"
"04/12/2023","19.25","19.25","19.25","19.25","0.21K","0.19%"
"04/07/2023","19.21","19.21","19.21","19.21","0.29K","-0.30%"
"04/06/2023","19.27","19.27","19.27","19.27","0.03K","-0.07%"
"04/05/2023","19.29","19.29","19.29","19.29","0.17K","-4.29%"
"04/04/2023","20.15","20.15","20.15","20.15","0.00K","4.48%"
"04/03/2023","19.29","19.29","19.29","19.29","1.66K","0.00%"
"03/31/2023","19.29","19.29","19.29","19.29","2.01K","5.88%"
"03/29/2023","18.21","18.21","18.21","18.21","0.02K","0.00%"
"03/27/2023","18.21","18.21","18.21","18.21","0.11K","-0.43%"
"03/24/2023","18.29","17.86","18.29","17.86","2.35K","19.17%"
"03/16/2023","15.35","15.35","15.35","15.35","0.36K","2.82%"
"03/15/2023","14.93","14.93","14.93","14.93","0.25K","4.29%"
"03/10/2023","14.31","14.31","14.31","14.31","0.03K","0.10%"
"03/01/2023","14.30","14.30","14.30","14.30","6.44K","0.05%"
"02/28/2023","14.29","14.29","14.29","14.29","4.20K","-0.05%"
"02/27/2023","14.30","14.30","14.30","14.30","3.83K","0.00%"
"02/24/2023","14.30","14.29","14.30","14.29","4.43K","-2.34%"
"02/23/2023","14.64","14.31","14.64","14.31","0.23K","2.40%"
"02/22/2023","14.30","14.30","14.30","14.30","3.65K","-0.05%"
"02/21/2023","14.31","14.31","14.31","14.31","4.20K","0.05%"
"02/20/2023","14.30","14.30","14.30","14.30","4.56K","0.05%"
"02/17/2023","14.29","14.29","14.29","14.29","3.82K","0.05%"
"02/16/2023","14.29","14.29","14.29","14.29","3.30K","0.00%"
"02/15/2023","14.29","14.29","14.29","14.29","281.24K","-3.94%"
"02/14/2023","14.87","14.29","14.87","14.29","0.76K","4.00%"
"02/13/2023","14.30","14.30","14.30","14.30","8.88K","0.05%"
"02/10/2023","14.29","14.29","14.29","14.29","0.68K","0.05%"
"02/09/2023","14.29","14.29","14.29","14.29","2.22K","0.00%"
"02/08/2023","14.29","14.29","14.29","14.29","0.68K","0.00%"
"02/02/2023","14.29","14.29","14.29","14.29","8.40K","0.00%"
"01/26/2023","14.29","14.29","14.29","14.29","2.69K","0.00%"
"01/25/2023","14.29","14.29","14.29","14.29","46.71K","0.00%"
"01/23/2023","14.29","14.29","14.29","14.29","0.14K","-0.05%"
"01/20/2023","14.29","14.29","14.29","14.29","0.42K","-2.39%"
"01/19/2023","14.64","14.64","14.64","14.64","0.04K","2.50%"
"01/18/2023","14.29","14.29","14.29","14.29","0.70K","0.00%"
"01/17/2023","14.29","14.29","14.29","14.29","0.45K","0.00%"
"01/16/2023","14.29","14.29","14.29","14.29","2.20K","0.00%"
"01/13/2023","14.29","14.29","14.29","14.29","5.28K","0.00%"
"01/12/2023","14.29","14.29","14.29","14.29","0.00K","0.00%"
"01/11/2023","14.29","14.29","14.29","14.29","9.42K","0.00%"
"01/10/2023","14.29","14.29","14.29","14.29","1.21K","0.00%"
"01/05/2023","14.29","14.29","14.29","14.29","0.08K","0.05%"
"01/04/2023","14.28","14.28","14.28","14.28","0.00K","5.21%"
"01/02/2023","13.57","13.57","13.57","13.57","0.10K","-2.56%"
"12/30/2022","13.93","13.93","13.93","13.93","0.98K","2.63%"
"12/29/2022","13.57","13.57","13.57","13.57","0.06K","0.00%"
"12/28/2022","13.57","13.57","13.57","13.57","0.35K","-2.56%"
"12/22/2022","13.93","13.50","13.93","13.50","0.28K","3.17%"
"12/21/2022","13.50","13.50","13.50","13.50","0.00K","-2.58%"
"12/20/2022","13.86","13.86","13.86","13.86","0.22K","1.57%"
"12/19/2022","13.64","13.64","13.64","13.64","0.04K","0.53%"
"12/15/2022","13.57","13.57","13.57","13.57","0.36K","-2.56%"
"12/13/2022","13.93","13.93","13.93","13.93","0.04K","0.00%"
"12/12/2022","13.93","13.31","13.93","13.31","0.18K","0.00%"
"12/08/2022","13.93","13.93","13.93","13.93","0.00K","2.63%"
"12/07/2022","13.57","13.57","13.57","13.57","0.07K","-2.56%"
"12/05/2022","13.93","13.93","13.93","13.93","0.35K","0.00%"
"12/01/2022","13.93","13.64","13.93","13.64","0.38K","2.09%"
"11/29/2022","13.64","13.64","13.64","13.64","0.57K","-3.54%"
"11/28/2022","14.14","14.07","14.14","14.07","0.46K","0.00%"
"11/25/2022","14.14","14.14","14.14","14.14","0.01K","0.00%"
"11/24/2022","14.14","14.14","14.14","14.14","1.90K","0.00%"
"11/18/2022","14.14","14.14","14.14","14.14","0.36K","0.00%"
"11/17/2022","14.14","14.14","14.14","14.14","0.00K","0.00%"
"11/16/2022","14.14","14.14","14.14","14.14","0.21K","0.00%"
"11/03/2022","14.14","14.14","14.14","14.14","6.36K","0.00%"
"10/19/2022","14.14","13.51","14.14","13.51","0.84K","0.00%"
"10/14/2022","14.14","14.14","14.14","14.14","0.51K","0.00%"
"10/13/2022","14.14","14.14","14.14","14.14","0.32K","-1.00%"
"09/28/2022","14.29","14.29","14.29","14.29","0.01K","1.78%"
"09/27/2022","14.04","14.04","14.04","14.04","0.28K","0.00%"
"09/26/2022","14.04","13.93","14.04","13.93","0.18K","9.11%"
"09/01/2022","12.86","12.86","12.86","12.86","0.98K","0.06%"
"08/22/2022","12.86","12.86","12.86","12.86","0.42K","-7.69%"
"08/09/2022","13.93","13.93","13.93","13.93","0.00K","3.67%"
"07/29/2022","13.44","13.44","13.44","13.44","1.40K","0.00%"
"07/28/2022","13.44","13.44","13.44","13.44","0.01K","4.50%"
"07/21/2022","12.86","12.86","12.86","12.86","0.43K","0.00%"
"07/19/2022","12.86","12.86","12.86","12.86","0.00K","0.00%"
"07/18/2022","12.86","12.86","12.86","12.86","0.28K","-1.10%"
"07/06/2022","13.00","13.00","13.00","13.00","0.15K","0.00%"
"06/27/2022","13.00","13.00","13.00","13.00","0.00K","0.00%"
"06/24/2022","13.00","13.00","13.00","13.00","0.53K","0.00%"
"06/21/2022","13.00","13.00","13.00","13.00","0.28K","0.00%"
"06/20/2022","13.00","13.00","13.00","13.00","0.28K","0.00%"
"06/07/2022","13.00","13.00","13.00","13.00","0.28K","0.28%"
"05/30/2022","12.96","12.96","12.96","12.96","19.73K","-0.27%"
"05/19/2022","13.00","13.00","13.00","13.00","0.00K","0.00%"
"05/18/2022","13.00","13.00","13.00","13.00","0.00K","1.68%"
"05/13/2022","12.79","12.79","12.79","12.79","0.01K","-1.65%"
"05/12/2022","13.00","13.00","13.00","13.00","0.00K","1.68%"
"05/11/2022","12.79","12.79","12.79","12.79","0.00K","-2.19%"
"05/06/2022","13.07","13.07","13.07","13.07","0.00K","1.16%"
"05/05/2022","12.92","12.92","12.92","12.92","0.35K","0.50%"
"04/29/2022","12.86","12.36","12.86","12.36","0.01K","4.05%"
"04/28/2022","12.36","12.71","12.71","12.36","0.74K","-3.30%"
"04/27/2022","12.78","12.78","12.78","12.78","3.36K","-0.61%"
"04/22/2022","12.86","12.36","12.86","12.36","0.10K","0.00%"
"04/21/2022","12.86","12.86","12.86","12.86","0.11K","-9.55%"
"04/20/2022","14.21","14.21","14.21","14.21","1.92K","0.00%"
"04/19/2022","14.21","14.29","14.29","14.21","1.49K","-0.50%"
"04/18/2022","14.29","14.29","14.29","14.29","0.46K","1.52%"
"04/15/2022","14.07","14.07","14.07","14.07","0.48K","0.00%"
"04/14/2022","14.07","14.07","14.07","14.07","1.49K","0.00%"
"04/13/2022","14.07","13.94","14.07","13.94","0.21K","0.00%"
"04/12/2022","14.07","14.07","14.07","14.07","0.00K","0.00%"
"04/11/2022","14.07","13.31","14.07","13.31","0.02K","1.03%"
"04/08/2022","13.93","13.93","13.93","13.93","1.23K","0.00%"
"04/05/2022","13.93","13.93","13.93","13.93","0.35K","0.00%"
"04/01/2022","13.93","13.93","13.93","13.93","0.14K","-1.02%"
"03/29/2022","14.07","14.07","14.07","14.07","0.36K","3.03%"
"03/28/2022","13.66","13.66","13.66","13.66","0.13K","-4.40%"
"03/23/2022","14.29","14.29","14.29","14.29","2.89K","-0.10%"
"03/22/2022","14.30","14.30","14.30","14.30","1.09K","0.10%"
"03/21/2022","14.29","14.64","14.64","14.29","2.27K","-3.47%"
"03/18/2022","14.80","14.88","14.88","14.80","0.94K","6.26%"
"03/17/2022","13.93","13.93","13.93","13.93","2.80K","2.15%"
"03/16/2022","13.64","13.50","13.64","13.50","3.62K","4.49%"
"03/15/2022","13.05","12.61","13.05","12.61","0.94K","4.46%"
"03/09/2022","12.49","12.49","12.49","12.49","0.58K","0.00%"
"03/08/2022","12.49","12.49","12.49","12.49","2.33K","0.00%"
"03/07/2022","12.49","12.49","12.49","12.49","1.07K","0.00%"
"03/04/2022","12.49","12.49","12.49","12.49","1.07K","-0.06%"
"02/16/2022","12.50","12.50","12.50","12.50","4.94K","0.86%"
"02/15/2022","12.39","12.39","12.39","12.39","2.90K","-0.74%"
"02/14/2022","12.49","12.49","12.49","12.49","0.98K","0.75%"
"02/11/2022","12.39","12.39","12.39","12.39","0.48K","0.81%"
"02/10/2022","12.29","12.29","12.29","12.29","17.81K","0.00%"
"02/09/2022","12.29","12.29","12.29","12.29","15.91K","0.06%"
"02/07/2022","12.29","12.29","12.29","12.29","10.17K","2.69%"
"02/04/2022","11.96","11.96","11.96","11.96","0.49K","-4.29%"
"01/28/2022","12.50","12.50","12.50","12.50","0.00K","3.55%"
"01/26/2022","12.07","12.07","12.07","12.07","0.14K","-2.87%"
"01/25/2022","12.43","12.43","12.43","12.43","0.14K","2.65%"
"01/20/2022","12.11","12.11","12.11","12.11","0.14K","-3.14%"
"01/13/2022","12.50","12.50","12.50","12.50","0.00K","3.55%"
