"Date","Price","Open","High","Low","Vol.","Change %"
"09/20/2023","12.45","12.49","12.49","12.30","0.07K","0.81%"
"09/19/2023","12.35","12.67","12.68","12.35","0.04K","-2.60%"
"09/18/2023","12.68","12.69","12.69","12.68","0.00K","0.63%"
"09/15/2023","12.60","12.69","12.69","12.35","0.24K","-0.71%"
"09/14/2023","12.69","12.70","12.70","12.45","0.29K","1.93%"
"09/13/2023","12.45","12.70","12.70","12.45","0.09K","-1.58%"
"09/12/2023","12.65","12.30","12.65","12.30","3.85K","2.85%"
"09/11/2023","12.30","12.14","12.35","12.00","0.24K","1.32%"
"09/08/2023","12.14","12.14","12.14","11.70","0.55K","0.00%"
"09/07/2023","12.14","12.25","12.25","11.60","0.61K","-0.90%"
"09/06/2023","12.25","12.26","12.26","12.10","0.73K","0.82%"
"09/05/2023","12.15","12.15","12.26","12.10","1.94K","-1.14%"
"09/04/2023","12.29","12.45","12.45","12.12","1.92K","-1.68%"
"09/01/2023","12.50","12.49","12.50","12.44","0.74K","0.08%"
"08/31/2023","12.49","12.49","12.49","12.49","0.01K","-0.08%"
"08/30/2023","12.50","12.50","12.50","12.50","0.10K","-0.79%"
"08/29/2023","12.60","12.58","12.60","12.58","0.45K","0.00%"
"08/28/2023","12.60","12.35","12.64","12.35","0.13K","2.02%"
"08/25/2023","12.35","12.35","12.35","12.35","0.13K","0.00%"
"08/24/2023","12.35","12.32","12.39","12.32","2.89K","0.16%"
"08/23/2023","12.33","12.28","12.33","12.20","0.76K","0.41%"
"08/22/2023","12.28","11.95","12.28","11.95","3.00K","2.76%"
"08/21/2023","11.95","11.95","11.95","11.95","0.03K","0.00%"
"08/18/2023","11.95","11.93","11.95","11.93","0.01K","2.14%"
"08/17/2023","11.70","11.67","11.70","11.65","3.67K","0.00%"
"08/16/2023","11.70","11.70","11.70","11.70","0.10K","0.00%"
"08/15/2023","11.70","11.70","11.70","11.50","26.57K","-2.50%"
"08/14/2023","12.00","11.60","12.20","11.60","1.93K","3.45%"
"08/11/2023","11.60","12.00","12.00","11.60","730.78K","-1.69%"
"08/10/2023","11.80","12.00","12.00","11.80","5.03K","0.00%"
"08/09/2023","11.80","11.90","11.90","11.80","85.00K","-2.88%"
"08/08/2023","12.15","12.10","12.15","12.00","1.00K","-0.33%"
"08/07/2023","12.19","12.19","12.19","12.19","0.17K","1.58%"
"08/04/2023","12.00","12.00","12.00","12.00","0.76K","-1.64%"
"08/03/2023","12.20","12.20","12.20","12.20","0.00K","1.67%"
"08/02/2023","12.00","12.20","12.20","11.90","5.50K","0.00%"
"08/01/2023","12.00","12.35","12.35","11.90","5.95K","-1.64%"
"07/31/2023","12.20","12.35","12.35","11.99","14.23K","1.67%"
"07/28/2023","12.00","12.20","12.20","12.00","39.03K","0.00%"
"07/27/2023","12.00","12.39","12.39","12.00","22.53K","0.00%"
"07/26/2023","12.00","12.39","12.39","12.00","1.71K","0.00%"
"07/24/2023","12.00","12.40","12.40","12.00","5.35K","-3.61%"
"07/21/2023","12.45","12.64","12.64","12.45","1.77K","-1.58%"
"07/20/2023","12.65","12.80","12.80","12.65","0.03K","-0.39%"
"07/18/2023","12.70","12.90","12.90","12.50","0.69K","-1.55%"
"07/17/2023","12.90","13.00","13.00","12.80","0.70K","-6.52%"
"07/14/2023","13.80","13.70","13.80","13.60","3.25K","-0.50%"
"07/13/2023","13.87","13.85","13.89","13.80","0.07K","-0.22%"
"07/12/2023","13.90","13.90","13.90","13.90","0.02K","-0.57%"
"07/11/2023","13.98","13.85","13.99","13.85","0.91K","-0.07%"
"07/10/2023","13.99","13.84","14.00","13.84","2.22K","1.01%"
"07/07/2023","13.85","13.78","13.86","13.11","0.14K","-0.22%"
"07/06/2023","13.88","13.81","13.88","13.80","0.21K","0.00%"
"07/05/2023","13.88","13.88","13.88","13.88","0.02K","0.00%"
"07/04/2023","13.88","13.85","13.88","13.81","0.06K","-0.14%"
"07/03/2023","13.90","13.95","13.95","13.85","0.29K","0.00%"
"06/30/2023","13.90","13.90","14.00","13.90","1.84K","0.00%"
"06/27/2023","13.90","14.00","14.00","13.81","1.00K","-0.71%"
"06/26/2023","14.00","13.81","14.00","13.81","1.00K","0.00%"
"06/23/2023","14.00","13.99","14.09","13.99","1.92K","2.94%"
"06/22/2023","13.60","13.50","14.00","13.50","9.36K","0.07%"
"06/21/2023","13.59","13.40","13.59","13.40","3.70K","1.42%"
"06/20/2023","13.40","13.30","13.40","13.20","4.99K","0.75%"
"06/19/2023","13.30","13.50","13.50","13.30","0.94K","-0.37%"
"06/16/2023","13.35","13.88","13.88","13.35","1.97K","-3.82%"
"06/15/2023","13.88","13.88","13.88","13.63","0.99K","0.14%"
"06/14/2023","13.86","13.89","13.89","13.63","0.02K","0.43%"
"06/13/2023","13.80","13.63","13.89","13.61","0.35K","-0.72%"
"06/12/2023","13.90","13.10","13.99","13.10","4.99K","2.21%"
"06/09/2023","13.60","13.64","13.65","13.07","0.87K","0.00%"
"06/08/2023","13.60","13.51","13.60","13.40","1.75K","0.59%"
"06/07/2023","13.52","13.65","13.65","13.51","1.52K","-0.59%"
"06/06/2023","13.60","13.65","13.68","13.60","0.44K","-0.58%"
"06/05/2023","13.68","13.67","13.68","13.60","0.63K","0.15%"
"06/02/2023","13.66","13.60","13.66","13.60","1.27K","-0.15%"
"06/01/2023","13.68","13.69","13.69","13.55","1.50K","0.88%"
"05/31/2023","13.56","13.80","13.80","13.52","1.24K","0.00%"
"05/30/2023","13.56","13.80","13.80","13.56","2.45K","-2.09%"
"05/29/2023","13.85","13.90","13.90","13.60","0.06K","0.44%"
"05/26/2023","13.79","13.89","13.89","13.52","1.41K","1.40%"
"05/25/2023","13.60","13.91","13.93","13.60","3.54K","-2.16%"
"05/24/2023","13.90","13.97","13.97","13.61","0.37K","0.00%"
"05/23/2023","13.90","13.50","13.98","13.50","0.40K","2.96%"
"05/22/2023","13.50","13.30","13.50","13.30","24.00K","1.89%"
"05/19/2023","13.25","13.25","13.28","13.10","21.11K","0.38%"
"05/18/2023","13.20","13.13","13.25","13.00","33.37K","0.84%"
"05/17/2023","13.09","13.10","13.13","13.01","33.83K","0.00%"
"05/16/2023","13.09","12.90","13.10","12.90","9.74K","1.47%"
"05/15/2023","12.90","12.80","12.90","12.75","5.62K","1.18%"
"05/12/2023","12.75","12.60","12.79","12.60","6.81K","1.27%"
"05/11/2023","12.59","12.40","12.75","12.40","15.69K","1.53%"
"05/10/2023","12.40","12.40","12.40","12.35","3.86K","0.40%"
"05/09/2023","12.35","12.28","12.40","12.25","12.12K","1.15%"
"05/08/2023","12.21","12.20","12.21","12.20","0.50K","0.08%"
"05/05/2023","12.20","12.15","12.20","12.00","1.09K","-0.25%"
"05/04/2023","12.23","12.14","12.23","12.14","2.28K","0.66%"
"05/03/2023","12.15","12.00","12.15","12.00","0.34K","-0.57%"
"05/02/2023","12.22","12.22","12.22","12.00","0.01K","0.08%"
"04/28/2023","12.21","11.81","12.28","11.81","0.28K","3.47%"
"04/27/2023","11.80","11.99","11.99","11.80","0.17K","-1.58%"
"04/26/2023","11.99","12.00","12.29","11.99","11.24K","2.92%"
"04/25/2023","11.65","11.65","11.65","11.42","0.14K","0.00%"
"04/24/2023","11.65","11.65","11.65","11.64","1.00K","0.00%"
"04/20/2023","11.65","11.65","11.65","11.65","0.80K","0.09%"
"04/19/2023","11.64","11.64","11.64","11.64","0.16K","-0.09%"
"04/18/2023","11.65","11.65","11.65","11.65","0.15K","-1.27%"
"04/17/2023","11.80","11.79","11.80","11.79","1.00K","0.00%"
"04/14/2023","11.80","11.69","11.80","11.69","0.05K","0.17%"
"04/13/2023","11.78","11.33","11.78","11.33","0.10K","-0.17%"
"04/12/2023","11.80","11.80","11.80","11.80","0.00K","3.96%"
"04/11/2023","11.35","11.35","11.35","11.35","0.60K","-4.62%"
