"Date","Price","Open","High","Low","Vol.","Change %"
"09/08/2023","0.14","0.14","0.14","0.14","0.00K","7.69%"
"07/27/2023","0.13","0.13","0.13","0.13","0.01K","8.33%"
"07/21/2023","0.12","0.12","0.12","0.12","1.18K","9.09%"
"07/18/2023","0.11","0.11","0.11","0.11","2.69K","-8.33%"
"07/17/2023","0.12","0.12","0.12","0.12","0.02K","0.00%"
"07/14/2023","0.12","0.12","0.12","0.12","0.07K","0.00%"
"07/13/2023","0.12","0.12","0.12","0.12","0.26K","0.00%"
"07/11/2023","0.12","0.12","0.12","0.12","0.53K","0.00%"
"07/10/2023","0.12","0.12","0.12","0.12","0.56K","-7.69%"
"06/26/2023","0.13","0.13","0.13","0.13","0.30K","0.00%"
"06/23/2023","0.13","0.13","0.13","0.13","1.09K","-7.14%"
"06/22/2023","0.14","0.14","0.14","0.14","1.11K","-6.67%"
"06/21/2023","0.15","0.15","0.15","0.15","0.01K","0.00%"
"05/26/2023","0.15","0.15","0.15","0.15","0.50K","0.00%"
"05/24/2023","0.15","0.15","0.15","0.15","0.00K","7.14%"
"05/09/2023","0.14","0.14","0.14","0.14","0.36K","-6.67%"
"05/08/2023","0.15","0.15","0.15","0.15","0.30K","-6.25%"
"02/16/2023","0.16","0.16","0.16","0.16","0.01K","6.67%"
"02/03/2023","0.15","0.15","0.15","0.15","1.48K","0.00%"
"02/02/2023","0.15","0.15","0.15","0.15","1.11K","0.00%"
"01/26/2023","0.15","0.15","0.15","0.15","0.01K","0.00%"
"01/24/2023","0.15","0.15","0.15","0.15","0.15K","0.00%"
"01/23/2023","0.15","0.15","0.15","0.15","0.07K","25.00%"
"01/18/2023","0.12","0.12","0.12","0.12","0.50K","9.09%"
"01/17/2023","0.11","0.11","0.11","0.11","10.00K","-8.33%"
"01/05/2023","0.12","0.12","0.12","0.12","1.36K","0.00%"
"12/29/2022","0.12","0.12","0.12","0.12","10.25K","-7.69%"
"12/26/2022","0.13","0.13","0.13","0.13","2.00K","0.00%"
"12/23/2022","0.13","0.13","0.13","0.13","1.00K","0.00%"
"12/21/2022","0.13","0.13","0.13","0.13","5.00K","-13.33%"
"12/07/2022","0.15","0.15","0.15","0.15","3.00K","-11.76%"
"11/21/2022","0.17","0.17","0.17","0.17","0.14K","0.00%"
"11/16/2022","0.17","0.17","0.17","0.17","0.08K","0.00%"
"11/08/2022","0.17","0.17","0.17","0.17","0.28K","0.00%"
"11/07/2022","0.17","0.17","0.17","0.17","0.27K","0.00%"
"11/04/2022","0.17","0.17","0.17","0.17","9.01K","6.25%"
"11/03/2022","0.16","0.16","0.16","0.16","0.23K","6.67%"
"11/02/2022","0.15","0.15","0.15","0.15","20.00K","7.14%"
"11/01/2022","0.14","0.14","0.14","0.14","5.45K","0.00%"
"10/31/2022","0.14","0.14","0.14","0.14","0.42K","-6.67%"
"10/24/2022","0.15","0.15","0.15","0.15","3.32K","-6.25%"
"10/19/2022","0.16","0.16","0.16","0.16","10.00K","6.67%"
"10/14/2022","0.15","0.15","0.15","0.15","0.75K","0.00%"
"10/13/2022","0.15","0.15","0.15","0.15","1.10K","-6.25%"
"10/12/2022","0.16","0.16","0.16","0.16","1.12K","-5.88%"
"09/23/2022","0.17","0.17","0.17","0.17","10.00K","13.33%"
"09/21/2022","0.15","0.15","0.15","0.15","1.00K","0.00%"
"09/20/2022","0.15","0.15","0.15","0.15","0.20K","0.00%"
"09/19/2022","0.15","0.15","0.15","0.15","0.82K","-6.25%"
"09/16/2022","0.16","0.16","0.16","0.16","10.23K","-5.88%"
"09/15/2022","0.17","0.17","0.17","0.17","0.17K","-5.56%"
"09/14/2022","0.18","0.18","0.18","0.18","10.00K","-14.29%"
"09/07/2022","0.21","0.21","0.21","0.21","0.70K","10.53%"
"08/29/2022","0.19","0.19","0.19","0.19","0.23K","5.56%"
"08/26/2022","0.18","0.18","0.18","0.18","1.50K","0.00%"
"08/25/2022","0.18","0.18","0.18","0.18","1.00K","5.88%"
"08/24/2022","0.17","0.17","0.17","0.17","0.45K","-5.56%"
"08/22/2022","0.18","0.18","0.18","0.18","0.25K","-5.26%"
"08/19/2022","0.19","0.19","0.19","0.19","0.12K","-5.00%"
"08/18/2022","0.20","0.20","0.20","0.20","0.12K","-4.76%"
"08/17/2022","0.21","0.21","0.21","0.21","0.15K","-4.55%"
"08/12/2022","0.22","0.22","0.22","0.22","0.05K","-15.38%"
"07/12/2022","0.26","0.26","0.26","0.26","1.11K","4.00%"
"07/07/2022","0.25","0.25","0.25","0.25","0.84K","4.17%"
"07/04/2022","0.24","0.24","0.24","0.24","1.00K","9.09%"
"06/30/2022","0.22","0.22","0.22","0.22","4.18K","4.76%"
"06/23/2022","0.21","0.21","0.21","0.21","4.92K","-36.36%"
"06/03/2022","0.33","0.33","0.33","0.33","7.00K","-2.94%"
"06/02/2022","0.34","0.34","0.34","0.34","0.56K","0.00%"
"06/01/2022","0.34","0.34","0.34","0.34","9.75K","21.43%"
"05/24/2022","0.28","0.28","0.28","0.28","1.35K","7.69%"
"05/20/2022","0.26","0.26","0.26","0.26","11.41K","30.00%"
"05/12/2022","0.20","0.20","0.20","0.20","4.15K","5.26%"
"05/11/2022","0.19","0.19","0.19","0.19","9.15K","11.76%"
"05/09/2022","0.17","0.17","0.17","0.17","11.15K","6.25%"
"04/29/2022","0.16","0.16","0.16","0.16","1.25K","23.08%"
"04/26/2022","0.13","0.13","0.13","0.13","6.14K","-7.14%"
"04/25/2022","0.14","0.14","0.14","0.14","0.02K","-6.67%"
"04/21/2022","0.15","0.15","0.15","0.15","2.14K","0.00%"
"04/20/2022","0.15","0.15","0.15","0.15","1.00K","0.00%"
"04/19/2022","0.15","0.15","0.15","0.15","0.01K","-6.25%"
"04/15/2022","0.16","0.16","0.16","0.16","0.01K","-20.00%"
"04/04/2022","0.20","0.20","0.20","0.20","0.01K","-4.76%"
"03/31/2022","0.21","0.21","0.21","0.21","0.00K","-16.00%"
"03/24/2022","0.25","0.25","0.25","0.25","0.30K","25.00%"
"03/14/2022","0.20","0.20","0.20","0.20","0.06K","11.11%"
"03/09/2022","0.18","0.18","0.18","0.18","30.00K","0.00%"
"03/01/2022","0.18","0.18","0.18","0.18","0.01K","0.00%"
"02/28/2022","0.18","0.18","0.18","0.18","0.20K","-5.26%"
"01/12/2022","0.19","0.19","0.19","0.19","0.02K","-5.00%"
"12/16/2021","0.20","0.20","0.20","0.20","5.08K","-4.76%"
"11/10/2021","0.21","0.21","0.21","0.21","0.39K","0.00%"
"11/05/2021","0.21","0.21","0.21","0.21","0.40K","0.00%"
