"Date","Price","Open","High","Low","Vol.","Change %"
"09/19/2023","5.36","5.36","5.36","5.36","0.00K","2.10%"
"09/14/2023","5.25","5.46","5.46","4.87","0.04K","1.74%"
"09/13/2023","5.16","5.06","5.16","5.00","1.55K","0.00%"
"09/12/2023","5.16","5.16","5.16","5.16","0.49K","-6.18%"
"09/05/2023","5.50","5.52","5.52","5.50","0.08K","0.00%"
"09/04/2023","5.50","5.50","5.50","5.50","0.20K","-4.84%"
"08/28/2023","5.78","5.78","5.78","5.78","0.01K","0.00%"
"08/25/2023","5.78","5.78","5.78","5.78","0.01K","3.21%"
"08/23/2023","5.60","5.55","5.60","5.55","0.52K","0.00%"
"08/21/2023","5.60","5.43","5.60","5.43","1.56K","2.94%"
"08/16/2023","5.44","5.44","5.44","5.44","6.13K","-1.98%"
"08/14/2023","5.55","5.55","5.55","5.55","0.21K","0.00%"
"08/11/2023","5.55","5.55","5.55","5.55","0.25K","0.00%"
"08/10/2023","5.55","5.55","5.55","5.55","1.78K","0.00%"
"08/04/2023","5.55","5.55","5.55","5.55","0.21K","0.00%"
"08/03/2023","5.55","5.55","5.55","5.55","0.03K","-2.46%"
"07/28/2023","5.69","5.69","5.69","5.69","0.30K","0.00%"
"07/26/2023","5.69","5.35","5.69","5.35","10.36K","0.00%"
"07/21/2023","5.69","5.69","5.69","5.69","0.60K","-0.18%"
"07/18/2023","5.70","5.71","5.71","5.70","3.01K","0.00%"
"07/17/2023","5.70","5.71","5.71","5.70","3.82K","-0.18%"
"07/14/2023","5.71","5.71","5.71","5.71","3.35K","-0.35%"
"07/13/2023","5.73","5.73","5.73","5.73","3.20K","-0.35%"
"07/11/2023","5.75","5.64","5.75","5.64","5.51K","0.00%"
"07/04/2023","5.75","5.77","5.77","5.75","0.17K","-2.21%"
"07/03/2023","5.88","5.88","5.88","5.88","0.07K","1.91%"
"06/26/2023","5.77","5.77","5.77","5.77","0.58K","-0.52%"
"06/23/2023","5.80","5.88","5.88","5.80","0.65K","-3.01%"
"06/22/2023","5.98","5.98","5.98","5.98","9.05K","-0.33%"
"06/20/2023","6.00","6.00","6.00","6.00","0.00K","2.04%"
"06/19/2023","5.88","5.88","5.88","5.88","0.03K","0.00%"
"06/16/2023","5.88","5.88","5.88","5.88","0.72K","0.00%"
"06/13/2023","5.88","5.99","5.99","5.88","0.36K","0.00%"
"06/12/2023","5.88","5.88","5.88","5.88","0.08K","-3.61%"
"06/01/2023","6.10","6.10","6.10","6.10","0.00K","3.74%"
"05/30/2023","5.88","6.17","6.17","5.88","2.53K","-4.70%"
"05/29/2023","6.17","5.64","6.17","5.64","5.21K","2.83%"
"05/25/2023","6.00","6.05","6.05","5.57","0.69K","3.45%"
"05/24/2023","5.80","5.80","5.80","5.80","50.89K","-4.29%"
"05/23/2023","6.06","6.06","6.06","6.00","0.96K","0.00%"
"05/22/2023","6.06","6.18","6.18","5.94","8.00K","-0.98%"
"05/19/2023","6.12","5.79","6.12","5.56","6.29K","2.00%"
"05/18/2023","6.00","6.00","6.00","6.00","0.01K","-2.44%"
"05/17/2023","6.15","6.15","6.15","6.15","0.00K","2.50%"
"05/16/2023","6.00","6.00","6.00","5.84","1.68K","0.00%"
"05/15/2023","6.00","6.05","6.05","6.00","1.96K","0.00%"
"05/10/2023","6.00","6.00","6.00","6.00","0.54K","0.00%"
"05/09/2023","6.00","6.00","6.00","6.00","3.27K","0.00%"
"05/08/2023","6.00","6.00","6.00","6.00","1.71K","0.00%"
"05/05/2023","6.00","6.00","6.00","6.00","1.87K","-2.60%"
"05/04/2023","6.16","5.94","6.16","5.94","0.19K","5.64%"
"05/03/2023","5.83","5.83","5.83","5.83","0.31K","-0.17%"
"04/28/2023","5.84","5.91","5.91","5.84","0.35K","-1.17%"
"04/27/2023","5.91","5.90","5.91","5.90","2.50K","0.00%"
"04/26/2023","5.91","5.79","5.91","5.79","1.23K","0.00%"
"04/25/2023","5.91","5.84","5.91","5.81","4.38K","-0.66%"
"04/24/2023","5.95","5.95","5.95","5.72","0.11K","-0.17%"
"04/20/2023","5.96","5.90","5.96","5.90","3.88K","0.83%"
"04/19/2023","5.91","5.34","5.91","5.34","0.03K","-1.96%"
"04/11/2023","6.03","5.60","6.03","5.60","3.78K","5.52%"
"04/07/2023","5.71","5.71","5.71","5.71","0.02K","0.00%"
"04/05/2023","5.71","5.71","5.71","5.71","0.66K","1.75%"
"04/03/2023","5.61","5.60","5.71","5.60","0.86K","0.00%"
"03/31/2023","5.61","5.61","5.61","5.61","0.45K","-1.72%"
"03/29/2023","5.71","5.71","5.71","5.71","0.18K","0.00%"
"03/27/2023","5.71","5.71","5.71","5.71","0.53K","-1.19%"
"03/24/2023","5.78","5.32","5.78","5.32","7.28K","5.77%"
"03/23/2023","5.47","5.47","5.47","5.47","0.85K","-1.77%"
"03/21/2023","5.56","5.56","5.56","5.56","0.00K","1.62%"
"03/17/2023","5.48","5.38","5.48","5.38","3.07K","-4.14%"
"03/16/2023","5.71","5.42","5.71","5.42","0.83K","5.65%"
"03/15/2023","5.41","5.12","5.41","5.12","0.16K","5.37%"
"03/14/2023","5.13","5.42","5.42","5.13","0.88K","-2.80%"
"03/13/2023","5.28","5.33","5.33","5.22","0.62K","-4.80%"
"03/10/2023","5.55","5.14","5.55","5.14","0.62K","1.44%"
"03/09/2023","5.47","5.58","5.58","5.47","0.41K","-5.93%"
"03/01/2023","5.81","5.67","5.81","5.67","0.56K","-1.50%"
"02/28/2023","5.90","5.90","5.90","5.90","0.00K","2.39%"
"02/27/2023","5.76","5.76","5.76","5.76","0.01K","-2.50%"
"02/24/2023","5.91","5.89","5.91","5.89","2.28K","0.17%"
"02/23/2023","5.90","5.91","5.91","5.90","3.25K","0.17%"
"02/22/2023","5.89","5.61","5.89","5.61","0.25K","0.00%"
"02/20/2023","5.89","5.91","5.91","5.89","4.00K","-0.33%"
"02/17/2023","5.91","5.91","5.91","5.91","3.25K","2.56%"
"02/16/2023","5.76","5.91","5.91","5.76","3.56K","-5.95%"
