"Date","Price","Open","High","Low","Vol.","Change %"
"09/21/2023","4.50","4.50","4.50","4.50","","0.00%"
"09/19/2023","4.50","4.25","4.50","4.25","6.80K","5.88%"
"09/18/2023","4.25","4.25","4.25","4.25","0.25K","0.00%"
"09/15/2023","4.25","4.25","4.25","4.25","0.15K","-0.93%"
"09/14/2023","4.29","4.29","4.29","4.29","2.88K","-0.23%"
"09/12/2023","4.30","4.30","4.30","4.30","0.07K","-1.15%"
"09/11/2023","4.35","4.35","4.35","4.35","0.22K","-1.14%"
"09/08/2023","4.40","4.35","4.40","4.35","1.06K","1.15%"
"09/06/2023","4.35","4.20","4.35","4.20","3.26K","0.00%"
"09/05/2023","4.35","4.40","4.40","4.35","1.50K","-3.33%"
"09/04/2023","4.50","4.60","4.60","4.50","0.58K","-2.17%"
"09/01/2023","4.60","4.85","4.85","4.60","0.72K","0.00%"
"08/31/2023","4.60","4.65","4.65","4.60","0.36K","0.00%"
"08/30/2023","4.60","4.60","4.60","4.60","5.66K","0.00%"
"08/29/2023","4.60","4.69","4.69","4.60","0.19K","-1.08%"
"08/28/2023","4.65","4.65","4.65","4.65","0.05K","0.00%"
"08/24/2023","4.65","4.65","4.65","4.65","0.01K","0.00%"
"08/23/2023","4.65","4.57","4.65","4.57","10.90K","3.33%"
"08/22/2023","4.50","4.65","4.65","4.50","33.99K","0.00%"
"08/21/2023","4.50","4.45","4.50","4.45","0.66K","1.12%"
"08/18/2023","4.45","4.40","4.45","4.40","0.14K","0.00%"
"08/15/2023","4.45","4.65","4.65","4.45","1.63K","0.00%"
"08/14/2023","4.45","4.45","4.45","4.45","1.50K","-3.68%"
"08/11/2023","4.62","4.52","4.62","4.52","0.05K","0.22%"
"08/09/2023","4.61","4.70","4.70","4.61","11.87K","-2.95%"
"08/08/2023","4.75","4.75","4.75","4.75","0.00K","-2.06%"
"08/01/2023","4.85","4.85","4.85","4.85","0.10K","1.04%"
"07/31/2023","4.80","4.85","4.85","4.80","12.11K","-1.03%"
"07/28/2023","4.85","4.85","4.88","4.70","2.23K","1.68%"
"07/27/2023","4.77","4.80","4.80","4.77","7.45K","0.42%"
"07/26/2023","4.75","4.75","4.75","4.75","13.50K","1.06%"
"07/24/2023","4.70","4.60","4.70","4.60","21.94K","2.17%"
"07/21/2023","4.60","4.65","4.70","4.60","8.41K","-1.08%"
"07/20/2023","4.65","4.55","4.66","4.55","23.61K","3.33%"
"07/18/2023","4.50","4.50","4.50","4.50","1.15K","-1.10%"
"07/17/2023","4.55","4.37","4.55","4.37","28.78K","2.25%"
"07/14/2023","4.45","4.43","4.45","4.43","3.10K","1.14%"
"07/13/2023","4.40","4.25","4.40","4.25","8.66K","0.00%"
"07/12/2023","4.40","4.29","4.40","4.29","6.12K","3.53%"
"07/11/2023","4.25","4.15","4.25","4.15","2.17K","0.00%"
"07/10/2023","4.25","4.25","4.25","4.25","0.12K","0.00%"
"07/07/2023","4.25","4.25","4.25","4.20","0.20K","0.00%"
"07/06/2023","4.25","4.25","4.25","4.25","0.07K","-0.70%"
"07/04/2023","4.28","4.28","4.28","4.28","2.00K","-0.23%"
"06/30/2023","4.29","4.25","4.29","4.25","0.12K","2.14%"
"06/27/2023","4.20","4.25","4.25","4.20","0.78K","-1.18%"
"06/22/2023","4.25","4.15","4.25","4.15","0.57K","-0.47%"
"06/21/2023","4.27","4.10","4.29","4.07","2.61K","5.43%"
"06/19/2023","4.05","4.10","4.10","4.05","0.59K","-1.22%"
"06/16/2023","4.10","4.10","4.10","4.10","0.65K","-1.91%"
"06/15/2023","4.18","4.15","4.18","4.10","3.71K","0.00%"
"06/14/2023","4.18","4.18","4.18","4.18","1.12K","0.00%"
"06/13/2023","4.18","4.15","4.18","4.15","1.94K","0.00%"
"06/12/2023","4.18","4.18","4.18","4.18","0.40K","0.00%"
"06/09/2023","4.18","4.18","4.18","4.18","1.00K","0.00%"
"06/08/2023","4.18","4.18","4.18","4.18","0.50K","0.00%"
"06/06/2023","4.18","4.18","4.18","4.17","0.85K","-1.65%"
"06/05/2023","4.25","4.25","4.25","4.25","0.20K","0.00%"
"06/02/2023","4.25","4.01","4.25","4.01","23.70K","1.67%"
"06/01/2023","4.18","4.18","4.18","4.18","4.61K","5.82%"
"05/31/2023","3.95","3.95","3.96","3.95","0.84K","-2.47%"
"05/30/2023","4.05","4.04","4.05","3.92","4.02K","0.00%"
"05/29/2023","4.05","4.09","4.09","4.05","0.76K","-1.22%"
"05/26/2023","4.10","4.09","4.10","4.09","0.50K","0.00%"
"05/25/2023","4.10","3.94","4.10","3.94","2.57K","0.00%"
"05/24/2023","4.10","4.10","4.10","4.10","0.10K","0.00%"
"05/23/2023","4.10","4.10","4.10","4.10","0.74K","0.00%"
"05/22/2023","4.10","4.10","4.10","4.10","0.00K","4.06%"
"05/19/2023","3.94","4.10","4.10","3.94","5.65K","-2.72%"
"05/18/2023","4.05","4.10","4.10","4.05","1.79K","-1.22%"
"05/17/2023","4.10","4.10","4.10","4.10","1.87K","0.00%"
