"Date","Price","Open","High","Low","Vol.","Change %"
"09/20/2023","11.00","11.00","11.00","11.00","0.10K","0.92%"
"09/19/2023","10.90","10.97","10.97","10.90","1.09K","-0.91%"
"09/18/2023","11.00","11.00","11.00","11.00","0.85K","0.00%"
"09/15/2023","11.00","11.00","11.00","10.97","2.57K","0.00%"
"09/14/2023","11.00","11.00","11.00","11.00","0.79K","0.00%"
"09/13/2023","11.00","11.25","11.25","11.00","3.25K","-2.22%"
"09/12/2023","11.25","11.24","11.25","11.24","0.20K","-1.14%"
"09/11/2023","11.38","10.99","11.38","10.99","0.41K","1.25%"
"09/07/2023","11.24","11.24","11.24","11.23","0.16K","2.18%"
"09/06/2023","11.00","11.00","11.00","11.00","0.10K","0.00%"
"09/05/2023","11.00","11.00","11.00","11.00","0.55K","0.00%"
"09/04/2023","11.00","11.00","11.00","11.00","0.32K","0.00%"
"09/01/2023","11.00","11.47","11.47","11.00","0.66K","0.00%"
"08/31/2023","11.00","11.00","11.00","11.00","1.67K","-4.18%"
"08/30/2023","11.48","11.48","11.48","11.40","0.77K","4.84%"
"08/29/2023","10.95","11.48","11.48","10.95","0.08K","-4.62%"
"08/28/2023","11.48","10.94","11.48","10.94","0.21K","0.00%"
"08/25/2023","11.48","11.45","11.48","11.45","0.20K","0.26%"
"08/24/2023","11.45","11.40","11.45","11.40","0.21K","0.44%"
"08/23/2023","11.40","11.48","11.48","11.40","0.36K","-0.61%"
"08/22/2023","11.47","11.47","11.47","11.47","0.14K","0.00%"
"08/21/2023","11.47","11.48","11.48","11.47","0.22K","-0.09%"
"08/18/2023","11.48","11.47","11.48","11.47","0.33K","0.00%"
"08/17/2023","11.48","11.47","11.48","11.47","0.31K","0.00%"
"08/16/2023","11.48","11.48","11.48","11.48","0.40K","-0.09%"
"08/15/2023","11.49","11.49","11.49","11.49","0.13K","-0.09%"
"08/14/2023","11.50","11.50","11.50","11.50","0.19K","0.00%"
"08/11/2023","11.50","11.50","11.50","11.50","0.19K","0.00%"
"08/10/2023","11.50","11.50","11.50","11.50","0.30K","0.00%"
"08/08/2023","11.50","11.50","11.50","11.50","0.83K","0.00%"
"08/01/2023","11.50","11.50","11.50","11.50","0.20K","4.55%"
"07/31/2023","11.00","11.55","11.55","11.00","0.16K","-4.76%"
"07/28/2023","11.55","11.55","11.60","11.55","0.06K","-0.43%"
"07/26/2023","11.60","11.60","11.60","11.60","0.10K","0.00%"
"07/24/2023","11.60","11.50","11.60","11.50","117.60K","1.75%"
"07/21/2023","11.40","11.40","11.40","11.40","0.03K","-0.87%"
"07/17/2023","11.50","11.50","11.50","11.50","0.10K","0.00%"
"07/14/2023","11.50","11.50","11.50","11.50","0.24K","2.22%"
"07/13/2023","11.25","11.47","11.47","11.00","0.55K","-2.17%"
"07/12/2023","11.50","11.49","11.50","11.49","0.30K","0.00%"
"07/03/2023","11.50","11.50","11.50","11.50","0.05K","0.88%"
"06/30/2023","11.40","11.33","11.55","11.33","0.18K","-3.23%"
"06/27/2023","11.78","11.54","11.78","11.54","3.23K","1.55%"
"06/26/2023","11.60","11.50","11.60","11.50","0.36K","1.75%"
"06/23/2023","11.40","11.19","11.40","11.19","1.88K","1.79%"
"06/21/2023","11.20","11.00","11.20","11.00","0.05K","0.09%"
"06/19/2023","11.19","11.19","11.19","11.00","0.67K","-0.44%"
"06/16/2023","11.24","11.20","11.24","11.20","0.15K","0.09%"
"06/15/2023","11.23","11.23","11.23","11.23","0.04K","0.00%"
"06/08/2023","11.23","10.80","11.23","10.80","0.23K","-0.18%"
"06/05/2023","11.25","11.25","11.25","11.25","0.05K","2.27%"
"06/02/2023","11.00","11.00","11.24","11.00","2.46K","-2.14%"
"05/31/2023","11.24","11.24","11.24","11.24","0.54K","-0.09%"
"05/30/2023","11.25","11.24","11.25","11.24","0.40K","0.00%"
"05/29/2023","11.25","11.25","11.25","11.25","0.14K","0.00%"
"05/26/2023","11.25","11.23","11.39","11.23","2.77K","0.09%"
"05/25/2023","11.24","11.24","11.24","11.24","0.06K","2.00%"
"05/24/2023","11.02","11.39","11.39","11.02","0.24K","0.00%"
"05/23/2023","11.02","11.35","11.35","11.02","1.07K","-2.91%"
"05/22/2023","11.35","11.34","11.35","11.34","0.36K","0.00%"
"05/18/2023","11.35","11.35","11.35","11.35","0.19K","0.00%"
"05/17/2023","11.35","11.35","11.35","11.35","0.10K","0.00%"
"05/16/2023","11.35","11.35","11.35","11.35","0.09K","0.00%"
"05/15/2023","11.35","11.35","11.35","11.35","0.26K","-0.35%"
"05/12/2023","11.39","11.39","11.39","11.39","0.23K","0.09%"
"05/11/2023","11.38","11.38","11.38","11.38","0.03K","3.36%"
"05/10/2023","11.01","11.35","11.39","11.01","0.71K","-3.42%"
"05/05/2023","11.40","11.40","11.40","11.40","0.23K","0.00%"
"05/03/2023","11.40","11.39","11.40","11.39","0.27K","0.00%"
"05/02/2023","11.40","11.35","11.40","11.35","1.65K","0.00%"
"04/20/2023","11.40","11.40","11.40","11.40","0.31K","0.09%"
"04/19/2023","11.39","11.39","11.39","11.30","2.15K","-0.96%"
"04/13/2023","11.50","11.48","11.50","11.48","0.23K","0.17%"
"04/12/2023","11.48","11.48","11.48","11.00","2.29K","-0.17%"
"04/03/2023","11.50","11.50","11.50","11.50","0.06K","0.00%"
"03/30/2023","11.50","11.50","11.50","11.50","0.22K","0.00%"
"03/29/2023","11.50","11.50","11.50","11.50","0.19K","0.00%"
"03/27/2023","11.50","11.50","11.50","11.50","0.19K","0.00%"
"03/24/2023","11.50","11.50","11.50","11.50","0.30K","0.00%"
"03/22/2023","11.50","11.50","11.50","11.50","0.01K","0.09%"
"03/21/2023","11.49","11.49","11.49","11.49","0.56K","0.00%"
"03/17/2023","11.49","11.49","11.49","11.49","0.20K","-0.09%"
"03/16/2023","11.50","11.50","11.50","11.50","1.50K","0.09%"
"03/14/2023","11.49","11.49","11.49","11.49","0.10K","0.52%"
"03/13/2023","11.43","11.43","11.43","11.43","0.75K","-0.61%"
"03/09/2023","11.50","11.50","11.50","11.50","0.25K","0.44%"
"03/08/2023","11.45","11.40","11.45","11.40","0.50K","0.00%"
"03/06/2023","11.45","11.44","11.45","11.44","0.20K","0.09%"
"03/03/2023","11.44","11.50","11.50","11.44","0.42K","-0.26%"
"03/02/2023","11.47","11.50","11.50","11.00","2.77K","-0.26%"
"03/01/2023","11.50","11.50","11.50","11.50","0.05K","0.09%"
"02/28/2023","11.49","11.49","11.49","11.49","0.20K","-0.09%"
"02/27/2023","11.50","11.50","11.50","11.49","0.48K","0.00%"
"02/24/2023","11.50","11.50","11.50","11.50","0.15K","0.00%"
"02/22/2023","11.50","11.50","11.50","11.50","0.20K","0.00%"
"02/21/2023","11.50","11.50","11.50","11.50","0.05K","0.00%"
"02/20/2023","11.50","11.50","11.50","11.49","0.97K","-0.69%"
"02/17/2023","11.58","11.50","11.58","11.50","0.40K","0.17%"
"02/15/2023","11.56","11.56","11.56","11.56","0.10K","-0.34%"
"02/09/2023","11.60","11.01","11.60","11.01","0.56K","-0.85%"
"02/07/2023","11.70","11.70","11.70","11.70","0.20K","-0.68%"
"02/02/2023","11.78","11.78","11.78","11.78","0.00K","0.26%"
"02/01/2023","11.75","11.79","11.79","11.74","0.41K","-1.09%"
"01/30/2023","11.88","11.00","11.88","11.00","0.27K","1.54%"
"01/27/2023","11.70","11.80","11.80","11.70","0.01K","-0.76%"
"01/26/2023","11.79","11.79","11.79","11.79","0.00K","-0.84%"
"01/24/2023","11.89","11.65","11.89","11.65","0.76K","2.59%"
"01/23/2023","11.59","11.59","11.59","11.59","0.10K","-0.52%"
"01/17/2023","11.65","11.65","11.65","11.65","0.01K","-5.28%"
"01/11/2023","12.30","12.06","12.30","12.06","0.05K","1.99%"
"01/10/2023","12.06","12.30","12.30","12.06","0.21K","-1.95%"
"01/09/2023","12.30","12.29","12.30","12.29","0.07K","0.00%"
"01/06/2023","12.30","12.30","12.30","12.30","0.39K","-1.44%"
"01/05/2023","12.48","12.39","12.48","12.39","1.08K","-0.95%"
"01/03/2023","12.60","12.70","12.70","12.60","0.08K","0.48%"
"01/02/2023","12.54","12.54","12.54","12.54","0.05K","0.00%"
"12/30/2022","12.54","12.54","12.54","12.54","1.01K","4.50%"
"12/29/2022","12.00","12.00","12.00","12.00","11.05K","1.69%"
"12/27/2022","11.80","11.80","11.80","11.80","7.00K","1.29%"
"12/09/2022","11.65","11.65","11.65","11.65","0.77K","-0.43%"
