"Date","Price","Open","High","Low","Vol.","Change %"
"09/20/2023","5.00","4.86","5.00","4.86","0.18K","-3.10%"
"09/19/2023","5.16","5.14","5.16","5.14","0.01K","0.39%"
"09/15/2023","5.14","5.13","5.14","5.13","0.02K","0.00%"
"09/14/2023","5.14","5.16","5.17","5.14","1.05K","-0.58%"
"09/12/2023","5.17","5.11","5.18","5.11","0.74K","-0.39%"
"09/07/2023","5.19","5.19","5.19","5.19","0.05K","1.37%"
"09/06/2023","5.12","5.16","5.16","5.12","0.17K","-0.78%"
"09/05/2023","5.16","5.22","5.22","5.16","0.78K","0.00%"
"09/04/2023","5.16","5.20","5.20","5.15","0.80K","-0.77%"
"09/01/2023","5.20","5.22","5.22","5.20","0.24K","-0.38%"
"08/31/2023","5.22","5.20","5.22","5.20","0.45K","0.00%"
"08/30/2023","5.22","5.22","5.22","5.20","0.26K","0.38%"
"08/29/2023","5.20","5.19","5.20","5.14","0.83K","0.00%"
"08/25/2023","5.20","5.22","5.22","5.20","0.00K","0.00%"
"08/24/2023","5.20","5.19","5.20","5.12","0.25K","0.19%"
"08/23/2023","5.19","5.20","5.20","5.19","0.05K","0.00%"
"08/22/2023","5.19","5.21","5.21","5.10","0.45K","-0.38%"
"08/21/2023","5.21","5.21","5.21","5.21","0.00K","0.77%"
"08/18/2023","5.17","5.21","5.22","5.17","0.51K","-0.96%"
"08/17/2023","5.22","5.22","5.22","5.21","0.91K","0.00%"
"08/16/2023","5.22","5.18","5.22","5.18","2.80K","0.58%"
"08/15/2023","5.19","5.19","5.19","5.19","1.82K","0.00%"
"08/14/2023","5.19","5.19","5.19","5.19","0.10K","0.00%"
"08/11/2023","5.19","5.19","5.19","5.19","0.15K","0.00%"
"08/10/2023","5.19","5.19","5.19","5.19","0.01K","0.00%"
"08/09/2023","5.19","5.19","5.19","5.19","0.30K","-0.19%"
"08/08/2023","5.20","5.20","5.20","5.20","0.10K","0.19%"
"08/07/2023","5.19","5.16","5.20","5.16","0.47K","0.78%"
"08/03/2023","5.15","5.00","5.15","5.00","0.37K","1.98%"
"08/02/2023","5.05","5.11","5.16","5.02","0.94K","-0.39%"
"08/01/2023","5.07","5.00","5.07","5.00","0.46K","-0.20%"
"07/31/2023","5.08","5.00","5.08","5.00","0.63K","0.59%"
"07/28/2023","5.05","5.06","5.06","5.00","0.31K","-0.20%"
"07/27/2023","5.06","5.06","5.06","4.95","0.03K","0.00%"
"07/26/2023","5.06","5.04","5.06","5.04","0.60K","0.40%"
"07/24/2023","5.04","4.95","5.04","4.95","0.11K","0.80%"
"07/21/2023","5.00","5.04","5.04","4.91","2.01K","1.01%"
"07/20/2023","4.95","5.00","5.00","4.94","0.35K","-0.80%"
"07/18/2023","4.99","5.00","5.00","4.99","0.59K","-1.77%"
"07/17/2023","5.08","5.07","5.08","5.07","0.36K","-0.39%"
"07/10/2023","5.10","5.09","5.10","5.09","0.08K","1.39%"
"07/07/2023","5.03","4.97","5.03","4.97","1.13K","-1.37%"
"07/06/2023","5.10","5.10","5.10","5.10","0.01K","0.00%"
"07/05/2023","5.10","5.00","5.10","5.00","1.20K","0.99%"
"07/04/2023","5.05","5.05","5.05","5.05","0.08K","-0.98%"
"06/30/2023","5.10","5.10","5.10","5.10","0.05K","2.00%"
"06/27/2023","5.00","5.09","5.09","5.00","1.11K","-1.77%"
"06/26/2023","5.09","4.99","5.09","4.99","5.29K","2.00%"
"06/23/2023","4.99","4.95","4.99","4.95","0.11K","0.20%"
"06/22/2023","4.98","4.95","4.99","4.94","1.79K","4.40%"
"06/21/2023","4.77","4.86","4.94","4.77","2.25K","-3.64%"
"06/20/2023","4.95","4.95","4.95","4.94","0.23K","5.10%"
"06/19/2023","4.71","4.71","4.71","4.71","0.07K","-4.85%"
"06/16/2023","4.95","5.00","5.00","4.95","0.39K","-1.00%"
"06/15/2023","5.00","4.99","5.00","4.99","0.23K","0.00%"
"06/14/2023","5.00","4.79","5.00","4.79","0.58K","4.38%"
"06/13/2023","4.79","4.75","4.79","4.74","0.66K","0.84%"
"06/12/2023","4.75","4.75","4.75","4.75","0.49K","0.00%"
"06/08/2023","4.75","4.74","4.75","4.70","0.50K","0.21%"
"06/07/2023","4.74","4.74","4.74","4.74","0.02K","0.00%"
"06/06/2023","4.74","4.73","4.74","4.70","0.52K","0.00%"
"06/02/2023","4.74","4.65","4.74","4.65","0.64K","0.00%"
"06/01/2023","4.74","4.73","4.74","4.73","0.11K","0.00%"
"05/31/2023","4.74","4.74","4.75","4.65","0.94K","-0.21%"
"05/30/2023","4.75","4.75","4.75","4.74","0.28K","0.00%"
"05/29/2023","4.75","4.75","4.75","4.75","0.01K","3.94%"
"05/26/2023","4.57","4.70","4.75","4.57","1.38K","-3.79%"
"05/25/2023","4.75","4.69","4.75","4.69","0.91K","1.28%"
"05/24/2023","4.69","4.69","4.69","4.67","0.90K","0.21%"
"05/23/2023","4.68","4.68","4.68","4.68","1.07K","-0.21%"
"05/22/2023","4.69","4.58","4.69","4.57","2.07K","0.00%"
"05/19/2023","4.69","4.57","4.69","4.57","0.80K","0.00%"
"05/18/2023","4.69","4.58","4.69","4.57","0.54K","0.86%"
"05/17/2023","4.65","4.64","4.65","4.64","0.05K","0.00%"
"05/16/2023","4.65","4.65","4.65","4.57","2.33K","0.00%"
"05/15/2023","4.65","4.63","4.68","4.62","3.15K","-0.85%"
"05/12/2023","4.69","4.63","4.69","4.63","6.49K","-0.21%"
"05/11/2023","4.70","4.64","4.70","4.63","0.56K","0.21%"
"05/10/2023","4.69","4.63","4.75","4.63","2.72K","-0.42%"
"05/09/2023","4.71","4.62","4.73","4.62","0.33K","-0.21%"
"05/08/2023","4.72","4.60","4.72","4.60","0.20K","-0.21%"
"05/05/2023","4.73","4.74","4.74","4.72","0.44K","-0.42%"
"05/04/2023","4.75","4.79","4.79","4.63","0.65K","-0.84%"
"05/03/2023","4.79","4.79","4.79","4.79","0.00K","0.21%"
"05/02/2023","4.78","4.80","4.80","4.78","0.11K","0.00%"
"04/28/2023","4.78","4.79","4.79","4.78","0.03K","0.00%"
"04/27/2023","4.78","4.77","4.78","4.67","0.44K","-0.21%"
