"Date","Price","Open","High","Low","Vol.","Change %"
"09/18/2023","1.200","1.200","1.200","1.200","0.63K","0.00%"
"09/15/2023","1.200","1.180","1.200","1.180","2.20K","1.69%"
"09/14/2023","1.180","1.180","1.180","1.180","0.20K","1.72%"
"09/13/2023","1.160","1.160","1.160","1.160","0.02K","2.65%"
"09/12/2023","1.130","1.130","1.130","1.130","0.01K","3.67%"
"09/11/2023","1.090","1.090","1.090","1.090","0.00K","0.00%"
"09/07/2023","1.090","1.100","1.100","1.090","0.25K","0.00%"
"09/06/2023","1.090","1.090","1.090","1.090","0.20K","0.00%"
"09/05/2023","1.090","1.030","1.090","1.030","1.01K","2.83%"
"09/04/2023","1.060","1.060","1.060","1.060","0.20K","-2.75%"
"09/01/2023","1.090","1.090","1.090","1.090","0.04K","0.00%"
"08/31/2023","1.090","1.090","1.090","1.090","0.02K","-5.22%"
"08/23/2023","1.150","1.150","1.150","1.150","0.06K","0.00%"
"08/22/2023","1.150","1.150","1.150","1.150","0.04K","0.88%"
"08/18/2023","1.140","1.140","1.140","1.140","0.10K","-2.56%"
"08/16/2023","1.170","1.070","1.170","1.070","0.31K","-0.85%"
"08/14/2023","1.180","1.180","1.180","1.180","0.02K","4.42%"
"08/10/2023","1.130","1.130","1.130","1.130","0.20K","-8.13%"
"08/07/2023","1.230","1.230","1.230","1.230","0.01K","0.82%"
"08/04/2023","1.220","1.220","1.220","1.220","0.20K","4.27%"
"08/03/2023","1.170","1.170","1.170","1.170","0.01K","0.00%"
"08/01/2023","1.170","1.170","1.170","1.170","0.02K","4.46%"
"07/31/2023","1.120","1.120","1.120","1.120","0.06K","-4.27%"
"07/28/2023","1.170","1.170","1.170","1.170","0.21K","4.46%"
"07/26/2023","1.120","1.120","1.120","1.120","0.09K","-5.88%"
"07/14/2023","1.190","1.200","1.200","1.190","2.40K","3.48%"
"07/13/2023","1.150","1.150","1.150","1.150","0.06K","-1.71%"
"07/12/2023","1.170","1.170","1.170","1.170","0.18K","0.00%"
"07/11/2023","1.170","1.170","1.170","1.170","0.02K","4.46%"
"07/10/2023","1.120","1.210","1.210","1.120","0.21K","-4.27%"
"07/07/2023","1.170","1.170","1.170","1.170","0.01K","4.46%"
"07/06/2023","1.120","1.190","1.190","1.120","0.35K","-5.88%"
"06/27/2023","1.190","1.190","1.190","1.190","0.00K","0.85%"
"06/26/2023","1.180","1.180","1.180","1.180","0.03K","2.61%"
"06/23/2023","1.150","1.150","1.150","1.150","0.09K","2.68%"
"06/22/2023","1.120","1.180","1.180","1.120","0.07K","-4.27%"
"06/21/2023","1.170","1.120","1.170","1.120","0.62K","0.00%"
"06/20/2023","1.170","1.170","1.170","1.170","0.00K","0.86%"
"06/19/2023","1.160","1.160","1.160","1.160","0.00K","0.87%"
"06/16/2023","1.150","1.150","1.150","1.150","0.17K","3.60%"
"06/14/2023","1.110","1.110","1.110","1.110","0.02K","1.83%"
"06/13/2023","1.090","1.110","1.110","1.090","0.23K","-4.39%"
"06/12/2023","1.140","1.110","1.140","1.110","0.23K","2.70%"
"06/08/2023","1.110","1.110","1.110","1.110","0.25K","-4.31%"
"06/07/2023","1.160","1.160","1.160","1.160","0.01K","2.65%"
"06/06/2023","1.130","1.080","1.130","1.080","0.38K","2.73%"
"06/05/2023","1.100","1.100","1.100","1.100","0.20K","-4.35%"
"06/02/2023","1.150","1.150","1.150","1.150","0.60K","3.60%"
"06/01/2023","1.110","1.100","1.110","1.100","0.04K","3.74%"
"05/31/2023","1.070","1.070","1.070","1.070","0.07K","3.88%"
"05/30/2023","1.030","1.030","1.030","1.030","7.87K","-11.97%"
"05/26/2023","1.170","1.170","1.170","1.170","0.03K","0.00%"
"05/25/2023","1.170","1.170","1.170","1.170","0.03K","0.00%"
"05/24/2023","1.170","1.170","1.170","1.170","0.10K","-0.85%"
"05/23/2023","1.180","1.180","1.180","1.180","0.44K","0.00%"
"05/19/2023","1.180","1.180","1.180","1.180","0.75K","-0.84%"
"05/18/2023","1.190","1.190","1.190","1.190","0.00K","0.00%"
"05/17/2023","1.190","1.190","1.190","1.190","0.02K","3.48%"
"05/16/2023","1.150","1.150","1.150","1.150","0.09K","-4.17%"
"05/15/2023","1.200","1.200","1.200","1.200","0.03K","0.00%"
"05/11/2023","1.200","1.200","1.200","1.200","0.05K","0.00%"
"05/10/2023","1.200","1.250","1.250","1.200","0.26K","-4.00%"
"05/08/2023","1.250","1.250","1.250","1.250","0.05K","0.00%"
"05/05/2023","1.250","1.250","1.250","1.250","0.06K","4.17%"
"05/04/2023","1.200","1.200","1.200","1.200","2.40K","-4.00%"
"05/02/2023","1.250","1.250","1.250","1.250","0.02K","0.00%"
"04/28/2023","1.250","1.250","1.250","1.250","0.03K","0.00%"
"04/27/2023","1.250","1.250","1.250","1.250","0.13K","-2.34%"
"04/26/2023","1.280","1.280","1.280","1.280","0.71K","-4.48%"
"04/24/2023","1.340","1.340","1.340","1.340","0.02K","0.75%"
"04/18/2023","1.330","1.330","1.330","1.330","0.10K","-2.21%"
"04/13/2023","1.360","1.360","1.360","1.360","0.04K","2.26%"
"04/12/2023","1.330","1.330","1.330","1.330","0.14K","0.00%"
"04/11/2023","1.330","1.330","1.330","1.330","0.16K","2.31%"
"04/10/2023","1.300","1.300","1.300","1.300","0.27K","0.00%"
"04/05/2023","1.300","1.300","1.300","1.300","0.21K","-0.76%"
"03/22/2023","1.310","1.310","1.310","1.310","0.00K","3.97%"
"03/21/2023","1.260","1.260","1.260","1.260","0.95K","-8.03%"
"03/15/2023","1.370","1.370","1.370","1.370","0.02K","0.00%"
"03/14/2023","1.370","1.370","1.370","1.370","0.12K","-4.20%"
"03/08/2023","1.430","1.430","1.430","1.430","0.10K","-1.38%"
"03/07/2023","1.450","1.450","1.450","1.450","0.10K","0.69%"
"03/03/2023","1.440","1.440","1.440","1.440","0.02K","2.13%"
"03/01/2023","1.410","1.410","1.410","1.410","1.00K","-2.76%"
"02/15/2023","1.450","1.450","1.450","1.450","0.05K","3.57%"
"02/10/2023","1.400","1.400","1.400","1.400","0.04K","0.00%"
"02/09/2023","1.400","1.400","1.400","1.400","0.10K","-4.11%"
"02/03/2023","1.460","1.460","1.460","1.460","0.03K","0.69%"
"02/02/2023","1.450","1.450","1.450","1.450","1.10K","4.32%"
"02/01/2023","1.390","1.390","1.390","1.390","0.33K","0.00%"
"01/27/2023","1.390","1.390","1.390","1.390","71.08K","0.00%"
"01/25/2023","1.390","1.390","1.390","1.390","0.39K","0.00%"
"01/23/2023","1.390","1.390","1.390","1.390","0.07K","-0.71%"
"01/12/2023","1.400","1.400","1.400","1.400","0.05K","1.45%"
"01/10/2023","1.380","1.380","1.380","1.380","0.78K","0.00%"
"01/06/2023","1.380","1.380","1.380","1.380","0.03K","-9.21%"
"01/02/2023","1.520","1.520","1.520","1.520","0.56K","-5.00%"
"12/30/2022","1.600","1.600","1.600","1.600","51.00K","0.00%"
"12/29/2022","1.600","1.600","1.600","1.600","2.50K","3.23%"
"12/27/2022","1.550","1.550","1.550","1.550","1.20K","4.03%"
"12/26/2022","1.490","1.490","1.490","1.490","5.00K","4.20%"
"12/07/2022","1.430","1.430","1.430","1.430","0.30K","4.38%"
"12/06/2022","1.370","1.370","1.370","1.370","0.10K","3.79%"
"12/02/2022","1.320","1.320","1.320","1.320","0.01K","3.94%"
"12/01/2022","1.270","1.270","1.270","1.270","0.14K","0.00%"
"11/30/2022","1.270","1.270","1.270","1.270","0.03K","4.10%"
"11/29/2022","1.220","1.220","1.220","1.220","1.13K","-15.28%"
"11/10/2022","1.440","1.440","1.440","1.440","0.03K","2.86%"
"11/09/2022","1.400","1.400","1.400","1.400","0.05K","-6.04%"
"10/31/2022","1.490","1.490","1.490","1.490","0.05K","2.76%"
"10/28/2022","1.450","1.450","1.450","1.450","0.20K","4.32%"
"10/27/2022","1.390","1.390","1.390","1.390","0.10K","3.73%"
"10/26/2022","1.340","1.310","1.340","1.310","0.20K","3.88%"
"10/25/2022","1.290","1.290","1.290","1.290","0.13K","0.00%"
"10/24/2022","1.290","1.290","1.290","1.290","0.02K","3.20%"
"10/21/2022","1.250","1.250","1.250","1.250","1.39K","4.17%"
"10/20/2022","1.200","1.200","1.200","1.200","0.02K","-4.00%"
"10/19/2022","1.250","1.250","1.250","1.250","0.11K","4.17%"
"10/18/2022","1.200","1.280","1.280","1.200","5.12K","-2.44%"
"10/17/2022","1.230","1.230","1.230","1.230","2.69K","-3.15%"
"10/14/2022","1.270","1.280","1.280","1.270","0.05K","3.25%"
"10/13/2022","1.230","1.230","1.230","1.230","0.36K","-2.38%"
"10/12/2022","1.260","1.260","1.260","1.260","0.24K","-3.82%"
"10/11/2022","1.310","1.310","1.310","1.310","0.01K","0.00%"
"10/07/2022","1.310","1.310","1.310","1.310","3.23K","-0.76%"
"10/06/2022","1.320","1.370","1.370","1.320","0.14K","-2.94%"
"10/05/2022","1.360","1.370","1.370","1.360","0.80K","-0.73%"
"10/04/2022","1.370","1.370","1.370","1.370","0.09K","-8.05%"
"09/28/2022","1.490","1.490","1.490","1.490","0.09K","2.76%"
"09/27/2022","1.450","1.450","1.450","1.450","0.01K","4.32%"
"09/26/2022","1.390","1.390","1.390","1.390","0.20K","-2.11%"
"09/23/2022","1.420","1.420","1.420","1.420","0.51K","-4.05%"
"09/22/2022","1.480","1.480","1.480","1.480","0.05K","1.37%"
"09/21/2022","1.460","1.460","1.460","1.460","1.16K","4.29%"
"09/20/2022","1.400","1.400","1.400","1.400","0.15K","5.26%"
"09/16/2022","1.330","1.360","1.360","1.330","0.60K","-3.62%"
"09/15/2022","1.380","1.380","1.380","1.380","0.10K","0.00%"
"09/14/2022","1.380","1.400","1.400","1.380","0.19K","0.73%"
"09/13/2022","1.370","1.370","1.370","1.370","6.98K","0.00%"
"09/12/2022","1.370","1.370","1.370","1.370","1.78K","-2.14%"
"09/09/2022","1.400","1.430","1.430","1.400","0.23K","-2.10%"
"09/08/2022","1.430","1.420","1.430","1.420","0.34K","0.00%"
"09/07/2022","1.430","1.510","1.510","1.430","3.67K","-1.38%"
"09/06/2022","1.450","1.560","1.560","1.450","0.22K","-3.33%"
"09/05/2022","1.500","1.500","1.500","1.500","0.02K","-3.85%"
"09/02/2022","1.560","1.640","1.640","1.560","2.07K","-1.89%"
"09/01/2022","1.590","1.560","1.590","1.560","0.42K","3.25%"
"08/31/2022","1.540","1.500","1.540","1.500","4.24K","4.05%"
"08/30/2022","1.480","1.480","1.480","1.480","2.39K","1.37%"
"08/29/2022","1.460","1.460","1.460","1.460","9.79K","0.69%"
"08/26/2022","1.450","1.440","1.450","1.440","2.17K","3.57%"
"08/25/2022","1.400","1.400","1.400","1.400","1.44K","2.94%"
"08/24/2022","1.360","1.360","1.360","1.360","0.01K","-0.73%"
"08/23/2022","1.370","1.390","1.390","1.370","0.03K","-5.52%"
"08/17/2022","1.450","1.450","1.450","1.450","0.02K","2.11%"
"08/16/2022","1.420","1.420","1.420","1.420","3.55K","2.16%"
"08/15/2022","1.390","1.390","1.390","1.390","0.15K","0.00%"
"08/12/2022","1.390","1.390","1.390","1.390","0.31K","0.00%"
"08/11/2022","1.390","1.460","1.460","1.390","0.63K","-4.14%"
"08/04/2022","1.450","1.450","1.450","1.450","0.00K","2.84%"
"08/01/2022","1.410","1.410","1.410","1.410","0.03K","-3.42%"
"07/26/2022","1.460","1.460","1.460","1.460","0.10K","1.39%"
"07/22/2022","1.440","1.440","1.440","1.440","1.42K","0.00%"
"07/21/2022","1.440","1.440","1.440","1.440","0.00K","2.86%"
"07/20/2022","1.400","1.400","1.400","1.400","7.01K","3.70%"
"07/19/2022","1.350","1.430","1.430","1.350","10.35K","-1.24%"
"07/15/2022","1.367","1.358","1.367","1.358","0.35K","0.66%"
"07/14/2022","1.358","1.358","1.358","1.358","12.66K","0.00%"
"07/13/2022","1.358","1.358","1.358","1.358","13.80K","0.00%"
"07/12/2022","1.358","1.358","1.358","1.358","13.20K","0.00%"
"07/11/2022","1.358","1.358","1.358","1.358","14.40K","-1.24%"
"07/07/2022","1.375","1.375","1.375","1.375","0.09K","0.00%"
"07/06/2022","1.375","1.375","1.375","1.375","0.26K","0.00%"
"07/05/2022","1.375","1.375","1.375","1.375","0.22K","0.00%"
"07/04/2022","1.375","1.375","1.375","1.375","0.08K","0.00%"
"07/01/2022","1.375","1.375","1.375","1.375","0.24K","0.00%"
"06/30/2022","1.375","1.375","1.375","1.375","0.03K","0.00%"
"06/29/2022","1.375","1.375","1.375","1.375","0.17K","0.00%"
"06/28/2022","1.375","1.375","1.375","1.375","0.02K","0.00%"
"06/27/2022","1.375","1.375","1.375","1.375","0.06K","0.00%"
"06/24/2022","1.375","1.375","1.375","1.375","0.01K","0.00%"
"06/22/2022","1.375","1.375","1.375","1.375","0.06K","1.25%"
"06/17/2022","1.358","1.358","1.358","1.358","0.11K","0.00%"
"06/16/2022","1.358","1.358","1.358","1.358","0.01K","-1.24%"
"06/14/2022","1.375","1.375","1.375","1.375","0.04K","1.25%"
"06/13/2022","1.358","1.358","1.358","1.358","0.01K","0.00%"
"06/10/2022","1.358","1.358","1.358","1.358","0.06K","1.19%"
"06/09/2022","1.342","1.367","1.367","1.342","23.39K","-2.40%"
"06/02/2022","1.375","1.375","1.375","1.375","0.01K","0.00%"
"05/27/2022","1.375","1.300","1.375","1.300","0.20K","1.25%"
"05/25/2022","1.358","1.358","1.358","1.358","1.03K","-0.66%"
"05/24/2022","1.367","1.367","1.367","1.367","1.55K","-0.58%"
"05/19/2022","1.375","1.375","1.375","1.375","0.01K","-0.58%"
"05/06/2022","1.383","1.383","1.383","1.383","0.07K","2.44%"
"05/05/2022","1.350","1.350","1.350","1.350","0.01K","0.00%"
"04/29/2022","1.350","1.350","1.350","1.350","0.36K","0.00%"
"04/28/2022","1.350","1.350","1.350","1.350","0.02K","0.00%"
"04/26/2022","1.350","1.350","1.350","1.350","0.09K","-3.57%"
"04/20/2022","1.400","1.400","1.400","1.400","1.55K","0.00%"
"04/19/2022","1.400","1.400","1.400","1.400","0.12K","0.00%"
"04/04/2022","1.400","1.400","1.400","1.400","0.62K","1.82%"
"04/01/2022","1.375","1.375","1.375","1.375","0.36K","-1.79%"
"03/28/2022","1.400","1.400","1.400","1.400","0.18K","-0.57%"
