"Date","Price","Open","High","Low","Vol.","Change %"
"08/22/2023","42.50","42.50","42.50","42.50","0.16K","3.66%"
"08/07/2023","41.00","41.00","41.00","41.00","0.12K","3.54%"
"07/18/2023","39.60","39.60","39.60","39.60","0.60K","-5.94%"
"07/03/2023","42.10","42.10","42.10","42.10","0.01K","0.00%"
"05/29/2023","42.10","42.10","42.10","42.10","0.44K","0.00%"
"04/10/2023","42.10","42.10","42.10","42.10","0.44K","0.00%"
"03/28/2023","42.10","42.10","42.10","42.10","0.33K","0.00%"
"03/13/2023","42.10","42.10","42.10","42.10","0.10K","-0.02%"
"11/16/2022","42.11","42.11","42.11","42.11","0.75K","0.00%"
"07/27/2022","42.11","42.11","42.11","42.11","0.44K","0.00%"
"06/24/2022","42.11","42.11","42.11","42.11","0.05K","0.00%"
"06/09/2022","42.11","42.11","42.11","42.11","9.00K","0.00%"
"06/08/2022","42.11","42.11","42.11","42.11","0.08K","-8.48%"
"05/25/2022","46.01","46.01","46.01","46.01","0.04K","0.00%"
"04/27/2022","46.01","46.01","46.01","46.01","0.03K","0.00%"
"04/20/2022","46.01","46.01","46.01","46.01","0.03K","4.19%"
"04/05/2022","44.16","44.16","44.16","44.16","0.03K","0.05%"
"02/14/2022","44.14","44.14","44.14","44.14","0.00K","0.00%"
"01/10/2022","44.14","44.14","44.14","44.14","0.02K","0.00%"
"12/15/2021","44.14","44.14","44.14","44.14","0.16K","4.50%"
"11/05/2021","42.24","42.24","42.24","42.24","1.42K","0.00%"
"11/01/2021","42.24","42.24","42.24","42.24","2.00K","0.00%"
"06/25/2021","42.24","42.24","42.24","42.24","0.08K","0.00%"
"06/23/2021","42.24","42.24","42.24","42.24","2.44K","0.02%"
"06/22/2021","42.23","42.23","42.23","42.23","0.01K","3.00%"
"05/04/2021","41.00","41.00","41.00","41.00","0.05K","-1.39%"
"04/20/2021","41.58","41.58","41.58","41.58","8.00K","-8.78%"
"02/25/2021","45.58","45.58","45.58","45.58","0.00K","0.00%"
"02/05/2021","45.58","45.58","45.58","45.58","1.00K","-2.98%"
"01/29/2021","46.98","46.98","46.98","46.98","0.01K","6.05%"
"11/06/2020","44.30","44.30","44.30","44.30","0.30K","0.00%"
"11/03/2020","44.30","44.30","44.30","44.30","0.05K","0.00%"
"10/09/2020","44.30","44.30","44.30","44.30","0.10K","0.00%"
