"Date","Price","Open","High","Low","Vol.","Change %"
"09/20/2023","8.40","8.40","8.50","8.38","10.18K","-1.18%"
"09/19/2023","8.50","8.50","8.50","8.40","9.35K","-0.47%"
"09/18/2023","8.54","8.50","8.54","8.47","9.23K","0.47%"
"09/15/2023","8.50","8.55","8.55","8.49","9.19K","-0.58%"
"09/14/2023","8.55","8.60","8.60","8.48","17.56K","0.47%"
"09/13/2023","8.51","8.52","8.55","8.50","17.75K","0.00%"
"09/12/2023","8.51","8.55","8.55","8.50","14.27K","0.00%"
"09/11/2023","8.51","8.60","8.61","8.51","30.17K","-0.93%"
"09/08/2023","8.59","8.55","8.60","8.52","34.33K","0.82%"
"09/07/2023","8.52","8.53","8.55","8.52","4.64K","-0.12%"
"09/06/2023","8.53","8.55","8.60","8.52","7.44K","-0.23%"
"09/05/2023","8.55","8.60","8.73","8.54","4.90K","-0.58%"
"09/04/2023","8.60","8.60","8.60","8.52","1.10K","0.00%"
"09/01/2023","8.60","8.59","8.70","8.50","10.73K","-1.04%"
"08/31/2023","8.69","8.58","8.73","8.58","6.70K","2.24%"
"08/30/2023","8.50","8.58","8.58","8.46","25.72K","0.00%"
"08/29/2023","8.50","8.58","8.58","8.49","13.41K","0.00%"
"08/28/2023","8.50","8.59","8.59","8.45","1.57K","0.59%"
"08/25/2023","8.45","8.48","8.59","8.45","14.26K","-0.35%"
"08/24/2023","8.48","8.50","8.50","8.48","13.81K","-0.24%"
"08/23/2023","8.50","8.50","8.60","8.49","41.22K","0.00%"
"08/22/2023","8.50","8.60","8.60","8.49","13.34K","0.00%"
"08/21/2023","8.50","8.64","8.64","8.48","7.59K","0.24%"
"08/18/2023","8.48","8.70","8.85","8.46","24.02K","-2.53%"
"08/17/2023","8.70","8.72","8.72","8.48","14.34K","2.35%"
"08/16/2023","8.50","8.53","8.53","8.49","32.28K","0.00%"
"08/15/2023","8.50","8.55","8.55","8.49","9.03K","-0.23%"
"08/14/2023","8.52","8.55","8.77","8.50","22.31K","-0.35%"
"08/11/2023","8.55","8.55","8.55","8.50","11.02K","0.00%"
"08/10/2023","8.55","8.52","8.60","8.49","4.05K","0.35%"
"08/09/2023","8.52","8.52","8.52","8.40","33.58K","0.00%"
"08/08/2023","8.52","8.60","8.70","8.51","18.32K","-0.93%"
"08/07/2023","8.60","8.60","8.60","8.56","7.50K","0.00%"
"08/04/2023","8.60","8.68","8.68","8.60","5.34K","-1.15%"
"08/03/2023","8.70","8.70","8.70","8.56","4.15K","0.00%"
"08/02/2023","8.70","8.92","8.92","8.63","24.19K","-0.34%"
"08/01/2023","8.73","8.97","8.97","8.72","9.50K","-2.68%"
"07/31/2023","8.97","9.01","9.05","8.70","122.83K","-0.33%"
"07/28/2023","9.00","9.00","9.00","8.98","13.61K","0.00%"
"07/27/2023","9.00","9.00","9.00","8.95","16.73K","0.22%"
"07/26/2023","8.98","9.14","9.14","8.98","21.70K","-0.22%"
"07/24/2023","9.00","9.10","9.10","9.00","31.16K","-1.10%"
"07/21/2023","9.10","9.10","9.10","9.00","7.32K","0.00%"
"07/20/2023","9.10","9.15","9.15","9.00","303.92K","-0.55%"
"07/18/2023","9.15","9.20","9.20","9.10","7.33K","-0.54%"
"07/17/2023","9.20","9.20","9.25","9.17","8.42K","0.00%"
"07/14/2023","9.20","9.20","9.25","9.20","4.42K","0.00%"
"07/13/2023","9.20","9.21","9.27","9.20","4.66K","0.00%"
"07/12/2023","9.20","9.20","9.20","8.92","511.83K","2.22%"
"07/11/2023","9.00","9.54","9.55","8.97","631.51K","-5.66%"
"07/10/2023","9.54","9.56","9.56","9.50","5.56K","-0.21%"
"07/07/2023","9.56","9.58","9.58","9.50","9.36K","-0.21%"
"07/06/2023","9.58","9.60","9.61","9.50","13.72K","0.00%"
