"Date","Price","Open","High","Low","Vol.","Change %"
"09/21/2023","0.19","0.19","0.19","0.19","","-5.00%"
"09/20/2023","0.20","0.20","0.20","0.20","31.04K","-13.04%"
"09/15/2023","0.23","0.23","0.23","0.23","13.55K","0.00%"
"09/14/2023","0.23","0.23","0.23","0.23","16.59K","9.52%"
"09/12/2023","0.21","0.21","0.21","0.21","3.50K","-4.55%"
"09/11/2023","0.22","0.22","0.22","0.22","6.43K","-4.35%"
"09/08/2023","0.23","0.23","0.23","0.23","8.80K","-4.17%"
"09/07/2023","0.24","0.24","0.24","0.24","0.62K","4.35%"
"09/06/2023","0.23","0.23","0.23","0.23","0.30K","4.55%"
"09/05/2023","0.22","0.22","0.22","0.22","32.18K","-12.00%"
"08/31/2023","0.25","0.25","0.25","0.25","5.30K","4.17%"
"08/30/2023","0.24","0.24","0.24","0.24","18.35K","4.35%"
"08/29/2023","0.23","0.23","0.23","0.23","45.50K","0.00%"
"08/25/2023","0.23","0.23","0.23","0.23","11.69K","-23.33%"
"08/16/2023","0.30","0.30","0.30","0.30","100.62K","42.86%"
"08/03/2023","0.21","0.21","0.21","0.21","108.43K","-25.00%"
"07/20/2023","0.28","0.28","0.28","0.28","0.01K","0.00%"
"07/17/2023","0.28","0.28","0.28","0.28","5.11K","0.00%"
"07/12/2023","0.28","0.28","0.28","0.28","1.31K","-6.67%"
"07/03/2023","0.30","0.30","0.30","0.30","0.52K","3.45%"
"06/27/2023","0.29","0.29","0.29","0.29","8.46K","0.00%"
"06/23/2023","0.29","0.29","0.29","0.29","4.50K","0.00%"
"06/22/2023","0.29","0.29","0.29","0.29","44.85K","0.00%"
"06/21/2023","0.29","0.29","0.29","0.29","4.79K","-3.33%"
"06/19/2023","0.30","0.30","0.30","0.30","1.53K","-3.23%"
"06/16/2023","0.31","0.31","0.31","0.31","37.53K","3.33%"
"06/14/2023","0.30","0.30","0.30","0.30","0.65K","-6.25%"
"06/12/2023","0.32","0.32","0.32","0.32","3.27K","0.00%"
"06/09/2023","0.32","0.32","0.32","0.32","18.18K","0.00%"
"06/08/2023","0.32","0.32","0.32","0.32","8.33K","0.00%"
"06/07/2023","0.32","0.32","0.32","0.32","15.31K","0.00%"
"06/06/2023","0.32","0.32","0.32","0.32","7.69K","3.23%"
"06/05/2023","0.31","0.31","0.31","0.31","21.82K","0.00%"
"06/02/2023","0.31","0.31","0.31","0.31","4.02K","0.00%"
"06/01/2023","0.31","0.31","0.31","0.31","12.79K","3.33%"
"05/31/2023","0.30","0.30","0.30","0.30","10.16K","11.11%"
"05/26/2023","0.27","0.27","0.27","0.27","4.71K","8.00%"
"05/24/2023","0.25","0.25","0.25","0.25","8.27K","-7.41%"
"05/22/2023","0.27","0.27","0.27","0.27","2.95K","3.85%"
"05/18/2023","0.26","0.26","0.26","0.26","7.49K","-10.34%"
"05/08/2023","0.29","0.29","0.29","0.29","3.05K","0.00%"
"05/05/2023","0.29","0.29","0.29","0.29","0.18K","-3.33%"
"05/04/2023","0.30","0.30","0.30","0.30","0.21K","0.00%"
"05/03/2023","0.30","0.30","0.30","0.30","6.30K","3.45%"
"04/28/2023","0.29","0.29","0.29","0.29","0.06K","3.57%"
"04/27/2023","0.28","0.28","0.28","0.28","0.33K","3.70%"
"04/26/2023","0.27","0.27","0.27","0.27","2.27K","3.85%"
"04/25/2023","0.26","0.26","0.26","0.26","25.35K","-3.70%"
"04/24/2023","0.27","0.27","0.27","0.27","2.01K","3.85%"
"04/20/2023","0.26","0.26","0.26","0.26","6.67K","-25.71%"
"04/06/2023","0.35","0.35","0.35","0.35","0.15K","0.00%"
"04/05/2023","0.35","0.35","0.35","0.35","2.17K","0.00%"
"04/04/2023","0.35","0.35","0.35","0.35","33.85K","2.94%"
"04/03/2023","0.34","0.34","0.34","0.34","63.00K","25.93%"
"03/13/2023","0.27","0.27","0.27","0.27","1.10K","0.00%"
"03/10/2023","0.27","0.27","0.27","0.27","1.59K","-3.57%"
"03/09/2023","0.28","0.28","0.28","0.28","2.44K","3.70%"
"03/08/2023","0.27","0.27","0.27","0.27","5.32K","0.00%"
"03/06/2023","0.27","0.27","0.27","0.27","45.09K","8.00%"
"02/28/2023","0.25","0.25","0.25","0.25","20.59K","0.00%"
"02/22/2023","0.25","0.25","0.25","0.25","9.22K","-3.85%"
"02/21/2023","0.26","0.26","0.26","0.26","1.37K","0.00%"
"02/17/2023","0.26","0.26","0.26","0.26","19.91K","-3.70%"
"02/16/2023","0.27","0.27","0.27","0.27","7.21K","3.85%"
"02/15/2023","0.26","0.26","0.26","0.26","32.92K","4.00%"
"02/10/2023","0.25","0.25","0.25","0.25","8.00K","4.17%"
"02/09/2023","0.24","0.24","0.24","0.24","7.90K","4.35%"
"02/08/2023","0.23","0.23","0.23","0.23","19.17K","-4.17%"
"02/07/2023","0.24","0.24","0.24","0.24","36.44K","-7.69%"
"02/01/2023","0.26","0.26","0.26","0.26","5.24K","-10.34%"
"01/27/2023","0.29","0.29","0.29","0.29","3.83K","-3.33%"
"01/24/2023","0.30","0.30","0.30","0.30","17.31K","-3.23%"
"01/23/2023","0.31","0.31","0.31","0.31","19.47K","3.33%"
"01/20/2023","0.30","0.30","0.30","0.30","6.68K","3.45%"
"01/19/2023","0.29","0.29","0.29","0.29","51.12K","11.54%"
"01/10/2023","0.26","0.26","0.26","0.26","22.47K","8.33%"
"01/04/2023","0.24","0.24","0.24","0.24","32.28K","14.29%"
"12/30/2022","0.21","0.21","0.21","0.21","9.90K","5.00%"
"12/29/2022","0.20","0.20","0.20","0.20","34.00K","-9.09%"
"12/23/2022","0.22","0.22","0.22","0.22","17.04K","4.76%"
"12/22/2022","0.21","0.21","0.21","0.21","16.79K","5.00%"
"12/21/2022","0.20","0.20","0.20","0.20","22.02K","5.26%"
"12/20/2022","0.19","0.19","0.19","0.19","29.13K","5.56%"
"12/19/2022","0.18","0.18","0.18","0.18","79.70K","-10.00%"
"12/15/2022","0.20","0.20","0.20","0.20","89.23K","-4.76%"
"12/09/2022","0.21","0.21","0.21","0.21","93.95K","-8.70%"
"12/07/2022","0.23","0.23","0.23","0.23","40.69K","-11.54%"
"12/02/2022","0.26","0.26","0.26","0.26","14.45K","-7.14%"
"11/30/2022","0.28","0.28","0.28","0.28","34.79K","-12.50%"
"11/23/2022","0.32","0.32","0.32","0.32","8.69K","-3.03%"
"11/21/2022","0.33","0.33","0.33","0.33","2.74K","-2.94%"
"11/18/2022","0.34","0.34","0.34","0.34","4.75K","0.00%"
"11/17/2022","0.34","0.34","0.34","0.34","8.28K","3.03%"
"11/16/2022","0.33","0.33","0.33","0.33","23.23K","0.00%"
"11/15/2022","0.33","0.33","0.33","0.33","30.31K","3.13%"
"11/10/2022","0.32","0.32","0.32","0.32","27.93K","3.23%"
"11/09/2022","0.31","0.31","0.31","0.31","63.67K","3.33%"
"11/08/2022","0.30","0.30","0.30","0.30","17.89K","0.00%"
"11/07/2022","0.30","0.30","0.30","0.30","31.08K","-3.23%"
"11/04/2022","0.31","0.31","0.31","0.31","12.96K","0.00%"
"11/03/2022","0.31","0.31","0.31","0.31","6.80K","-8.82%"
