"Date","Price","Open","High","Low","Vol.","Change %"
"09/21/2023","3.49","3.40","3.59","3.40","1.82K","-1.97%"
"09/20/2023","3.56","3.56","3.56","3.56","0.01K","-1.11%"
"09/19/2023","3.60","3.60","3.64","3.57","0.99K","-1.91%"
"09/18/2023","3.67","3.74","3.74","3.67","0.76K","-0.81%"
"09/15/2023","3.70","3.75","3.75","3.68","0.76K","-1.86%"
"09/14/2023","3.77","3.76","3.80","3.75","1.77K","0.53%"
"09/13/2023","3.75","3.80","3.80","3.59","2.52K","-1.32%"
"09/12/2023","3.80","3.94","3.94","3.80","0.80K","-3.06%"
"09/11/2023","3.92","3.92","3.93","3.86","2.03K","0.00%"
"09/08/2023","3.92","3.87","3.94","3.87","7.60K","0.77%"
"09/07/2023","3.89","3.87","3.90","3.72","4.12K","-0.26%"
"09/06/2023","3.90","3.90","3.90","3.86","9.08K","1.04%"
"09/05/2023","3.86","3.84","3.90","3.80","10.11K","1.05%"
"09/04/2023","3.82","3.71","3.84","3.65","13.33K","2.69%"
"09/01/2023","3.72","3.71","3.75","3.68","6.65K","2.20%"
"08/31/2023","3.64","3.67","3.67","3.63","6.57K","0.00%"
"08/30/2023","3.64","3.64","3.64","3.64","0.15K","0.00%"
"08/29/2023","3.64","3.66","3.66","3.60","1.44K","-0.55%"
"08/28/2023","3.66","3.60","3.66","3.60","1.05K","-0.27%"
"08/25/2023","3.67","3.69","3.69","3.60","2.13K","0.00%"
"08/24/2023","3.67","3.67","3.67","3.67","0.68K","0.00%"
"08/23/2023","3.67","3.60","3.69","3.60","4.80K","-0.81%"
"08/22/2023","3.70","3.72","3.72","3.70","0.88K","-0.54%"
"08/21/2023","3.72","3.67","3.72","3.67","4.15K","0.54%"
"08/18/2023","3.70","3.70","3.70","3.70","0.10K","0.00%"
"08/17/2023","3.70","3.62","3.70","3.62","0.40K","0.00%"
"08/16/2023","3.70","3.70","3.70","3.70","0.06K","-0.54%"
"08/15/2023","3.72","3.59","3.72","3.59","1.53K","-0.27%"
"08/11/2023","3.73","3.73","3.73","3.73","0.15K","0.00%"
"08/09/2023","3.73","3.74","3.74","3.73","0.31K","0.00%"
"08/08/2023","3.73","3.73","3.73","3.72","0.44K","0.00%"
"08/07/2023","3.73","3.72","3.74","3.72","0.66K","-0.27%"
"08/04/2023","3.74","3.74","3.74","3.74","0.05K","0.54%"
"08/03/2023","3.72","3.73","3.73","3.72","0.52K","-0.53%"
"08/02/2023","3.74","3.70","3.74","3.59","5.11K","1.08%"
"08/01/2023","3.70","3.72","3.72","3.70","0.03K","-0.80%"
"07/31/2023","3.73","3.76","3.76","3.68","11.60K","0.00%"
"07/28/2023","3.73","3.79","3.79","3.73","1.64K","-1.32%"
"07/27/2023","3.78","3.65","3.79","3.65","8.34K","2.16%"
"07/26/2023","3.70","3.68","3.73","3.65","7.81K","-1.07%"
"07/24/2023","3.74","3.74","3.74","3.70","2.67K","-0.27%"
"07/21/2023","3.75","3.75","3.78","3.74","10.73K","0.27%"
"07/20/2023","3.74","3.66","3.76","3.64","14.42K","2.75%"
"07/18/2023","3.64","3.65","3.65","3.64","1.15K","0.00%"
"07/17/2023","3.64","3.55","3.66","3.55","2.66K","-0.55%"
"07/14/2023","3.66","3.61","3.68","3.60","2.87K","-0.27%"
"07/13/2023","3.67","3.67","3.67","3.67","0.69K","-0.54%"
"07/12/2023","3.69","3.70","3.70","3.69","1.72K","0.00%"
"07/11/2023","3.69","3.70","3.70","3.65","4.05K","-0.27%"
"07/10/2023","3.70","3.55","3.74","3.55","19.64K","4.23%"
"07/07/2023","3.55","3.45","3.56","3.45","15.29K","2.90%"
"07/06/2023","3.45","3.42","3.45","3.42","8.54K","0.58%"
"07/05/2023","3.43","3.37","3.43","3.37","3.08K","1.78%"
"07/04/2023","3.37","3.36","3.38","3.36","3.15K","0.30%"
"07/03/2023","3.36","3.38","3.38","3.36","0.13K","-0.30%"
"06/30/2023","3.37","3.38","3.38","3.27","2.21K","-0.30%"
"06/27/2023","3.38","3.27","3.38","3.27","4.76K","0.00%"
"06/26/2023","3.38","3.36","3.43","3.29","0.73K","0.60%"
"06/23/2023","3.36","3.40","3.40","3.30","3.68K","-1.18%"
"06/22/2023","3.40","3.41","3.42","3.36","0.95K","-0.58%"
"06/21/2023","3.42","3.45","3.45","3.35","1.13K","-0.29%"
"06/20/2023","3.43","3.43","3.43","3.43","1.83K","-0.29%"
"06/19/2023","3.44","3.44","3.44","3.39","2.05K","0.00%"
"06/16/2023","3.44","3.40","3.50","3.38","2.67K","2.38%"
"06/15/2023","3.36","3.19","3.36","3.19","4.81K","5.33%"
"06/14/2023","3.19","3.16","3.19","3.16","0.89K","0.00%"
"06/13/2023","3.19","3.19","3.19","3.17","2.04K","0.00%"
"06/12/2023","3.19","3.13","3.19","3.13","5.16K","2.24%"
"06/09/2023","3.12","3.11","3.12","3.11","1.83K","0.00%"
"06/08/2023","3.12","3.08","3.12","3.08","2.63K","1.63%"
"06/07/2023","3.07","3.10","3.10","3.01","2.04K","-0.97%"
"06/06/2023","3.10","2.99","3.10","2.99","5.50K","3.68%"
"06/05/2023","2.99","2.99","3.05","2.95","2.13K","0.00%"
"06/02/2023","2.99","2.99","2.99","2.98","0.37K","0.34%"
"06/01/2023","2.98","3.00","3.00","2.96","1.81K","-0.67%"
"05/31/2023","3.00","3.00","3.00","2.94","2.53K","0.33%"
"05/30/2023","2.99","2.99","3.00","2.94","1.63K","0.00%"
"05/29/2023","2.99","2.95","3.04","2.95","2.02K","1.36%"
"05/26/2023","2.95","2.95","2.99","2.90","9.13K","-1.01%"
"05/25/2023","2.98","3.00","3.00","2.90","2.50K","-0.67%"
"05/24/2023","3.00","3.04","3.04","3.00","6.57K","-1.32%"
"05/23/2023","3.04","3.10","3.10","2.93","1.36K","-1.30%"
"05/22/2023","3.08","3.08","3.08","2.90","3.74K","0.98%"
"05/19/2023","3.05","3.00","3.05","3.00","0.78K","-0.33%"
"05/18/2023","3.06","3.09","3.09","3.00","12.25K","0.00%"
"05/17/2023","3.06","3.07","3.07","3.04","13.65K","5.52%"
"05/16/2023","2.90","2.91","2.91","2.87","25.20K","-1.69%"
"05/15/2023","2.95","2.96","3.04","2.90","5.36K","-1.01%"
"05/12/2023","2.98","3.05","3.07","2.96","12.87K","-2.30%"
"05/11/2023","3.05","3.06","3.07","3.03","4.74K","-0.97%"
"05/10/2023","3.08","3.04","3.10","3.04","14.57K","0.33%"
"05/09/2023","3.07","3.08","3.10","3.01","16.05K","-0.97%"
"05/08/2023","3.10","3.10","3.10","3.10","0.14K","-0.64%"
"05/05/2023","3.12","3.16","3.16","3.10","4.64K","-1.58%"
"05/04/2023","3.17","3.19","3.19","3.11","4.87K","-0.94%"
"05/03/2023","3.20","3.20","3.20","3.14","0.59K","0.00%"
"05/02/2023","3.20","3.15","3.20","3.14","5.11K","0.00%"
"04/28/2023","3.20","3.14","3.20","3.14","1.23K","-1.54%"
"04/27/2023","3.25","3.26","3.28","3.14","8.14K","-0.61%"
"04/26/2023","3.27","3.28","3.29","3.17","14.55K","3.15%"
"04/25/2023","3.17","3.22","3.28","3.17","8.83K","-3.65%"
"04/24/2023","3.29","3.30","3.30","3.16","5.80K","0.30%"
