"Date","Price","Open","High","Low","Vol.","Change %"
"09/20/2023","5.57","5.57","5.57","5.57","0.25K","0.00%"
"09/19/2023","5.57","5.57","5.57","5.57","0.23K","-0.18%"
"09/18/2023","5.58","5.58","5.58","5.58","0.55K","4.30%"
"09/15/2023","5.35","5.35","5.35","5.35","0.11K","0.00%"
"09/14/2023","5.35","5.35","5.35","5.35","0.01K","1.90%"
"09/13/2023","5.25","5.25","5.25","5.25","0.10K","0.00%"
"09/11/2023","5.25","5.25","5.25","5.25","0.29K","0.96%"
"09/08/2023","5.20","5.20","5.20","5.20","0.19K","0.00%"
"08/31/2023","5.20","5.20","5.20","5.20","0.10K","0.00%"
"08/30/2023","5.20","5.20","5.20","5.20","0.02K","-0.95%"
"08/29/2023","5.25","5.25","5.25","5.25","0.05K","1.16%"
"08/25/2023","5.19","5.19","5.19","5.19","0.05K","0.00%"
"08/24/2023","5.19","5.19","5.19","5.19","0.02K","0.00%"
"08/22/2023","5.19","5.19","5.19","5.19","0.10K","0.00%"
"08/15/2023","5.19","5.19","5.19","5.19","0.87K","0.19%"
"08/14/2023","5.18","5.18","5.18","5.18","0.01K","1.57%"
"08/11/2023","5.10","5.10","5.10","5.10","0.10K","0.00%"
"08/04/2023","5.10","5.10","5.10","5.10","0.40K","0.00%"
"08/03/2023","5.10","5.10","5.10","5.10","0.02K","-1.92%"
"08/02/2023","5.20","5.20","5.20","5.20","0.12K","0.00%"
"08/01/2023","5.20","5.20","5.20","5.20","0.45K","-1.70%"
"07/31/2023","5.29","5.29","5.29","5.29","0.30K","-0.19%"
"07/24/2023","5.30","5.30","5.30","5.30","0.01K","0.00%"
"07/20/2023","5.30","5.30","5.30","5.30","0.15K","-0.38%"
"07/07/2023","5.32","5.32","5.32","5.32","0.02K","0.00%"
"07/06/2023","5.32","5.32","5.32","5.32","0.01K","0.00%"
"07/05/2023","5.32","5.32","5.32","5.32","0.15K","-0.19%"
"07/04/2023","5.33","5.33","5.33","5.33","0.20K","-0.19%"
"07/03/2023","5.34","5.34","5.34","5.34","0.03K","3.49%"
"06/30/2023","5.16","5.16","5.16","5.16","0.02K","3.41%"
"06/27/2023","4.99","4.99","4.99","4.99","0.39K","0.00%"
"06/26/2023","4.99","4.99","4.99","4.99","0.01K","0.00%"
"06/23/2023","4.99","4.99","4.99","4.99","0.01K","0.60%"
"06/22/2023","4.96","4.96","4.96","4.96","0.00K","4.42%"
"06/19/2023","4.75","4.75","4.75","4.75","0.01K","0.21%"
"06/16/2023","4.74","4.74","4.74","4.74","0.26K","0.85%"
"06/14/2023","4.70","4.70","4.70","4.70","0.04K","1.08%"
"06/13/2023","4.65","4.65","4.65","4.65","0.01K","1.09%"
"06/12/2023","4.60","4.60","4.60","4.60","0.08K","0.22%"
"06/09/2023","4.59","4.59","4.59","4.59","0.01K","0.88%"
"06/07/2023","4.55","4.55","4.55","4.55","0.01K","1.11%"
"06/06/2023","4.50","4.50","4.50","4.50","0.02K","2.27%"
"06/05/2023","4.40","4.40","4.40","4.40","0.01K","0.46%"
"06/02/2023","4.38","4.38","4.38","4.38","0.01K","4.29%"
"05/26/2023","4.20","4.20","4.20","4.20","0.01K","-2.33%"
"05/25/2023","4.30","4.30","4.30","4.30","0.01K","2.38%"
"05/24/2023","4.20","4.20","4.20","4.20","0.01K","0.24%"
"05/23/2023","4.19","4.19","4.19","4.19","0.01K","1.21%"
"05/22/2023","4.14","4.14","4.14","4.14","0.20K","0.00%"
"05/18/2023","4.14","4.14","4.14","4.14","0.00K","18.29%"
"04/26/2023","3.50","3.50","3.50","3.50","0.03K","4.48%"
"03/28/2023","3.35","3.35","3.35","3.35","0.02K","-4.29%"
"03/22/2023","3.50","3.50","3.50","3.50","0.04K","-12.72%"
"03/10/2023","4.01","4.01","4.01","4.01","0.10K","-5.65%"
"03/07/2023","4.25","4.25","4.25","4.25","0.05K","-2.30%"
