"Date","Price","Open","High","Low","Vol.","Change %"
"09/18/2023","160.00","160.00","160.00","160.00","0.18K","0.00%"
"09/15/2023","160.00","160.00","160.00","160.00","0.07K","-8.52%"
"08/31/2023","174.90","174.90","174.90","174.90","0.10K","0.82%"
"08/30/2023","173.47","166.00","173.47","166.00","0.51K","4.50%"
"08/29/2023","166.00","166.00","166.00","166.00","0.05K","0.00%"
"08/25/2023","166.00","166.00","166.00","166.00","0.44K","0.61%"
"08/24/2023","165.00","165.00","165.00","165.00","0.00K","0.00%"
"08/14/2023","165.00","165.00","165.00","165.00","0.00K","0.00%"
"08/07/2023","165.00","165.00","165.00","165.00","0.21K","3.13%"
"08/01/2023","160.00","160.00","160.00","160.00","0.00K","-3.61%"
"07/28/2023","166.00","166.00","166.00","166.00","0.00K","0.00%"
"07/18/2023","166.00","165.50","166.00","165.50","0.26K","0.30%"
"07/17/2023","165.50","165.50","165.50","165.50","0.39K","-0.30%"
"07/12/2023","166.00","166.00","166.00","166.00","0.25K","-1.19%"
"07/05/2023","168.00","168.00","168.00","168.00","0.20K","1.94%"
"06/27/2023","164.80","164.80","164.80","164.80","0.13K","0.00%"
"06/26/2023","164.80","164.80","164.80","164.80","0.15K","-0.12%"
"06/23/2023","164.99","164.99","164.99","164.99","0.10K","1.54%"
"06/21/2023","162.49","162.49","162.49","162.49","0.03K","0.06%"
"06/20/2023","162.39","162.39","162.39","162.39","0.04K","-0.01%"
"06/19/2023","162.40","162.40","162.40","162.40","0.09K","0.00%"
"06/15/2023","162.40","162.40","162.40","162.40","0.08K","0.00%"
"06/14/2023","162.40","162.40","162.40","162.40","0.13K","0.00%"
"06/13/2023","162.40","162.40","162.40","162.40","0.00K","0.00%"
"06/12/2023","162.40","162.40","162.40","162.40","0.02K","1.50%"
"06/09/2023","160.00","160.00","160.00","160.00","0.02K","-3.62%"
"06/08/2023","166.01","166.01","166.01","166.01","0.13K","0.01%"
"06/07/2023","166.00","166.00","166.00","166.00","2.64K","-1.62%"
"06/02/2023","168.74","168.74","168.74","168.74","0.15K","0.00%"
"06/01/2023","168.74","168.80","168.80","168.74","0.16K","1.65%"
"05/31/2023","166.00","166.00","166.00","166.00","0.00K","0.00%"
"05/30/2023","166.00","166.00","166.00","166.00","1.26K","0.00%"
"05/29/2023","166.00","166.00","166.00","166.00","0.30K","-2.35%"
"05/26/2023","170.00","170.00","170.00","170.00","0.01K","1.18%"
"05/25/2023","168.01","167.00","168.01","167.00","0.68K","1.82%"
"05/24/2023","165.00","163.02","165.00","163.02","4.81K","0.00%"
"05/23/2023","165.00","163.00","165.00","163.00","0.42K","3.13%"
"05/22/2023","160.00","160.00","160.00","160.00","1.06K","0.00%"
"05/19/2023","160.00","160.00","160.00","160.00","1.52K","0.00%"
"05/18/2023","160.00","160.00","160.00","160.00","0.59K","0.00%"
"05/17/2023","160.00","160.00","160.00","160.00","1.00K","0.00%"
"05/16/2023","160.00","160.00","160.00","160.00","0.12K","0.31%"
"05/15/2023","159.50","159.50","159.50","159.50","0.42K","-0.31%"
"05/12/2023","160.00","160.00","160.00","160.00","0.10K","0.31%"
"05/11/2023","159.51","159.51","159.51","159.51","0.00K","-0.31%"
"05/10/2023","160.00","160.00","160.00","160.00","0.08K","0.00%"
"05/09/2023","160.00","160.00","160.00","160.00","0.31K","0.00%"
"05/08/2023","160.00","160.00","160.00","160.00","1.18K","0.13%"
"05/05/2023","159.79","159.79","159.79","159.79","0.00K","-0.07%"
"05/03/2023","159.90","159.90","159.90","159.90","0.01K","-0.06%"
"04/27/2023","160.00","160.00","160.00","160.00","0.50K","0.44%"
"04/26/2023","159.30","159.30","159.30","159.30","0.01K","0.82%"
"04/25/2023","158.00","158.00","158.00","158.00","0.42K","0.00%"
"04/24/2023","158.00","158.00","158.00","158.00","0.05K","-0.82%"
"04/17/2023","159.30","159.30","159.30","159.30","0.11K","-0.44%"
"04/13/2023","160.00","159.30","160.00","159.30","0.01K","0.00%"
"04/12/2023","160.00","159.00","160.00","159.00","0.17K","0.50%"
"04/11/2023","159.20","159.20","159.20","159.20","0.15K","0.00%"
"04/10/2023","159.20","159.20","159.20","159.20","0.01K","-0.50%"
"04/07/2023","160.00","160.00","160.00","160.00","0.15K","-0.62%"
"04/05/2023","161.00","161.00","161.00","161.00","0.09K","-0.62%"
"04/03/2023","162.00","162.00","162.00","162.00","0.37K","0.00%"
"03/31/2023","162.00","161.50","162.00","161.50","0.18K","0.31%"
"03/30/2023","161.50","161.50","161.50","161.50","0.06K","0.00%"
"03/29/2023","161.50","162.50","162.50","161.50","0.10K","0.00%"
"03/28/2023","161.50","160.00","161.50","160.00","0.04K","0.94%"
"03/27/2023","160.00","160.00","160.00","160.00","0.19K","0.63%"
"03/24/2023","159.00","159.00","159.00","159.00","0.53K","2.58%"
"03/23/2023","155.00","155.00","155.00","155.00","0.18K","0.00%"
"03/21/2023","155.00","155.00","155.00","155.00","0.01K","0.00%"
"03/16/2023","155.00","155.00","155.00","155.00","0.01K","0.65%"
"03/15/2023","154.00","152.00","154.00","152.00","0.07K","0.33%"
"03/14/2023","153.50","153.50","153.50","153.50","0.23K","0.00%"
"03/13/2023","153.50","153.50","153.50","153.50","0.20K","0.20%"
"03/08/2023","153.20","153.20","153.20","153.20","0.01K","0.79%"
"03/07/2023","152.00","152.00","152.00","152.00","0.01K","-0.78%"
"03/02/2023","153.20","153.20","153.20","153.20","0.00K","1.29%"
"03/01/2023","151.25","151.25","151.25","151.25","0.14K","-0.49%"
"02/28/2023","152.00","152.00","152.00","152.00","0.01K","0.00%"
"02/24/2023","152.00","152.00","152.00","152.00","0.06K","0.00%"
"02/23/2023","152.00","153.50","153.50","152.00","0.11K","-0.98%"
