"Date","Price","Open","High","Low","Vol.","Change %"
"09/19/2023","6.28","6.28","6.28","6.28","0.13K","0.00%"
"09/15/2023","6.28","6.28","6.28","6.28","1.00K","-0.16%"
"09/13/2023","6.29","6.29","6.29","6.29","0.02K","0.16%"
"09/12/2023","6.28","6.29","6.29","6.28","0.49K","3.46%"
"09/11/2023","6.07","6.07","6.07","6.07","2.29K","-3.65%"
"09/05/2023","6.30","6.30","6.30","6.30","0.01K","-0.63%"
"09/04/2023","6.34","6.40","6.40","6.34","0.60K","-0.94%"
"08/31/2023","6.40","6.40","6.40","6.40","0.00K","3.06%"
"08/30/2023","6.21","6.21","6.21","6.21","0.40K","-2.97%"
"08/25/2023","6.40","6.40","6.40","6.40","0.25K","1.59%"
"08/24/2023","6.30","6.30","6.30","6.30","0.11K","1.45%"
"08/23/2023","6.21","6.39","6.39","6.21","0.18K","-2.66%"
"08/22/2023","6.38","6.30","6.38","6.30","0.25K","0.00%"
"08/21/2023","6.38","6.38","6.38","6.38","1.25K","-0.16%"
"08/18/2023","6.39","6.20","6.39","6.20","0.29K","-0.16%"
"08/17/2023","6.40","6.40","6.40","6.40","0.01K","1.59%"
"08/16/2023","6.30","6.30","6.30","6.30","0.20K","0.00%"
"08/14/2023","6.30","6.30","6.30","6.30","0.10K","0.00%"
"08/11/2023","6.30","6.30","6.30","6.30","1.19K","-1.41%"
"08/10/2023","6.39","6.40","6.40","6.39","0.65K","1.43%"
"08/09/2023","6.30","6.30","6.30","6.30","0.62K","-1.56%"
"08/04/2023","6.40","6.40","6.40","6.40","0.10K","1.59%"
"08/03/2023","6.30","6.30","6.30","6.30","0.19K","-1.56%"
"07/31/2023","6.40","6.40","6.40","6.40","0.34K","0.00%"
"07/28/2023","6.40","6.40","6.40","6.40","0.87K","0.00%"
"07/27/2023","6.40","6.52","6.52","6.40","0.52K","-1.54%"
"07/26/2023","6.50","6.50","6.50","6.50","0.01K","-0.46%"
"07/24/2023","6.53","6.53","6.53","6.53","0.02K","-0.31%"
"07/21/2023","6.55","6.55","6.55","6.55","0.33K","0.00%"
"07/20/2023","6.55","6.55","6.55","6.55","0.04K","0.00%"
"07/18/2023","6.55","6.55","6.55","6.55","0.04K","-0.76%"
"07/17/2023","6.60","6.60","6.60","6.60","1.00K","-1.35%"
"07/14/2023","6.69","6.69","6.69","6.69","0.03K","0.30%"
"07/13/2023","6.67","6.67","6.67","6.67","0.20K","-0.30%"
"07/11/2023","6.69","6.69","6.69","6.69","0.02K","0.90%"
"07/10/2023","6.63","6.63","6.63","6.63","0.01K","4.41%"
"07/06/2023","6.35","6.35","6.35","6.35","0.03K","0.00%"
"07/05/2023","6.35","6.35","6.35","6.35","0.90K","0.16%"
"07/04/2023","6.34","6.34","6.34","6.34","0.29K","-0.94%"
"06/27/2023","6.40","6.40","6.40","6.40","0.18K","-3.03%"
"06/26/2023","6.60","6.60","6.60","6.60","0.00K","0.00%"
"06/23/2023","6.60","6.70","6.70","6.60","0.06K","0.00%"
"06/22/2023","6.60","6.60","6.60","6.60","4.94K","0.00%"
"06/21/2023","6.60","6.60","6.60","6.60","0.50K","-2.51%"
"06/20/2023","6.77","6.70","6.77","6.70","0.35K","2.58%"
"06/19/2023","6.60","6.60","6.60","6.60","0.51K","-1.49%"
"06/14/2023","6.70","6.70","6.70","6.70","0.08K","3.08%"
"06/13/2023","6.50","6.50","6.50","6.50","0.09K","2.04%"
"06/12/2023","6.37","6.37","6.37","6.37","0.00K","3.58%"
"06/09/2023","6.15","6.15","6.15","6.15","1.23K","0.00%"
"06/08/2023","6.15","6.15","6.15","6.15","0.00K","0.99%"
