Day,ForecastedLogReturn
1,0.016988486
2,0.027622588
3,0.027569467
4,-0.0065881107
5,0.054944374
6,0.019015662
7,0.020237444
8,0.020045873
9,-0.012566032
10,0.03914276
11,0.00661351
12,0.005733676
13,-0.010467056
14,0.0023623572
15,0.0061581344
16,-0.0025503924
17,-0.003502121
18,-0.0032434207
19,-0.0025503924
20,-0.0025503924
21,-0.0032434207
22,-0.0032434207
23,-0.0032434207
24,-0.0032434207
25,-0.0032434207
26,-0.0032434207
27,-0.0032434207
28,-0.0032434207
29,-0.0032434207
30,-0.0032434207
31,-0.0032434207
32,-0.0032434207
33,-0.0032434207
34,-0.0032434207
35,-0.0032434207
36,-0.0032434207
37,-0.0032434207
38,-0.0032434207
39,-0.0032434207
40,-0.0032434207
41,-0.0032434207
42,-0.0032434207
43,-0.0032434207
44,-0.0032434207
45,-0.0032434207
46,-0.0032434207
47,-0.0032434207
48,-0.0032434207
49,-0.0032434207
50,-0.0032434207
51,-0.0032434207
52,-0.0032434207
53,-0.0032434207
54,-0.0032434207
55,-0.0032434207
56,-0.0032434207
57,-0.0032434207
58,-0.0032434207
59,-0.0032434207
60,-0.0032434207
61,-0.0032434207
62,-0.0032434207
63,-0.0032434207
64,-0.0032434207
65,-0.0032434207
66,-0.0032434207
67,-0.0032434207
68,-0.0032434207
69,-0.0032434207
70,-0.0032434207
71,-0.0032434207
72,-0.0032434207
73,-0.0032434207
74,-0.0032434207
75,-0.0032434207
76,-0.0032434207
77,-0.0032434207
78,-0.0032434207
79,-0.0032434207
80,-0.0032434207
