Day,ForecastedLogReturn
1,-0.0011031617
2,-0.00330693
3,-0.0010948195
4,-0.0008328576
5,-0.002053533
6,-0.001373669
7,-0.00095031527
8,-0.0028019652
9,-0.0014226488
10,-0.0014818556
11,-0.0028019652
12,-0.0014226488
13,-0.0014818556
14,-0.0028019652
15,-0.0014226488
16,-0.0014818556
17,-0.0028019652
18,-0.0014226488
19,-0.0014818556
20,-0.0028019652
21,-0.0014226488
22,-0.0014818556
23,-0.0028019652
24,-0.0014226488
25,-0.0014818556
26,-0.0028019652
27,-0.0014226488
28,-0.0014818556
29,-0.0028019652
30,-0.0014226488
31,-0.0014818556
32,-0.0028019652
33,-0.0014226488
34,-0.0014818556
35,-0.0028019652
36,-0.0014226488
37,-0.0014818556
38,-0.0028019652
39,-0.0014226488
40,-0.0014818556
41,-0.0028019652
42,-0.0014226488
43,-0.0014818556
44,-0.0028019652
45,-0.0014226488
46,-0.0014818556
47,-0.0028019652
48,-0.0014226488
49,-0.0014818556
50,-0.0028019652
51,-0.0014226488
52,-0.0014818556
53,-0.0028019652
54,-0.0014226488
55,-0.0014818556
56,-0.0028019652
57,-0.0014226488
58,-0.0014818556
59,-0.0028019652
60,-0.0014226488
61,-0.0014818556
62,-0.0028019652
63,-0.0014226488
64,-0.0014818556
65,-0.0028019652
66,-0.0014226488
67,-0.0014818556
68,-0.0028019652
69,-0.0014226488
70,-0.0014818556
71,-0.0028019652
72,-0.0014226488
73,-0.0014818556
74,-0.0028019652
75,-0.0014226488
76,-0.0014818556
77,-0.0028019652
78,-0.0014226488
79,-0.0014818556
80,-0.0028019652
